meta_label,w
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
105,234305072,0,253.975463800,0.000000000,0.878000,-0.101000,0.481000,5.600000,-6.500000,-0.300000
106,234324269,19197,253.994598100,0.019134300,0.885000,-0.101000,0.474000,2.900000,-4.700000,-1.300000
107,234343558,38486,254.017052900,0.041589100,0.866000,-0.108000,0.481000,0.700000,-2.600000,-1.100000
108,234362725,57653,254.032597700,0.057133900,0.869000,-0.115000,0.493000,1.800000,-3.900000,-1.100000
109,234381952,76880,254.052578200,0.077114400,0.866000,-0.111000,0.484000,2.400000,-5.100000,-0.700000
110,234401180,96108,254.077361300,0.101897500,0.873000,-0.109000,0.488000,2.100000,-3.000000,-0.500000
111,234420377,115305,254.090604900,0.115141100,0.870000,-0.111000,0.493000,0.700000,-2.300000,-2.000000
112,234439696,134624,254.109600300,0.134136500,0.862000,-0.118000,0.491000,-1.800000,-2.500000,-4.000000
113,234458832,153760,254.131491800,0.156028000,0.860000,-0.119000,0.503000,-0.500000,-3.300000,-4.600000
114,234478029,172957,254.148604200,0.173140400,0.868000,-0.151000,0.493000,-0.200000,-5.200000,-5.900000
115,234497318,192246,254.167626800,0.192163000,0.892000,-0.092000,0.483000,-5.600000,-0.900000,-11.200000
116,234516545,211473,254.186683500,0.211219700,0.863000,-0.142000,0.448000,-15.200000,-3.800000,-9.400000
117,234535742,230670,254.205584300,0.230120500,0.896000,-0.067000,0.540000,-15.500000,-1.100000,-8.900000
118,234554970,249898,254.226011800,0.250548000,0.883000,-0.137000,0.412000,-2.000000,-2.000000,-6.200000
119,234574289,269217,254.244653000,0.269189200,0.883000,-0.048000,0.486000,14.900000,-1.500000,1.500000
120,234593578,288506,254.264825700,0.289361900,0.868000,0.016000,0.602000,10.100000,-28.600000,37.400000
121,234612744,307672,254.286050000,0.310586200,0.886000,-0.242000,0.495000,2.200000,0.400000,-6.000000
122,234631972,326900,254.302622800,0.327159000,0.891000,-0.058000,0.543000,-20.300000,-7.000000,2.500000
123,234651200,346128,254.321520600,0.346056800,0.886000,-0.152000,0.471000,-21.600000,-6.300000,-10.700000
124,234670366,365294,254.341822100,0.366358300,0.843000,-0.135000,0.436000,-3.300000,9.000000,-31.700000
125,234689594,384522,254.359620100,0.384156300,0.872000,-0.065000,0.516000,-5.400000,-1.800000,-4.200000
126,234708821,403749,254.378596400,0.403132600,0.899000,-0.174000,0.479000,4.100000,-3.200000,-2.600000
127,234728018,422946,254.398556700,0.423092900,0.917000,-0.048000,0.548000,10.400000,-4.700000,-2.100000
128,234747368,442296,254.417687700,0.442223900,0.867000,-0.043000,0.350000,1.900000,-10.000000,0.900000
129,234766504,461432,254.436477800,0.461014000,0.860000,-0.116000,0.526000,-13.700000,-11.800000,2.600000
130,234785823,480751,254.455514100,0.480050300,0.882000,-0.163000,0.534000,-21.000000,-3.700000,-6.500000
131,234804990,499918,254.478031100,0.502567300,0.850000,-0.118000,0.453000,-24.500000,-4.000000,-14.600000
132,234824279,519207,254.494585600,0.519121800,0.868000,-0.217000,0.366000,-17.100000,13.900000,-32.300000
133,234843506,538434,254.516282600,0.540818800,0.888000,-0.085000,0.479000,-0.600000,14.700000,-19.600000
134,234862703,557631,254.532541200,0.557077400,0.873000,-0.035000,0.474000,17.900000,9.000000,-1.700000
135,234881931,576859,254.551569000,0.576105200,0.955000,0.080000,0.470000,15.500000,3.500000,16.000000
136,234901219,596147,254.573900100,0.598436300,0.932000,0.094000,0.439000,-7.700000,18.700000,38.800000
137,234920386,615314,254.590616700,0.615152900,0.842000,-0.100000,0.508000,-14.000000,19.300000,41.200000
138,234939614,634542,254.610052200,0.634588400,0.751000,-0.224000,0.575000,-18.700000,15.300000,29.800000
139,234958841,653769,254.628972600,0.653508800,0.755000,-0.298000,0.599000,-7.700000,3.600000,16.700000
140,234978038,672966,254.648597200,0.673133400,0.792000,-0.273000,0.555000,2.800000,-2.600000,3.500000
141,234997388,692316,254.667486900,0.692023100,0.827000,-0.182000,0.530000,7.300000,-6.600000,-2.400000
