meta_label,w
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
31199,3352757245,0,3371.872399500,0.000000000,0.835000,-0.025000,0.529000,-1.400000,1.100000,-5.100000
31200,3352776473,19228,3371.891677200,0.019277700,0.813000,-0.066000,0.551000,-1.400000,-0.700000,-12.700000
31201,3352795670,38425,3371.910370900,0.037971400,0.802000,-0.092000,0.597000,7.400000,-7.500000,-21.800000
31202,3352814897,57652,3371.930601400,0.058201900,1.025000,-0.037000,0.463000,7.200000,-4.600000,-18.100000
31203,3352834186,76941,3371.950665900,0.078266400,0.881000,0.075000,0.413000,2.700000,-7.800000,-7.900000
31204,3352853352,96107,3371.968505300,0.096105800,0.864000,0.166000,0.548000,10.300000,-8.800000,8.400000
31205,3352872580,115335,3371.987499300,0.115099800,0.851000,0.131000,0.486000,1.500000,-25.000000,37.000000
31206,3352891808,134563,3372.006565900,0.134166400,0.901000,-0.061000,0.366000,0.200000,-5.700000,17.400000
31207,3352911005,153760,3372.026619700,0.154220200,0.894000,-0.081000,0.528000,-20.400000,-10.000000,13.900000
31208,3352930354,173109,3372.045473800,0.173074300,0.908000,-0.185000,0.425000,-22.800000,-4.500000,-29.900000
31209,3352949490,192245,3372.064430500,0.192031000,0.836000,0.046000,0.513000,-13.900000,3.800000,-48.300000
31210,3352968749,211504,3372.083419000,0.211019500,0.858000,0.037000,0.523000,-6.800000,0.000000,-1.500000
31211,3352987976,230731,3372.103465100,0.231065600,0.943000,0.041000,0.576000,9.500000,-11.400000,-0.200000
31212,3353007265,250020,3372.127962500,0.255563000,0.896000,0.106000,0.433000,7.900000,-27.300000,27.600000
31213,3353026431,269186,3372.141613300,0.269213800,0.787000,-0.029000,0.404000,-6.300000,-15.600000,27.400000
31214,3353045598,288353,3372.160598200,0.288198700,0.903000,-0.037000,0.577000,-20.900000,-20.500000,-3.700000
31215,3353064887,307642,3372.182776300,0.310376800,0.876000,-0.274000,0.450000,-24.300000,-2.100000,-32.700000
31216,3353084114,326869,3372.199694900,0.327295400,0.839000,0.087000,0.392000,-12.200000,12.500000,-39.100000
31217,3353103372,346127,3372.218452200,0.346052700,0.865000,0.049000,0.480000,3.400000,20.400000,-18.700000
31218,3353122539,365294,3372.239736700,0.367337200,0.921000,0.002000,0.485000,15.900000,14.800000,-1.400000
31219,3353141858,384613,3372.256690600,0.384291100,0.988000,0.018000,0.478000,9.600000,19.900000,0.000000
31220,3353161055,403810,3372.276520400,0.404120900,0.875000,0.114000,0.507000,-2.200000,26.500000,6.900000
31221,3353180283,423038,3372.300145000,0.427745500,0.865000,0.079000,0.520000,-3.700000,24.800000,14.300000
31222,3353199510,442265,3372.314493000,0.442093500,0.805000,0.037000,0.558000,-5.300000,21.200000,18.400000
31223,3353218768,461523,3372.343595200,0.471195700,0.777000,-0.077000,0.583000,-5.600000,12.000000,16.000000
31224,3353237965,480720,3372.353482300,0.481082800,0.813000,-0.120000,0.583000,3.600000,3.000000,5.700000
31225,3353257254,500009,3372.373584400,0.501184900,0.821000,-0.099000,0.575000,13.900000,-3.300000,2.800000
31226,3353276390,519145,3372.391989000,0.519589500,0.843000,-0.065000,0.564000,27.700000,-10.600000,2.200000
31227,3353295618,538373,3372.410590800,0.538191300,0.903000,0.024000,0.490000,32.100000,-9.400000,5.000000
31228,3353314906,557661,3372.433996200,0.561596700,0.898000,0.085000,0.469000,24.700000,-4.900000,8.600000
31229,3353334134,576889,3372.449564300,0.577164800,0.916000,0.057000,0.445000,12.700000,0.900000,9.300000
31230,3353353362,596117,3372.470475000,0.598075500,0.872000,0.032000,0.488000,3.900000,8.800000,10.000000
31231,3353372559,615314,3372.487563200,0.615163700,0.833000,-0.016000,0.551000,-2.000000,7.800000,9.500000
31232,3353391817,634572,3372.506499600,0.634100100,0.812000,-0.042000,0.567000,-2.200000,2.500000,5.400000
31233,3353411014,653769,3372.526788400,0.654388900,0.815000,-0.038000,0.570000,1.800000,-0.900000,3.200000
31234,3353430211,672966,3372.545474000,0.673074500,0.839000,-0.063000,0.568000,3.700000,-5.900000,0.200000
31235,3353449469,692224,3372.564545800,0.692146300,0.846000,-0.034000,0.533000,10.900000,-7.300000,-2.700000
31236,3353468666,711421,3372.583529600,0.711130100,0.853000,0.000000,0.524000,11.100000,-7.100000,-3.300000
31237,3353487955,730710,3372.602511600,0.730112100,0.863000,0.000000,0.516000,10.100000,-6.700000,-3.900000
31238,3353507152,749907,3372.622431900,0.750032400,0.868000,0.017000,0.505000,11.500000,-4.600000,-3.500000
31239,3353526410,769165,3372.641588700,0.769189200,0.882000,-0.001000,0.497000,8.600000,-1.400000,-3.600000
31240,3353545638,788393,3372.660495100,0.788095600,0.871000,-0.015000,0.510000,6.900000,-0.400000,-3.900000
31241,3353564926,807681,3372.679609200,0.807209700,0.863000,-0.011000,0.519000,8.400000,-0.600000,-3.000000
