meta_label,w
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
49276,1411729724,0,2852.569795500,0.000000000,0.839000,0.040000,0.546000,4.800000,-6.200000,-3.600000
49277,1411748952,19228,2852.588868000,0.019072500,0.824000,0.035000,0.553000,1.400000,-7.100000,-11.200000
49278,1411768240,38516,2852.614758100,0.044962600,0.808000,0.012000,0.564000,-2.500000,-9.900000,-22.100000
49279,1411787407,57683,2852.627570000,0.057774500,0.871000,0.004000,0.503000,-1.100000,-8.900000,-24.400000
49280,1411806695,76971,2852.646710700,0.076915200,0.880000,0.108000,0.536000,-7.100000,-11.300000,-8.700000
49281,1411825892,96168,2852.665740400,0.095944900,0.857000,0.017000,0.476000,3.300000,-5.800000,-7.100000
49282,1411845181,115457,2852.685684000,0.115888500,0.890000,0.104000,0.534000,11.200000,-5.000000,-4.800000
49283,1411864348,134624,2852.706897200,0.137101700,0.826000,0.267000,0.562000,1.200000,-12.400000,25.300000
49284,1411883545,153821,2852.723689300,0.153893800,0.823000,0.068000,0.487000,-3.900000,-11.600000,25.300000
49285,1411902803,173079,2852.742806400,0.173010900,0.869000,0.018000,0.538000,-10.200000,-1.400000,-0.500000
49286,1411922000,192276,2852.763638500,0.193843000,0.871000,0.003000,0.542000,-22.500000,-8.800000,2.800000
49287,1411941289,211565,2852.781629200,0.211833700,0.810000,-0.091000,0.461000,-9.800000,-3.000000,-29.300000
49288,1411960455,230731,2852.800606700,0.230811200,0.877000,0.114000,0.585000,-6.700000,-5.400000,-24.300000
49289,1411979622,249898,2852.819757900,0.249962400,0.854000,0.032000,0.518000,-3.100000,-1.500000,-5.400000
49290,1411998971,269247,2852.838692400,0.268896900,0.899000,0.096000,0.569000,11.600000,-13.900000,2.900000
49291,1412018107,288383,2852.862161500,0.292366000,0.830000,0.176000,0.435000,-6.800000,-7.600000,19.400000
49292,1412037427,307703,2852.877731900,0.307936400,0.897000,0.080000,0.504000,-17.100000,-16.800000,6.500000
49293,1412056593,326869,2852.896697900,0.326902400,0.864000,0.015000,0.641000,-26.700000,-6.800000,8.000000
49294,1412075912,346188,2852.919134400,0.349338900,0.877000,-0.033000,0.484000,-21.400000,-13.300000,-19.900000
49295,1412095201,365477,2852.935779100,0.365983600,0.808000,-0.049000,0.443000,-14.300000,3.400000,-27.700000
49296,1412114367,384643,2852.954625800,0.384830300,0.874000,0.040000,0.513000,-11.400000,11.300000,-28.900000
49297,1412133595,403871,2852.976782900,0.406987400,0.854000,0.049000,0.456000,0.900000,20.900000,-26.900000
49298,1412152823,423099,2852.992634800,0.422839300,1.061000,0.126000,0.488000,5.100000,25.300000,-6.500000
49299,1412171989,442265,2853.011766500,0.441971000,0.870000,0.155000,0.517000,1.300000,34.100000,5.300000
49300,1412191217,461493,2853.031745800,0.461950300,0.837000,0.066000,0.548000,-1.500000,31.100000,6.700000
49301,1412210444,480720,2853.052799200,0.483003700,0.832000,0.047000,0.587000,-0.200000,31.800000,2.000000
49302,1412229642,499918,2853.070753800,0.500958300,0.835000,-0.063000,0.621000,6.300000,35.900000,-7.800000
49303,1412248961,519237,2853.088697800,0.518902300,0.767000,0.002000,0.665000,20.200000,36.500000,-6.000000
49304,1412268188,538464,2853.110537100,0.540741600,0.668000,0.069000,0.674000,23.100000,22.000000,3.100000
49305,1412287385,557661,2853.127730000,0.557934500,0.616000,0.091000,0.688000,27.700000,-0.500000,10.000000
49306,1412306613,576889,2853.146759400,0.576963900,0.709000,0.048000,0.633000,34.600000,-21.900000,14.100000
49307,1412325902,596178,2853.165674700,0.595879200,0.844000,0.097000,0.576000,36.300000,-30.200000,3.100000
49308,1412345129,615405,2853.186961700,0.617166200,0.824000,0.201000,0.529000,26.400000,-27.000000,6.000000
49309,1412364357,634633,2853.204578100,0.634782600,0.890000,0.158000,0.532000,17.500000,-22.800000,13.200000
49310,1412383554,653830,2853.223753600,0.653958100,0.972000,0.122000,0.490000,13.500000,-11.200000,5.400000
49311,1412402843,673119,2853.242707000,0.672911500,0.867000,0.114000,0.532000,2.600000,-3.600000,6.400000
49312,1412422009,692285,2853.266333800,0.696538300,0.833000,0.047000,0.564000,-0.500000,-3.900000,4.600000
49313,1412441176,711452,2853.281718100,0.711922600,0.846000,0.045000,0.574000,2.700000,-4.600000,0.300000
49314,1412460495,730771,2853.300535000,0.730739500,0.837000,0.067000,0.558000,3.700000,-3.100000,-1.000000
