meta_label,X
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
43909,3365304158,0,3176.583918400,0.000000000,0.822000,0.022000,0.570000,2.900000,0.600000,-3.000000
43910,3365323477,19319,3176.605721700,0.021803300,0.847000,0.014000,0.566000,4.900000,5.500000,-4.600000
43911,3365342613,38455,3176.621919100,0.038000700,0.815000,0.096000,0.588000,2.000000,6.200000,-2.900000
43912,3365361811,57653,3176.641840100,0.057921700,0.823000,0.090000,0.588000,-1.700000,4.100000,2.100000
43913,3365381099,76941,3176.660957800,0.077039400,0.783000,0.029000,0.620000,-1.700000,2.600000,3.900000
43914,3365400266,96108,3176.680056500,0.096138100,0.748000,-0.029000,0.656000,2.300000,-3.800000,1.400000
43915,3365419554,115396,3176.702441100,0.118522700,0.709000,-0.080000,0.676000,9.600000,-12.300000,-3.400000
43916,3365438721,134563,3176.718060000,0.134141600,0.665000,-0.149000,0.728000,20.800000,-24.300000,-18.900000
43917,3365457949,153791,3176.738714900,0.154796500,1.001000,-0.035000,0.513000,9.700000,-35.200000,-35.400000
43918,3365477237,173079,3176.757102100,0.173183700,0.821000,0.292000,0.498000,-0.400000,-16.800000,-23.000000
43919,3365496404,192246,3176.775992000,0.192073600,0.839000,0.146000,0.447000,12.300000,-4.500000,-11.600000
43920,3365515662,211504,3176.801146500,0.217228100,0.872000,0.107000,0.565000,15.600000,-9.400000,-3.700000
43921,3365534859,230701,3176.815053000,0.231134600,0.857000,0.233000,0.615000,14.200000,-31.500000,25.600000
43922,3365554178,250020,3176.834018800,0.250100400,0.846000,0.089000,0.510000,6.200000,-16.500000,27.600000
43923,3365573345,269187,3176.853022100,0.269103700,0.749000,0.022000,0.582000,8.000000,-1.100000,19.900000
43924,3365592572,288414,3176.872000100,0.288081700,0.813000,-0.100000,0.578000,0.000000,2.800000,3.400000
43925,3365611830,307672,3176.894750500,0.310832100,0.840000,-0.070000,0.428000,-3.200000,22.200000,-47.900000
43926,3365631119,326961,3176.911017800,0.327099400,0.798000,0.222000,0.708000,-23.700000,28.800000,-39.100000
43927,3365650286,346128,3176.930031900,0.346113500,0.670000,0.067000,0.762000,-11.500000,-6.700000,-12.900000
43928,3365669544,365386,3176.952158500,0.368240100,0.946000,-0.059000,0.601000,4.300000,-34.400000,-4.800000
43929,3365688741,384583,3176.968002900,0.384084500,0.825000,0.181000,0.563000,-7.500000,-12.600000,-10.600000
43930,3365707907,403749,3176.994450600,0.410532200,0.839000,0.025000,0.468000,3.800000,-5.400000,-3.900000
43931,3365727196,423038,3177.007076200,0.423157800,0.813000,0.209000,0.547000,17.600000,-2.200000,-1.000000
43932,3365746424,442266,3177.026089600,0.442171200,0.842000,-0.028000,0.629000,24.600000,-3.900000,53.300000
43933,3365765682,461524,3177.046797000,0.462878600,0.845000,0.003000,0.471000,24.100000,-2.200000,26.400000
43934,3365784879,480721,3177.064970400,0.481052000,0.849000,0.222000,0.405000,19.900000,10.000000,-3.300000
43935,3365804198,500040,3177.083979000,0.500060600,0.865000,0.116000,0.500000,-6.700000,16.300000,-15.400000
43936,3365823364,519206,3177.103002600,0.519084200,1.109000,0.246000,0.447000,-39.800000,28.200000,-17.000000
43937,3365842531,538373,3177.122074800,0.538156400,0.649000,0.072000,0.676000,-45.100000,33.200000,19.200000
43938,3365861820,557662,3177.141162700,0.557244300,0.673000,-0.124000,0.763000,-22.400000,18.400000,32.800000
43939,3365881108,576950,3177.161424000,0.577505600,0.744000,-0.168000,0.694000,-3.100000,-1.400000,19.000000
43940,3365900275,596117,3177.180053800,0.596135400,0.761000,-0.071000,0.620000,4.100000,-7.100000,9.500000
43941,3365919533,615375,3177.203793500,0.619875100,0.839000,0.028000,0.559000,0.700000,-2.100000,-1.800000
43942,3365938700,634542,3177.218082200,0.634163800,0.854000,0.123000,0.562000,-9.200000,0.400000,-1.300000
43943,3365957897,653739,3177.238123500,0.654205100,0.820000,0.052000,0.581000,-12.200000,3.000000,10.400000
43944,3365977155,672997,3177.257669000,0.673750600,0.785000,-0.015000,0.624000,-7.000000,3.700000,10.000000
43945,3365996413,692255,3177.276172600,0.692254200,0.766000,-0.042000,0.635000,-0.600000,-1.100000,7.400000
43946,3366015610,711452,3177.298755700,0.714837300,0.803000,-0.047000,0.621000,3.500000,-5.700000,0.900000
