meta_label,X
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
21476,3911845699,0,1058.038267500,0.000000000,0.844000,0.128000,0.558000,-0.100000,-6.500000,4.300000
21477,3911864988,19289,1058.057346500,0.019079000,0.837000,0.076000,0.557000,2.000000,-9.200000,1.000000
21478,3911884215,38516,1058.076232200,0.037964700,0.831000,0.092000,0.544000,4.700000,-9.400000,0.000000
21479,3911903443,57744,1058.096306400,0.058038900,0.838000,0.125000,0.521000,3.600000,-8.100000,-0.400000
21480,3911922640,76941,1058.115262500,0.076995000,0.844000,0.126000,0.515000,0.100000,-4.400000,-2.600000
21481,3911941959,96260,1058.134165900,0.095898400,0.828000,0.113000,0.531000,-2.200000,-1.000000,-2.800000
21482,3911961095,115396,1058.155757200,0.117489700,0.816000,0.095000,0.563000,-2.800000,-2.500000,-6.400000
21483,3911980292,134593,1058.172307000,0.134039500,0.804000,0.095000,0.563000,-0.800000,-4.100000,-9.500000
21484,3911999581,153882,1058.193332300,0.155064800,0.782000,0.048000,0.598000,3.300000,-8.200000,-12.100000
21485,3912018869,173170,1058.211550000,0.173282500,0.746000,-0.058000,0.685000,14.000000,-21.400000,-36.300000
21486,3912038067,192368,1058.230633300,0.192365800,1.076000,0.209000,0.486000,2.300000,-23.000000,-24.900000
21487,3912057233,211534,1058.252163100,0.213895600,0.861000,0.189000,0.334000,-3.500000,-10.100000,-20.500000
21488,3912076491,230792,1058.268450000,0.230182500,0.849000,0.267000,0.517000,-1.400000,-3.500000,-13.700000
21489,3912095749,250050,1058.288392300,0.250124800,0.771000,0.557000,0.591000,-9.300000,-31.900000,27.000000
21490,3912114977,269278,1058.308113500,0.269846000,0.864000,0.100000,0.328000,-7.700000,-9.200000,47.400000
21491,3912134174,288475,1058.326375600,0.288108100,0.837000,0.099000,0.493000,1.000000,0.700000,37.000000
21492,3912153463,307764,1058.348168800,0.309901300,0.788000,0.000000,0.470000,-2.500000,5.700000,24.600000
21493,3912172629,326930,1058.367700400,0.329432900,0.822000,-0.139000,0.499000,-15.100000,11.000000,-22.300000
21494,3912191857,346158,1058.384325400,0.346057900,0.805000,0.069000,0.635000,-22.800000,17.100000,-53.300000
21495,3912211084,365385,1058.403283000,0.365015500,0.826000,0.067000,0.687000,-3.300000,-8.800000,-27.100000
21496,3912230312,384613,1058.422409500,0.384142000,0.920000,0.204000,0.518000,-0.900000,-11.400000,-17.800000
21497,3912249601,403902,1058.441347700,0.403080200,0.862000,0.126000,0.468000,-5.100000,-7.800000,-5.200000
21498,3912268889,423190,1058.466492300,0.428224800,0.792000,0.265000,0.505000,10.000000,-1.800000,30.000000
21499,3912288086,442387,1058.480381800,0.442114300,0.821000,0.245000,0.494000,7.900000,4.500000,65.800000
21500,3912307253,461554,1058.499282400,0.461014900,0.888000,0.100000,0.420000,12.200000,9.100000,45.200000
21501,3912326542,480843,1058.522362100,0.484094600,0.902000,0.148000,0.454000,10.200000,12.200000,-4.000000
21502,3912345769,500070,1058.538509100,0.500241600,1.077000,0.002000,0.351000,-21.000000,15.800000,-31.600000
21503,3912364997,519298,1058.557464600,0.519197100,0.842000,0.314000,0.553000,-38.700000,27.800000,-31.200000
21504,3912384163,538464,1058.576455300,0.538187800,0.778000,0.095000,0.616000,-28.700000,30.800000,-2.900000
21505,3912403483,557784,1058.599255800,0.560988300,0.725000,0.080000,0.673000,-15.700000,10.600000,9.400000
21506,3912422649,576950,1058.615385700,0.577118200,0.770000,0.037000,0.629000,-6.600000,-0.900000,13.500000
21507,3912441877,596178,1058.635309000,0.597041500,0.814000,0.056000,0.579000,-1.300000,-6.400000,12.100000
21508,3912461104,615405,1058.654105400,0.615837900,0.849000,0.059000,0.531000,-2.100000,-4.300000,3.500000
21509,3912480301,634602,1058.672456600,0.634189100,0.841000,0.110000,0.538000,-4.500000,-1.000000,0.000000
21510,3912499621,653922,1058.691356600,0.653089100,0.853000,0.087000,0.532000,-7.200000,0.500000,-0.700000
21511,3912518757,673058,1058.712996600,0.674729100,0.847000,0.111000,0.531000,-8.200000,3.300000,2.500000
21512,3912537954,692255,1058.730520000,0.692252500,0.844000,0.085000,0.546000,-4.000000,4.200000,5.800000
21513,3912557242,711543,1058.754846900,0.716579400,0.823000,0.070000,0.585000,-1.400000,2.000000,5.900000
21514,3912576561,730862,1058.768389400,0.730121900,0.816000,0.043000,0.593000,2.400000,-0.100000,1.500000
