meta_label,x
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
53173,3543450894,0,3354.698589500,0.000000000,0.822000,0.113000,0.553000,3.500000,-5.100000,-2.400000
53174,3543470060,19166,3354.718689900,0.020100400,0.843000,0.141000,0.537000,4.900000,-7.200000,-1.400000
53175,3543489349,38455,3354.737719800,0.039130300,0.863000,0.152000,0.497000,3.600000,-5.700000,0.200000
53176,3543508515,57621,3354.756599200,0.058009700,0.880000,0.177000,0.488000,4.400000,-3.400000,3.800000
53177,3543527743,76849,3354.777045800,0.078456300,0.864000,0.163000,0.497000,0.000000,0.000000,7.200000
53178,3543547032,96138,3354.795577100,0.096987600,0.832000,0.118000,0.534000,-2.800000,0.700000,6.900000
53179,3543566351,115457,3354.814634900,0.116045400,0.796000,0.069000,0.583000,-1.600000,-3.200000,1.300000
53180,3543585517,134623,3354.835292300,0.136702800,0.810000,0.068000,0.582000,2.600000,-9.200000,-2.100000
53181,3543604684,153790,3354.852785400,0.154195900,0.815000,0.093000,0.549000,5.800000,-13.100000,-8.600000
53182,3543623973,173079,3354.873531800,0.174942300,0.810000,0.125000,0.547000,6.000000,-16.700000,-8.200000
53183,3543643139,192245,3354.891615200,0.193025700,0.794000,0.079000,0.605000,2.200000,-22.000000,-10.200000
53184,3543662367,211473,3354.910634600,0.212045100,1.047000,0.238000,0.453000,-11.000000,-14.400000,-5.900000
53185,3543681625,230731,3354.930240800,0.231651300,0.866000,0.109000,0.394000,-3.000000,-6.500000,-7.300000
53186,3543700914,250020,3354.948737000,0.250147500,0.872000,0.115000,0.493000,8.700000,-4.000000,-9.400000
53187,3543720080,269186,3354.968684500,0.270095000,0.870000,0.386000,0.491000,13.900000,-16.500000,2.600000
53188,3543739369,288475,3354.987620800,0.289031300,0.943000,0.239000,0.422000,8.900000,-6.600000,17.500000
53189,3543758535,307641,3355.006662300,0.308072800,0.795000,0.074000,0.489000,2.900000,-3.000000,29.400000
53190,3543777702,326808,3355.028488800,0.329899300,0.874000,0.039000,0.466000,3.000000,4.000000,7.100000
53191,3543796991,346097,3355.044803400,0.346213900,0.917000,0.075000,0.402000,-16.500000,21.500000,-26.600000
53192,3543816218,365324,3355.064652900,0.366063400,0.756000,0.133000,0.626000,-30.000000,24.500000,-23.200000
53193,3543835476,384582,3355.085602600,0.387013100,0.700000,0.043000,0.754000,-8.700000,-5.800000,-11.500000
