meta_label,x
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
40918,2279396313,0,2298.702737800,0.000000000,0.875000,-0.066000,0.500000,3.700000,0.000000,-5.900000
40919,2279415480,19167,2298.721949100,0.019211300,0.841000,-0.062000,0.520000,4.000000,-4.800000,-5.100000
40920,2279434799,38486,2298.740778100,0.038040300,0.877000,-0.069000,0.489000,5.400000,-6.500000,-5.600000
40921,2279454087,57774,2298.761725600,0.058987800,0.881000,-0.068000,0.477000,4.400000,-7.400000,-5.900000
40922,2279473254,76941,2298.779820700,0.077082900,0.889000,-0.079000,0.472000,3.600000,-5.700000,-9.800000
40923,2279492481,96168,2298.798695300,0.095957500,0.834000,-0.077000,0.512000,4.300000,-7.600000,-11.500000
40924,2279511709,115396,2298.820379800,0.117642000,0.840000,-0.075000,0.530000,9.200000,-12.500000,-12.700000
40925,2279530876,134563,2298.836648000,0.133910200,0.853000,-0.047000,0.502000,11.600000,-16.400000,-13.200000
40926,2279550103,153790,2298.856726300,0.153988500,0.871000,-0.089000,0.487000,9.700000,-16.300000,-23.500000
40927,2279569331,173018,2298.875968400,0.173230600,1.003000,0.003000,0.415000,-3.400000,-5.400000,-19.900000
40928,2279588528,192215,2298.894874200,0.192136400,0.931000,0.013000,0.440000,-15.700000,-7.200000,-15.600000
40929,2279607847,211534,2298.913822200,0.211084400,0.907000,-0.068000,0.400000,-1.300000,-5.700000,-17.000000
40930,2279627075,230762,2298.936743400,0.234005600,0.915000,0.003000,0.441000,8.200000,-2.400000,-18.000000
40931,2279646333,250020,2298.952804100,0.250066300,0.917000,0.234000,0.497000,3.800000,-17.900000,-6.300000
40932,2279665499,269186,2298.974161800,0.271424000,0.894000,0.214000,0.318000,-2.800000,-13.800000,21.800000
40933,2279684788,288475,2298.990652000,0.287914200,0.874000,0.080000,0.431000,-3.400000,-9.700000,39.800000
40934,2279703985,307672,2299.009755800,0.307018000,0.895000,-0.288000,0.437000,-0.900000,2.200000,29.000000
40935,2279723213,326900,2299.029731500,0.326993700,0.927000,-0.220000,0.418000,-8.000000,27.300000,-20.300000
40936,2279742410,346097,2299.049160700,0.346422900,0.786000,-0.030000,0.607000,-22.400000,26.400000,-22.800000
40937,2279761729,365416,2299.067744200,0.365006400,0.761000,-0.100000,0.674000,-11.400000,-0.500000,-17.600000
40938,2279780895,384582,2299.086758700,0.384020900,0.988000,-0.208000,0.549000,3.100000,-26.800000,-16.200000
40939,2279800123,403810,2299.108145400,0.405407600,0.889000,-0.007000,0.477000,4.400000,-14.500000,-11.600000
40940,2279819351,423038,2299.125927400,0.423189600,0.843000,0.146000,0.393000,16.200000,-7.800000,30.700000
40941,2279838548,442235,2299.148112500,0.445374700,0.896000,0.194000,0.383000,23.900000,-13.200000,65.200000
40942,2279857897,461584,2299.163724800,0.460987000,0.954000,-0.069000,0.331000,28.400000,3.800000,26.500000
40943,2279877033,480720,2299.182696200,0.479958400,0.975000,-0.128000,0.371000,10.300000,8.200000,5.200000
40944,2279896292,499979,2299.204226400,0.501488600,1.065000,0.005000,0.297000,-20.700000,38.200000,-36.100000
40945,2279915519,519206,2299.221865000,0.519127200,0.877000,0.202000,0.448000,-52.200000,60.000000,-15.000000
40946,2279934808,538495,2299.240676000,0.537938200,0.813000,0.053000,0.576000,-55.400000,61.000000,2.000000
40947,2279953974,557661,2299.262244500,0.559506700,0.746000,-0.050000,0.699000,-47.700000,31.500000,10.200000
40948,2279973141,576828,2299.279719300,0.576981500,0.748000,-0.209000,0.679000,-26.500000,1.600000,17.800000
40949,2279992460,596147,2299.298779100,0.596041300,0.799000,-0.235000,0.605000,-2.600000,-13.400000,14.600000
40950,2280011749,615436,2299.318579300,0.615841500,0.810000,-0.183000,0.539000,7.600000,-15.800000,6.200000
40951,2280030915,634602,2299.336910000,0.634172200,0.843000,-0.124000,0.511000,18.000000,-16.800000,0.300000
40952,2280050143,653830,2299.356799200,0.654061400,0.930000,-0.073000,0.450000,23.800000,-11.400000,-4.000000
40953,2280069371,673058,2299.378393000,0.675655200,0.901000,0.008000,0.462000,18.600000,-3.300000,2.200000
40954,2280088537,692224,2299.394704100,0.691966300,0.912000,0.015000,0.450000,11.100000,1.000000,8.400000
40955,2280107887,711574,2299.416662300,0.713924500,0.912000,-0.013000,0.479000,4.800000,8.300000,7.800000
40956,2280127023,730710,2299.432795700,0.730057900,0.861000,-0.034000,0.514000,0.600000,9.200000,9.700000
40957,2280146220,749907,2299.452710400,0.749972600,0.872000,-0.084000,0.519000,-0.200000,9.500000,10.500000
40958,2280165509,769196,2299.472765600,0.770027800,0.833000,-0.084000,0.537000,4.300000,10.600000,8.100000
40959,2280184797,788484,2299.490764000,0.788026200,0.830000,-0.116000,0.544000,6.800000,7.100000,6.400000
40960,2280203994,807681,2299.514798900,0.812061100,0.871000,-0.131000,0.521000,9.900000,6.100000,1.700000
40961,2280223161,826848,2299.529878000,0.827140200,0.844000,-0.078000,0.523000,9.900000,7.500000,-2.700000
40962,2280242449,846136,2299.552847000,0.850109200,0.817000,-0.068000,0.546000,5.800000,3.900000,-5.800000
40963,2280261677,865364,2299.567919500,0.865181700,0.843000,-0.059000,0.547000,9.400000,2.700000,-5.800000
40964,2280280905,884592,2299.586646000,0.883908200,0.858000,-0.039000,0.544000,4.200000,2.200000,-1.300000
40965,2280300102,903789,2299.609275300,0.906537500,0.825000,-0.074000,0.560000,1.700000,1.600000,-2.500000
