meta_label,x
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
46582,3134376899,0,280.708110100,0.000000000,0.854000,0.230000,0.502000,0.900000,-4.300000,-4.000000
46583,3134396066,19167,280.726998100,0.018888000,0.826000,0.203000,0.519000,-0.500000,-2.400000,0.400000
46584,3134415294,38395,280.752235700,0.044125600,0.843000,0.200000,0.525000,0.100000,-2.600000,0.000000
46585,3134434521,57622,280.765101400,0.056991300,0.834000,0.196000,0.523000,-1.400000,-1.800000,-0.700000
46586,3134453718,76819,280.784009600,0.075899500,0.824000,0.187000,0.541000,1.600000,-3.900000,-1.400000
46587,3134473068,96169,280.810477800,0.102367700,0.786000,0.194000,0.561000,4.000000,-6.000000,-1.100000
46588,3134492204,115305,280.822959300,0.114849200,0.760000,0.098000,0.630000,10.600000,-14.700000,-4.700000
46589,3134511462,134563,280.842009800,0.133899700,0.968000,0.132000,0.504000,7.300000,-15.300000,-21.200000
46590,3134530690,153791,280.863539600,0.155429500,0.870000,0.248000,0.482000,-4.100000,-12.700000,-18.700000
46591,3134549978,173079,280.881223300,0.173113200,0.836000,0.259000,0.415000,3.400000,-12.600000,-12.300000
46592,3134569145,192246,280.900275900,0.192165800,0.941000,0.270000,0.532000,9.900000,-10.300000,-8.100000
46593,3134588312,211413,280.919171300,0.211061200,0.952000,0.332000,0.501000,2.700000,-20.400000,8.900000
46594,3134607600,230701,280.938046400,0.229936300,0.679000,0.278000,0.290000,-2.000000,-22.000000,19.600000
46595,3134626828,249929,280.957121400,0.249011300,0.882000,0.199000,0.550000,1.900000,0.000000,10.000000
46596,3134646025,269126,280.979200600,0.271090500,0.772000,0.092000,0.397000,9.200000,7.000000,-0.200000
46597,3134665252,288353,280.999154800,0.291044700,0.834000,0.215000,0.493000,10.200000,15.200000,-0.500000
46598,3134684541,307642,281.015108000,0.306997900,0.935000,0.154000,0.411000,-19.200000,28.200000,-21.800000
46599,3134703738,326839,281.035124400,0.327014300,0.779000,0.263000,0.587000,-29.800000,16.200000,-28.900000
46600,3134723057,346158,281.054273400,0.346163300,0.727000,0.240000,0.697000,-12.500000,-3.800000,-20.000000
46601,3134742193,365294,281.073205900,0.365095800,0.705000,0.093000,0.714000,3.300000,-24.500000,-6.000000
46602,3134761360,384461,281.096003700,0.387893600,1.018000,0.130000,0.503000,12.000000,-34.600000,-17.100000
46603,3134780710,403811,281.111299500,0.403189400,0.813000,0.331000,0.329000,0.600000,-20.200000,-4.600000
46604,3134799846,422947,281.130074100,0.421964000,0.857000,0.354000,0.431000,23.000000,5.500000,15.100000
46605,3134819165,442266,281.155560700,0.447450600,0.878000,0.175000,0.400000,18.000000,9.100000,66.400000
46606,3134838331,461432,281.169258200,0.461148100,0.857000,0.216000,0.458000,14.900000,3.200000,25.900000
46607,3134857620,480721,281.188239700,0.480129600,0.819000,0.273000,0.457000,0.100000,7.700000,7.500000
46608,3134876848,499949,281.210044500,0.501934400,0.895000,0.146000,0.520000,-11.400000,1.500000,-18.600000
46609,3134896045,519146,281.227485600,0.519375500,0.897000,0.278000,0.445000,-17.900000,16.800000,-14.700000
46610,3134915272,538373,281.246134700,0.538024600,0.791000,0.248000,0.537000,-20.600000,14.200000,-6.700000
46611,3134934561,557662,281.265151300,0.557041200,0.772000,0.224000,0.584000,-10.300000,3.200000,4.400000
46612,3134953727,576828,281.283892700,0.575782600,0.827000,0.134000,0.567000,-5.100000,0.500000,4.900000
46613,3134972955,596056,281.303054100,0.594944000,0.823000,0.178000,0.532000,-0.900000,-4.000000,-2.500000
46614,3134992183,615284,281.326508500,0.618398400,0.846000,0.236000,0.505000,-2.600000,-4.000000,0.600000
46615,3135011380,634481,281.342089700,0.633979600,0.845000,0.231000,0.497000,-1.900000,-1.800000,3.600000
46616,3135030699,653800,281.361092800,0.652982700,0.828000,0.210000,0.519000,-2.600000,0.400000,4.900000
46617,3135049988,673089,281.384414800,0.676304700,0.827000,0.170000,0.546000,-1.800000,-1.000000,3.900000
46618,3135069185,692286,281.400135100,0.692025000,0.818000,0.171000,0.548000,1.700000,-2.700000,-0.300000
46619,3135088351,711452,281.420322500,0.712212400,0.834000,0.205000,0.522000,2.400000,-4.200000,-1.400000
46620,3135107640,730741,281.438083200,0.729973100,0.859000,0.222000,0.487000,-0.100000,-1.600000,-1.700000
46621,3135126806,749907,281.457175900,0.749065800,0.844000,0.210000,0.504000,-3.400000,0.300000,-2.000000
46622,3135145973,769074,281.476041300,0.767931200,0.828000,0.199000,0.540000,-2.400000,-0.500000,2.000000
46623,3135165262,788363,281.500270200,0.792160100,0.821000,0.180000,0.534000,1.200000,-2.200000,-0.500000
46624,3135184489,807590,281.514966300,0.806856200,0.829000,0.210000,0.522000,0.200000,-2.600000,0.500000
46625,3135203747,826848,281.534050100,0.825940000,0.833000,0.212000,0.527000,-1.100000,-3.000000,3.000000
46626,3135222975,846076,281.553048800,0.844938700,0.842000,0.192000,0.521000,-1.000000,-3.100000,2.100000
46627,3135242203,865304,281.573020000,0.864909900,0.838000,0.184000,0.524000,-1.200000,-1.900000,0.400000
46628,3135261400,884501,281.592380200,0.884270100,0.838000,0.195000,0.520000,-1.600000,-1.200000,0.000000
46629,3135280658,903759,281.611035500,0.902925400,0.835000,0.197000,0.519000,0.000000,-0.800000,0.000000
46630,3135299885,922986,281.630013000,0.921902900,0.827000,0.197000,0.528000,1.300000,-0.200000,0.700000
46631,3135319143,942244,281.650734300,0.942624200,0.824000,0.190000,0.531000,1.200000,-0.900000,0.800000
46632,3135338249,961350,281.669020600,0.960910500,0.834000,0.191000,0.522000,1.700000,-1.000000,-1.500000
46633,3135357629,980730,281.688037700,0.979927600,0.851000,0.195000,0.516000,1.600000,-0.200000,-3.100000
46634,3135376826,999927,281.710844100,1.002734000,0.840000,0.214000,0.512000,-0.500000,0.500000,-1.600000
46635,3135395993,1019094,281.726138100,1.018028000,0.826000,0.202000,0.532000,-0.900000,0.500000,-0.700000
46636,3135415312,1038413,281.746165800,1.038055700,0.822000,0.194000,0.543000,-0.900000,-0.800000,-1.500000
46637,3135434601,1057702,281.764939000,1.056828900,0.822000,0.197000,0.542000,0.000000,-1.800000,-0.500000
46638,3135453767,1076868,281.784201200,1.076091100,0.828000,0.205000,0.528000,-0.900000,-2.800000,-0.500000
46639,3135472995,1096096,281.804837000,1.096726900,0.837000,0.207000,0.521000,-1.200000,-2.100000,0.000000
46640,3135492222,1115323,281.823099800,1.114989700,0.836000,0.203000,0.524000,-1.000000,-0.900000,1.400000
46641,3135511389,1134490,281.843061800,1.134951700,0.833000,0.188000,0.530000,0.000000,-0.200000,1.800000
