meta_label,B
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
59771,1149815882,0,961.485677500,0.000000000,0.835000,0.118000,0.539000,1.900000,-5.900000,1.500000
59772,1149835048,19166,961.505502100,0.019824600,0.853000,0.123000,0.537000,2.600000,-9.300000,2.900000
59773,1149854306,38424,961.527761100,0.042083600,0.860000,0.100000,0.512000,4.000000,-10.500000,4.300000
59774,1149873564,57682,961.543712400,0.058034900,0.848000,0.107000,0.498000,2.300000,-7.300000,-0.900000
59775,1149892792,76910,961.567234100,0.081556600,0.853000,0.101000,0.546000,-3.700000,-5.800000,-3.200000
59776,1149911959,96077,961.582862000,0.097184500,0.819000,0.020000,0.587000,1.400000,-11.300000,-9.300000
59777,1149931186,115304,961.601671100,0.115993600,0.949000,0.090000,0.482000,2.200000,-20.800000,-18.200000
59778,1149950414,134532,961.624917300,0.139239800,0.859000,0.216000,0.452000,-17.800000,-3.800000,-9.100000
59779,1149969641,153759,961.639612900,0.153935400,0.878000,0.147000,0.474000,-18.400000,-5.800000,1.000000
59780,1149988930,173048,961.661747200,0.176069700,0.867000,0.020000,0.493000,-6.700000,-3.900000,-2.000000
59781,1150008249,192367,961.678740600,0.193063100,0.867000,0.106000,0.522000,4.300000,-4.100000,-4.500000
59782,1150027416,211534,961.697677500,0.212000000,0.864000,0.212000,0.492000,5.000000,-8.700000,14.200000
59783,1150046582,230700,961.717406500,0.231729000,0.944000,0.245000,0.549000,4.900000,-12.700000,39.800000
59784,1150065871,249989,961.735713600,0.250036100,0.795000,0.040000,0.397000,4.700000,-4.700000,29.600000
59785,1150085037,269155,961.755758400,0.270080900,0.840000,0.029000,0.504000,-3.500000,5.200000,8.400000
59786,1150104204,288322,961.774714500,0.289037000,0.823000,-0.143000,0.486000,-11.500000,3.400000,-49.100000
59787,1150123523,307641,961.793620500,0.307943000,0.818000,0.076000,0.555000,-15.700000,16.000000,-39.900000
59788,1150142812,326930,961.817252000,0.331574500,0.907000,0.086000,0.547000,-7.600000,-1.200000,-32.100000
59789,1150161978,346096,961.831709000,0.346031500,0.856000,0.244000,0.511000,-4.700000,-8.000000,-19.300000
59790,1150181206,365324,961.851733800,0.366056300,0.858000,0.253000,0.418000,-9.900000,-10.200000,-3.900000
59791,1150200434,384552,961.874657400,0.388979900,0.906000,0.098000,0.501000,-15.100000,-4.700000,-1.800000
59792,1150219600,403718,961.889673700,0.403996200,0.876000,0.208000,0.481000,-17.500000,-18.200000,-20.500000
59793,1150238980,423098,961.911612100,0.425934600,0.868000,0.145000,0.445000,-7.300000,-14.400000,-9.500000
59794,1150258116,442234,961.928800800,0.443123300,0.827000,0.033000,0.532000,0.100000,-5.000000,19.100000
59795,1150277374,461492,961.947502300,0.461824800,0.833000,0.040000,0.619000,9.700000,-3.800000,21.700000
59796,1150296602,480720,961.971151300,0.485473800,0.842000,-0.058000,0.545000,9.900000,-0.900000,15.300000
59797,1150315891,500009,961.985731400,0.500053900,0.872000,0.100000,0.505000,2.800000,-6.900000,12.500000
59798,1150335057,519175,962.005631700,0.519954200,0.877000,0.235000,0.428000,-1.000000,-3.400000,9.100000
59799,1150354224,538342,962.024673200,0.538995700,0.851000,0.283000,0.375000,-16.200000,4.300000,9.200000
59800,1150373512,557630,962.043764400,0.558086900,0.899000,0.104000,0.516000,-16.700000,-8.000000,8.100000
59801,1150392740,576858,962.065325800,0.579648300,0.922000,0.088000,0.400000,-4.600000,-26.600000,6.400000
59802,1150411968,596086,962.081703700,0.596026200,0.830000,-0.021000,0.500000,-5.200000,-4.900000,8.800000
59803,1150431165,615283,962.102319900,0.616642400,0.858000,0.018000,0.608000,4.300000,1.600000,-1.900000
59804,1150450392,634510,962.120706500,0.635029000,0.862000,-0.011000,0.470000,-3.000000,-8.000000,12.700000
59805,1150469650,653768,962.139712900,0.654035400,0.842000,0.139000,0.463000,-11.200000,4.800000,13.100000
59806,1150488970,673088,962.161555000,0.675877500,0.866000,0.246000,0.488000,-5.800000,-4.800000,-8.200000
59807,1150508106,692224,962.178700000,0.693022500,0.878000,0.112000,0.466000,-8.200000,8.200000,7.200000
59808,1150527303,711421,962.202210600,0.716533100,0.880000,0.117000,0.431000,-0.500000,11.000000,9.300000
59809,1150546591,730709,962.216633100,0.730955600,1.011000,0.028000,0.473000,15.500000,7.800000,-16.700000
59810,1150565911,750029,962.235636700,0.749959200,0.995000,0.264000,0.389000,-19.800000,18.100000,1.400000
59811,1150585077,769195,962.255651000,0.769973500,0.834000,0.118000,0.520000,-27.900000,23.100000,11.500000
59812,1150604244,788362,962.275182300,0.789504800,0.778000,0.024000,0.577000,-25.500000,12.000000,18.300000
59813,1150623532,807650,962.293573300,0.807895800,0.788000,-0.085000,0.619000,-9.100000,3.900000,7.300000
59814,1150642699,826817,962.312687600,0.827010100,0.786000,-0.054000,0.578000,-1.600000,0.000000,-2.700000
59815,1150661865,845983,962.331820900,0.846143400,0.860000,0.047000,0.526000,-1.200000,-2.400000,-3.400000
59816,1150681185,865303,962.351779800,0.866102300,0.852000,0.075000,0.530000,-1.900000,-0.900000,-2.900000
59817,1150700473,884591,962.371031200,0.885353700,0.814000,0.057000,0.562000,1.600000,-3.800000,1.600000
59818,1150719640,903758,962.389710700,0.904033200,0.828000,0.028000,0.545000,5.400000,-6.300000,1.200000
59819,1150738928,923046,962.408694100,0.923016600,0.878000,0.021000,0.524000,5.900000,-6.300000,-2.200000
59820,1150758095,942213,962.432831200,0.947153700,0.872000,0.060000,0.494000,3.600000,-1.600000,-6.900000
59821,1150777323,961441,962.447697900,0.962020400,0.868000,0.057000,0.514000,0.400000,-1.600000,-7.400000
59822,1150796611,980729,962.467326000,0.981648500,0.880000,0.079000,0.524000,0.600000,0.100000,-4.400000
59823,1150815747,999865,962.485714800,1.000037300,0.852000,0.044000,0.536000,0.400000,0.600000,-3.700000
59824,1150834944,1019062,962.504683100,1.019005600,0.859000,0.049000,0.522000,-0.400000,-0.400000,-9.700000
59825,1150854233,1038351,962.527516400,1.041838900,0.849000,0.085000,0.519000,-2.100000,1.000000,-5.700000
59826,1150873552,1057670,962.543644200,1.057966700,0.818000,0.070000,0.563000,-1.300000,0.100000,-2.700000
59827,1150892719,1076837,962.562591600,1.076914100,0.823000,0.064000,0.566000,3.200000,-4.500000,-3.300000
