meta_label,B
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
38534,2233552007,0,2252.866536000,0.000000000,0.830000,-0.040000,0.541000,-1.000000,-3.900000,-10.500000
38535,2233571143,19136,2252.885570900,0.019034900,0.811000,-0.062000,0.565000,1.300000,-8.500000,-14.800000
38536,2233590340,38333,2252.904626700,0.038090700,0.793000,-0.095000,0.592000,6.800000,-17.400000,-21.500000
38537,2233609660,57653,2252.924633700,0.058097700,1.048000,-0.005000,0.461000,-2.000000,-12.800000,-31.200000
38538,2233628857,76850,2252.944619500,0.078083500,0.877000,0.099000,0.414000,-12.200000,-13.600000,-15.600000
38539,2233648145,96138,2252.962668300,0.096132300,0.872000,0.109000,0.452000,6.100000,-7.000000,-3.200000
38540,2233667434,115427,2252.981820400,0.115284400,0.901000,0.133000,0.454000,10.700000,-11.100000,19.700000
38541,2233686570,134563,2253.006281300,0.139745300,0.870000,0.059000,0.515000,6.900000,-13.000000,20.400000
38542,2233705798,153791,2253.020616800,0.154080800,0.845000,-0.089000,0.440000,6.300000,8.800000,1.900000
38543,2233725056,173049,2253.039645400,0.173109400,0.863000,0.028000,0.553000,-2.500000,5.200000,-1.400000
38544,2233744283,192276,2253.058743200,0.192207200,0.826000,-0.192000,0.481000,-14.800000,7.100000,-13.400000
38545,2233763419,211412,2253.079892200,0.213356200,0.878000,-0.014000,0.578000,-15.200000,10.300000,-44.700000
38546,2233782739,230732,2253.099599900,0.233063900,0.864000,0.136000,0.535000,-11.100000,-4.200000,-34.500000
38547,2233802027,250020,2253.116601400,0.250065400,0.886000,-0.025000,0.409000,-19.800000,-7.600000,-8.000000
38548,2233821194,269187,2253.135634400,0.269098400,0.915000,0.212000,0.484000,-24.700000,-8.900000,-23.600000
38549,2233840360,288353,2253.154649400,0.288113400,0.907000,0.051000,0.488000,-8.300000,-8.000000,-0.400000
38550,2233859679,307672,2253.174634200,0.308098200,0.803000,0.053000,0.521000,11.600000,-11.700000,14.800000
38551,2233878877,326870,2253.196512400,0.329976400,0.833000,0.052000,0.613000,28.500000,-7.800000,31.400000
38552,2233898165,346158,2253.212756500,0.346220500,0.866000,-0.106000,0.479000,23.100000,-5.500000,3.800000
38553,2233917454,365447,2253.232797700,0.366261700,0.881000,-0.026000,0.414000,4.200000,-0.400000,5.100000
38554,2233936651,384644,2253.250802000,0.384266000,0.920000,0.031000,0.401000,-6.000000,1.700000,-9.500000
38555,2233955817,403810,2253.270844000,0.404308000,1.009000,0.089000,0.416000,-15.400000,-11.000000,-3.400000
38556,2233975106,423099,2253.291949300,0.425413300,0.870000,0.007000,0.504000,-9.000000,-10.800000,4.400000
38557,2233994273,442266,2253.308717000,0.442181000,0.797000,-0.084000,0.683000,8.900000,0.600000,-1.400000
38558,2234013439,461432,2253.327587200,0.461051200,0.815000,0.143000,0.605000,11.800000,-13.300000,26.000000
38559,2234032758,480751,2253.351975100,0.485439100,0.838000,-0.055000,0.480000,20.900000,-6.600000,35.400000
38560,2234052047,500040,2253.366695500,0.500159500,0.885000,0.017000,0.338000,10.000000,1.400000,18.400000
38561,2234071214,519207,2253.385591800,0.519055800,0.936000,0.130000,0.340000,-3.500000,1.900000,-4.500000
38562,2234090441,538434,2253.408205200,0.541669200,0.923000,-0.087000,0.417000,-24.900000,9.800000,8.000000
38563,2234109669,557662,2253.423693200,0.557157200,1.059000,0.069000,0.383000,-10.600000,20.200000,-37.200000
38564,2234128866,576859,2253.443650900,0.577114900,0.893000,0.129000,0.483000,-29.500000,24.900000,0.500000
38565,2234148185,596178,2253.462780300,0.596244300,0.792000,0.008000,0.615000,-22.500000,17.400000,12.200000
38566,2234167321,615314,2253.481647400,0.615111400,0.756000,-0.090000,0.635000,-6.100000,4.200000,10.700000
38567,2234186518,634511,2253.500661200,0.634125200,0.786000,-0.126000,0.579000,0.500000,-1.500000,2.000000
38568,2234205776,653769,2253.520682600,0.654146600,0.827000,-0.021000,0.532000,2.800000,-3.300000,-7.800000
38569,2234225034,673027,2253.542691000,0.676155000,0.884000,0.050000,0.498000,3.200000,-4.400000,-4.100000
38570,2234244292,692285,2253.558814500,0.692278500,0.961000,0.084000,0.423000,-2.100000,-0.900000,3.400000
38571,2234263459,711452,2253.577753600,0.711217600,0.906000,0.067000,0.464000,-10.400000,4.500000,9.000000
38572,2234282748,730741,2253.596671500,0.730135500,0.853000,-0.029000,0.521000,-8.400000,9.600000,10.900000
38573,2234301975,749968,2253.616679700,0.750143700,0.808000,-0.072000,0.586000,-4.500000,5.700000,13.300000
38574,2234321203,769196,2253.636029900,0.769493900,0.785000,-0.091000,0.603000,3.100000,-0.400000,10.400000
38575,2234340400,788393,2253.654684600,0.788148600,0.849000,-0.126000,0.548000,10.100000,-7.200000,6.900000
38576,2234359628,807621,2253.673608100,0.807072100,0.877000,-0.066000,0.501000,12.800000,-7.400000,-0.400000
38577,2234378886,826879,2253.697063400,0.830527400,0.871000,-0.035000,0.510000,11.700000,-4.700000,-2.100000
38578,2234398205,846198,2253.712652700,0.846116700,0.888000,-0.046000,0.491000,10.800000,-1.900000,-4.300000
38579,2234417341,865334,2253.731696100,0.865160100,0.880000,-0.006000,0.492000,4.600000,1.600000,-6.300000
38580,2234436538,884531,2253.754225200,0.887689200,0.879000,-0.002000,0.500000,3.900000,5.900000,-9.600000
