meta_label,b
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
24606,1733850172,0,1545.417966700,0.000000000,0.877000,0.144000,0.454000,4.100000,-2.100000,-1.400000
24607,1733869400,19228,1545.437061100,0.019094400,0.874000,0.183000,0.441000,2.300000,-3.800000,-4.400000
24608,1733888597,38425,1545.455970300,0.038003600,0.896000,0.198000,0.431000,0.400000,-3.000000,-2.600000
24609,1733907886,57714,1545.474936100,0.056969400,0.884000,0.180000,0.429000,1.200000,-1.700000,0.700000
24610,1733927052,76880,1545.493962200,0.075995500,0.879000,0.155000,0.445000,2.700000,-1.700000,0.600000
24611,1733946341,96169,1545.517787300,0.099820600,0.887000,0.152000,0.450000,3.200000,-2.600000,-1.600000
24612,1733965569,115397,1545.533119300,0.115152600,0.872000,0.175000,0.449000,2.700000,-3.300000,-2.100000
24613,1733984827,134655,1545.551947400,0.133980700,0.873000,0.188000,0.446000,1.900000,-4.800000,-0.600000
24614,1734003993,153821,1545.570968500,0.153001800,0.887000,0.171000,0.435000,2.100000,-4.800000,-1.300000
24615,1734023343,173171,1545.591006300,0.173039600,0.879000,0.167000,0.438000,1.400000,-4.400000,-3.800000
24616,1734042509,192337,1545.610415300,0.192448600,0.870000,0.165000,0.461000,-1.200000,-5.500000,-7.300000
24617,1734061676,211504,1545.628889700,0.210923000,0.853000,0.127000,0.481000,-3.500000,-10.100000,-16.200000
24618,1734080934,230762,1545.648101400,0.230134700,0.833000,0.190000,0.491000,-4.200000,-16.200000,-24.000000
24619,1734100192,250020,1545.671423800,0.253457100,0.800000,0.222000,0.524000,-5.400000,-23.900000,-18.500000
24620,1734119420,269248,1545.687037800,0.269071100,1.076000,0.234000,0.353000,-10.100000,-33.700000,-11.400000
24621,1734138586,288414,1545.705870100,0.287903400,0.897000,0.337000,0.282000,-21.900000,-13.000000,2.500000
24622,1734157906,307734,1545.724902500,0.306935800,0.904000,0.143000,0.293000,-15.300000,2.100000,10.800000
24623,1734177072,326900,1545.744072200,0.326105500,0.964000,0.144000,0.488000,0.400000,-2.800000,6.900000
24624,1734196300,346128,1545.768265600,0.350298900,0.909000,0.256000,0.472000,2.900000,-17.600000,46.800000
24625,1734215527,365355,1545.782910700,0.364944000,0.842000,0.099000,0.354000,22.900000,-4.000000,43.300000
24626,1734234755,384583,1545.801964300,0.383997600,0.871000,0.093000,0.406000,13.800000,-2.800000,-2.000000
24627,1734254044,403872,1545.821370600,0.403403900,0.884000,0.227000,0.426000,-5.300000,-3.900000,0.200000
24628,1734273180,423008,1545.840997000,0.423030300,0.899000,0.132000,0.421000,-19.600000,-5.600000,-4.600000
24629,1734292377,442205,1545.859933000,0.441966300,0.898000,0.031000,0.441000,-14.400000,-2.800000,-37.100000
24630,1734311665,461493,1545.878969500,0.461002800,0.932000,0.161000,0.382000,-14.900000,-8.000000,-22.200000
24631,1734330984,480812,1545.898003600,0.480036900,0.888000,0.231000,0.355000,-24.400000,-15.300000,-8.500000
24632,1734350151,499979,1545.918710200,0.500743500,0.891000,0.174000,0.417000,-9.200000,-8.800000,3.000000
24633,1734369318,519146,1545.936967300,0.519000600,0.881000,0.182000,0.467000,-5.600000,-10.900000,16.100000
24634,1734388606,538434,1545.955939600,0.537972900,0.922000,0.183000,0.479000,2.600000,-1.000000,3.600000
24635,1734407925,557753,1545.976168600,0.558201900,0.852000,0.093000,0.375000,8.700000,-9.900000,-3.200000
24636,1734427061,576889,1545.994052700,0.576086000,0.907000,-0.025000,0.539000,3.200000,-2.700000,28.500000
24637,1734446259,596087,1546.014864900,0.596898200,0.771000,0.249000,0.305000,14.900000,-1.300000,-0.400000
24638,1734465547,615375,1546.033178300,0.615211600,0.955000,0.007000,0.491000,19.500000,1.100000,-5.300000
24639,1734484775,634603,1546.051938600,0.633971900,0.919000,0.330000,0.148000,4.500000,-6.300000,-11.600000
24640,1734504063,653891,1546.075582500,0.657615800,0.885000,0.315000,0.214000,-11.600000,24.000000,10.400000
24641,1734523199,673027,1546.091265000,0.673298300,0.981000,0.137000,0.398000,-2.900000,11.500000,-14.400000
24642,1734542488,692316,1546.110228200,0.692261500,1.054000,0.170000,0.360000,-21.300000,28.600000,-6.000000
24643,1734561685,711513,1546.129034600,0.711067900,0.786000,0.142000,0.530000,-15.300000,24.900000,6.100000
24644,1734580974,730802,1546.148125000,0.730158300,0.839000,0.101000,0.509000,-10.400000,12.600000,-1.600000
24645,1734600171,749999,1546.168178100,0.750211400,0.855000,0.139000,0.495000,-7.800000,7.200000,-1.300000
24646,1734619337,769165,1546.186946600,0.768979900,0.865000,0.128000,0.491000,-4.900000,4.500000,0.700000
24647,1734638596,788424,1546.206094500,0.788127800,0.866000,0.139000,0.475000,-3.800000,-2.300000,-2.100000
24648,1734657854,807682,1546.227591500,0.809624800,0.869000,0.193000,0.458000,-2.800000,-5.000000,0.500000
24649,1734677081,826909,1546.244020800,0.826054100,0.888000,0.163000,0.440000,-2.900000,-4.900000,5.800000
24650,1734696278,846106,1546.264100300,0.846133600,0.902000,0.137000,0.416000,-1.200000,-2.500000,3.700000
