meta_label,C
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
12664,2764462778,0,2575.848394500,0.000000000,0.849000,0.193000,0.492000,2.200000,-6.100000,-3.400000
12665,2764482067,19289,2575.867500600,0.019106100,0.855000,0.200000,0.495000,0.400000,-5.200000,-2.800000
12666,2764501233,38455,2575.887480400,0.039085900,0.867000,0.215000,0.471000,1.300000,-3.000000,-0.500000
12667,2764520400,57622,2575.906706700,0.058312200,0.860000,0.213000,0.481000,1.300000,-1.300000,0.300000
12668,2764539719,76941,2575.925840900,0.077446400,0.846000,0.194000,0.501000,2.600000,-1.400000,0.600000
12669,2764559008,96230,2575.944544500,0.096150000,0.835000,0.193000,0.510000,3.500000,-1.800000,1.500000
12670,2764578174,115396,2575.968646000,0.120251500,0.856000,0.186000,0.502000,2.500000,-3.700000,-1.100000
12671,2764597463,134685,2575.983512300,0.135117800,0.850000,0.202000,0.500000,1.300000,-4.600000,-1.500000
12672,2764616629,153851,2576.003972300,0.155577800,0.860000,0.185000,0.492000,1.300000,-5.800000,-2.300000
12673,2764635796,173018,2576.021642700,0.173248200,0.852000,0.191000,0.495000,2.300000,-4.600000,-2.000000
12674,2764655085,192307,2576.040375800,0.191981300,0.844000,0.199000,0.503000,3.900000,-4.600000,-1.600000
12675,2764674312,211534,2576.065481000,0.217086500,0.843000,0.208000,0.494000,2.900000,-5.900000,-1.600000
12676,2764693570,230792,2576.079520400,0.231125900,0.846000,0.196000,0.497000,2.200000,-6.500000,-2.300000
12677,2764712767,249989,2576.098535100,0.250140600,0.854000,0.190000,0.493000,2.300000,-7.500000,-4.400000
12678,2764732056,269278,2576.117379300,0.268984800,0.849000,0.218000,0.487000,2.200000,-8.700000,-3.400000
12679,2764751253,288475,2576.137319700,0.288925200,0.847000,0.209000,0.491000,-1.000000,-9.000000,-5.400000
12680,2764770481,307703,2576.156784000,0.308389500,0.839000,0.197000,0.501000,0.000000,-8.700000,-3.900000
12681,2764789739,326961,2576.175499400,0.327104900,0.906000,0.252000,0.439000,-4.900000,-4.500000,-7.700000
12682,2764808905,346127,2576.194513000,0.346118500,0.854000,0.204000,0.457000,-14.600000,-4.600000,-0.900000
12683,2764828194,365416,2576.217604800,0.369210300,0.848000,0.231000,0.493000,-15.500000,-4.000000,-7.000000
12684,2764847361,384583,2576.233508600,0.385114100,0.838000,0.199000,0.488000,-13.800000,-5.100000,1.200000
12685,2764866649,403871,2576.252581200,0.404186700,0.879000,0.208000,0.512000,-5.500000,-1.500000,-1.500000
12686,2764885785,423007,2576.271582000,0.423187500,0.828000,0.194000,0.449000,0.000000,-4.100000,5.900000
12687,2764905043,442265,2576.290511300,0.442116800,0.876000,0.112000,0.554000,9.000000,6.700000,15.800000
12688,2764924271,461493,2576.310414300,0.462019800,0.865000,0.199000,0.406000,15.400000,-5.500000,8.600000
12689,2764943499,480721,2576.329388500,0.480994000,0.903000,0.351000,0.436000,12.100000,0.000000,9.400000
12690,2764962787,500009,2576.348502000,0.500107500,0.851000,0.050000,0.396000,15.900000,-4.400000,-10.300000
12691,2764982106,519328,2576.372290300,0.523895800,0.871000,0.411000,0.536000,-5.900000,-21.600000,38.900000
12692,2765001273,538495,2576.387458200,0.539063700,0.938000,0.097000,0.382000,-12.100000,0.800000,13.400000
12693,2765020501,557723,2576.406490300,0.558095800,0.830000,0.147000,0.591000,-32.300000,-13.200000,1.600000
12694,2765039728,576950,2576.425531600,0.577137100,0.829000,0.038000,0.438000,-31.300000,-14.100000,-27.900000
12695,2765058895,596117,2576.444769900,0.596375400,0.811000,0.302000,0.431000,-14.900000,-5.300000,-35.800000
12696,2765078092,615314,2576.465459900,0.617065400,0.908000,0.317000,0.399000,-2.000000,2.700000,-1.700000
12697,2765097350,634572,2576.483588800,0.635194300,1.090000,0.231000,0.324000,-5.200000,14.300000,6.600000
12698,2765116669,653891,2576.502637900,0.654243400,0.902000,0.232000,0.402000,-21.700000,34.300000,19.700000
12699,2765135836,673058,2576.521400100,0.673005600,0.834000,0.128000,0.530000,-20.800000,38.300000,15.900000
12700,2765155063,692285,2576.540352400,0.691957900,0.749000,0.112000,0.621000,-16.900000,29.400000,12.700000
12701,2765174321,711543,2576.561386200,0.712991700,0.713000,0.072000,0.670000,-13.700000,17.000000,5.500000
12702,2765193488,730710,2576.579570600,0.731176100,0.722000,0.057000,0.686000,-7.000000,1.600000,-0.200000
12703,2765212746,749968,2576.598524100,0.750129600,0.791000,0.069000,0.622000,7.200000,-11.200000,-3.200000
12704,2765231974,769196,2576.619601500,0.771207000,0.829000,0.095000,0.565000,18.100000,-11.900000,-6.400000
12705,2765251262,788484,2576.637517500,0.789123000,0.863000,0.155000,0.483000,17.000000,-11.000000,-7.600000
12706,2765270429,807651,2576.656794200,0.808399700,0.884000,0.223000,0.455000,13.200000,-8.600000,-5.900000
12707,2765289748,826970,2576.675531800,0.827137300,0.905000,0.249000,0.426000,7.200000,-3.700000,-1.200000
12708,2765308915,846137,2576.694578900,0.846184400,0.878000,0.227000,0.451000,1.600000,2.700000,2.300000
12709,2765328081,865303,2576.719469400,0.871074900,0.858000,0.169000,0.504000,-1.500000,4.200000,3.500000
12710,2765347370,884592,2576.733378200,0.884983700,0.819000,0.148000,0.545000,-2.000000,3.100000,2.600000
12711,2765366689,903911,2576.752505600,0.904111100,0.805000,0.145000,0.563000,0.700000,-0.800000,1.500000
12712,2765385825,923047,2576.771991600,0.923597100,0.825000,0.131000,0.554000,5.000000,-5.700000,1.800000
12713,2765405022,942244,2576.790537200,0.942142700,0.849000,0.161000,0.519000,8.100000,-7.300000,-2.300000
12714,2765424311,961533,2576.809415400,0.961020900,0.851000,0.182000,0.496000,6.300000,-5.700000,0.100000
12715,2765443477,980699,2576.829454600,0.981060100,0.855000,0.178000,0.502000,6.100000,-4.400000,0.900000
12716,2765462766,999988,2576.848463800,1.000069300,0.880000,0.172000,0.484000,4.900000,-1.500000,-0.100000
12717,2765481993,1019215,2576.868213000,1.019818500,0.853000,0.189000,0.492000,0.600000,-0.800000,0.400000
12718,2765501252,1038474,2576.886459400,1.038064900,0.853000,0.164000,0.511000,1.900000,-1.000000,-1.700000
12719,2765520418,1057640,2576.906408700,1.058014200,0.841000,0.164000,0.517000,0.200000,-1.500000,-1.300000
12720,2765539737,1076959,2576.925372200,1.076977700,0.841000,0.163000,0.523000,0.400000,-2.100000,-1.300000
