meta_label,C
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
3037,1036749172,0,5350.479728900,0.000000000,0.880000,0.166000,0.444000,3.600000,4.100000,-6.800000
3038,1036768521,19349,5350.498572900,0.018844000,0.863000,0.186000,0.474000,-1.700000,1.100000,-11.600000
3039,1036787657,38485,5350.520657400,0.040928500,0.813000,0.208000,0.547000,0.000000,-4.800000,-10.200000
3040,1036806916,57744,5350.537713300,0.057984400,0.818000,0.190000,0.555000,3.300000,-14.700000,-8.700000
3041,1036826143,76971,5350.556672000,0.076943100,0.864000,0.218000,0.477000,6.600000,-21.400000,-6.500000
3042,1036845432,96260,5350.575961000,0.096232100,0.944000,0.277000,0.376000,-0.600000,-12.300000,-4.100000
3043,1036864598,115426,5350.594619700,0.114890800,0.862000,0.237000,0.433000,-12.900000,-11.800000,-1.800000
3044,1036883765,134593,5350.613752500,0.134023600,0.833000,0.163000,0.488000,-16.500000,-9.600000,-5.100000
3045,1036903084,153912,5350.633730400,0.154001500,0.855000,0.178000,0.547000,-14.900000,-6.300000,-1.500000
3046,1036922373,173201,5350.660477800,0.180748900,0.817000,0.213000,0.437000,-7.600000,-7.600000,-2.500000
3047,1036941539,192367,5350.671645600,0.191916700,0.861000,0.219000,0.510000,-1.500000,-0.800000,2.300000
3048,1036960767,211595,5350.691292300,0.211563400,0.860000,0.127000,0.551000,8.100000,3.900000,7.700000
3049,1036979995,230823,5350.712363200,0.232634300,0.869000,0.246000,0.388000,15.700000,-6.500000,11.100000
3050,1036999161,249989,5350.729657500,0.249928600,0.897000,0.335000,0.379000,15.200000,-4.300000,30.200000
3051,1037018511,269339,5350.752179000,0.272450100,0.950000,0.327000,0.412000,-4.400000,-12.900000,43.800000
3052,1037037647,288475,5350.767723900,0.287995000,0.737000,0.182000,0.405000,-17.200000,-14.400000,32.200000
3053,1037056844,307672,5350.787712500,0.307983600,0.830000,0.000000,0.495000,-20.400000,-16.800000,14.600000
3054,1037076133,326961,5350.809238100,0.329509200,0.898000,0.105000,0.497000,-18.400000,-8.600000,-9.900000
3055,1037095421,346249,5350.825741600,0.346012700,0.819000,0.123000,0.395000,-14.500000,0.700000,-7.300000
3056,1037114618,365446,5350.844648800,0.364919900,1.029000,0.316000,0.304000,-9.100000,13.700000,-13.200000
3057,1037133785,384613,5350.863954900,0.384226000,1.064000,0.315000,0.200000,-38.200000,49.600000,7.500000
3058,1037153073,403901,5350.883708500,0.403979600,0.887000,0.274000,0.404000,-42.700000,67.300000,20.000000
3059,1037172301,423129,5350.902625500,0.422896600,0.735000,0.117000,0.651000,-35.500000,56.400000,25.600000
3060,1037191498,442326,5350.922424800,0.442695900,0.639000,0.015000,0.784000,-21.700000,29.300000,23.700000
3061,1037210726,461554,5350.940671800,0.460942900,0.666000,-0.046000,0.773000,-7.100000,2.700000,17.100000
3062,1037230014,480842,5350.959622400,0.479893500,0.781000,-0.024000,0.657000,4.800000,-16.300000,-2.500000
3063,1037249181,500009,5350.979713600,0.499984700,0.852000,0.087000,0.523000,7.100000,-15.500000,-7.300000
3064,1037268409,519237,5350.998712900,0.518984000,0.923000,0.162000,0.441000,2.300000,-5.100000,-5.300000
3065,1037287636,538464,5351.017985100,0.538256200,0.951000,0.229000,0.411000,-4.700000,8.900000,0.800000
3066,1037306833,557661,5351.036756800,0.557027900,0.887000,0.177000,0.467000,-7.300000,17.000000,7.000000
3067,1037326122,576950,5351.056662500,0.576933600,0.845000,0.124000,0.536000,-4.600000,18.400000,10.100000
3068,1037345380,596208,5351.075781600,0.596052700,0.805000,0.053000,0.597000,1.300000,17.000000,8.800000
3069,1037364638,615466,5351.099916800,0.620187900,0.788000,0.067000,0.614000,10.100000,10.200000,1.500000
