meta_label,D
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
2426,1307328747,0,1118.971308700,0.000000000,0.885000,-0.057000,0.467000,2.800000,-0.900000,-2.500000
2427,1307347975,19228,1118.990731500,0.019422800,0.892000,-0.042000,0.464000,3.100000,0.800000,-1.500000
2428,1307367202,38455,1119.009353500,0.038044800,0.866000,-0.063000,0.493000,3.800000,0.500000,-0.900000
2429,1307386430,57683,1119.029267200,0.057958500,0.862000,-0.069000,0.490000,3.500000,-1.500000,-4.200000
2430,1307405718,76971,1119.054405800,0.083097100,0.855000,-0.089000,0.503000,1.000000,-1.600000,-8.600000
2431,1307424854,96107,1119.067297600,0.095988900,0.785000,-0.163000,0.576000,2.000000,-8.900000,-16.000000
2432,1307444143,115396,1119.086222900,0.114914200,1.046000,-0.140000,0.468000,4.600000,-28.900000,-28.600000
2433,1307463371,134624,1119.106313800,0.135005100,0.871000,0.143000,0.400000,-9.900000,-7.700000,-5.400000
2434,1307482659,153912,1119.125186500,0.153877800,0.898000,0.042000,0.388000,-0.800000,-2.200000,0.500000
2435,1307501826,173079,1119.150920300,0.179611600,0.923000,0.063000,0.549000,-2.100000,-8.500000,19.200000
2436,1307520992,192245,1119.167186800,0.195878100,0.869000,-0.016000,0.441000,5.600000,-19.600000,31.800000
2437,1307540312,211565,1119.183251900,0.211943200,0.894000,-0.122000,0.381000,6.900000,-18.800000,34.800000
2438,1307559600,230853,1119.202835900,0.231527200,0.862000,-0.091000,0.458000,-5.500000,0.900000,15.200000
2439,1307578767,250020,1119.225617100,0.254308400,0.876000,-0.274000,0.400000,-14.700000,3.900000,-1.600000
2440,1307597994,269247,1119.240184500,0.268875800,0.844000,-0.174000,0.508000,-2.300000,30.200000,-44.800000
2441,1307617222,288475,1119.259302800,0.287994100,0.875000,-0.034000,0.555000,-6.500000,12.700000,-33.700000
2442,1307636389,307642,1119.281346900,0.310038200,0.931000,0.026000,0.534000,0.900000,6.700000,-18.100000
2443,1307655616,326869,1119.298183600,0.326874900,0.905000,0.044000,0.435000,2.100000,-8.700000,-6.900000
2444,1307674905,346158,1119.317236900,0.345928200,0.886000,-0.020000,0.421000,-5.000000,-4.100000,0.400000
2445,1307694163,365416,1119.345770500,0.374461800,0.926000,-0.106000,0.484000,-7.100000,-5.600000,-12.100000
2446,1307713330,384583,1119.357046600,0.385737900,0.937000,-0.002000,0.455000,-3.600000,-16.500000,-15.600000
2447,1307732649,403902,1119.375107300,0.403798600,0.861000,0.044000,0.402000,-0.400000,-13.400000,0.500000
2448,1307751846,423099,1119.402797200,0.431488500,0.873000,-0.070000,0.511000,5.500000,-8.000000,1.800000
