meta_label,D
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
37077,945276560,0,964.820192200,0.000000000,0.893000,0.027000,0.454000,-0.900000,-5.800000,-1.800000
37078,945295788,19228,964.844417000,0.024224800,0.866000,0.010000,0.484000,-0.900000,-5.000000,-3.400000
37079,945315015,38455,964.858240100,0.038047900,0.842000,-0.005000,0.514000,-1.600000,-5.600000,-9.500000
37080,945334212,57652,964.878339500,0.058147300,0.795000,-0.062000,0.572000,-2.900000,-10.100000,-21.600000
37081,945353562,77002,964.897281600,0.077089400,1.030000,0.065000,0.458000,-10.400000,-17.000000,-29.800000
37082,945372698,96138,964.916336000,0.096143800,0.906000,0.073000,0.401000,-17.100000,-18.100000,-7.700000
37083,945392017,115457,964.935319400,0.115127200,0.919000,0.058000,0.414000,0.100000,-12.400000,1.500000
37084,945411184,134624,964.955338800,0.135146600,0.931000,0.262000,0.501000,7.000000,-23.700000,39.500000
37085,945430472,153912,964.974285000,0.154092800,0.842000,0.023000,0.350000,11.600000,-12.800000,26.800000
37086,945449670,173110,964.993809300,0.173617100,0.850000,0.056000,0.429000,3.500000,2.900000,13.600000
37087,945468806,192246,965.012409800,0.192217600,0.839000,-0.208000,0.428000,-14.900000,9.500000,-7.200000
37088,945488125,211565,965.031374000,0.211181800,0.848000,-0.064000,0.602000,-24.200000,24.600000,-59.200000
37089,945507413,230853,965.055135700,0.234943500,0.903000,0.054000,0.564000,-20.400000,9.100000,-40.200000
37090,945526580,250020,965.070292600,0.250100400,0.944000,0.083000,0.448000,-19.500000,-10.100000,-23.900000
37091,945545747,269187,965.089313000,0.269120800,0.923000,0.135000,0.397000,-16.800000,-8.300000,-13.600000
37092,945565066,288506,965.110573900,0.290381700,0.916000,0.218000,0.503000,-16.400000,-19.900000,-7.100000
37093,945584263,307703,965.128329000,0.308136800,0.947000,0.207000,0.380000,-6.100000,-23.400000,11.200000
37094,945603521,326961,965.147315600,0.327123400,0.894000,0.012000,0.463000,9.000000,-34.100000,30.200000
37095,945622687,346127,965.166279200,0.346087000,0.795000,-0.108000,0.538000,23.600000,-25.200000,36.800000
37096,945641976,365416,965.185332100,0.365139900,0.769000,-0.136000,0.546000,33.900000,-7.400000,22.700000
37097,945661204,384644,965.206598200,0.386406000,0.853000,-0.030000,0.419000,30.800000,11.700000,18.800000
37098,945680492,403932,965.224305200,0.404113000,0.943000,0.157000,0.307000,7.200000,5.700000,9.400000
37099,945699659,423099,965.243290400,0.423098200,0.928000,0.372000,0.193000,-4.900000,11.300000,9.400000
37100,945718825,442265,965.262282400,0.442090200,1.063000,0.084000,0.530000,-20.700000,13.600000,28.600000
37101,945738145,461585,965.281219000,0.461026800,1.075000,0.020000,0.217000,-22.900000,19.300000,16.800000
37102,945757433,480873,965.301558400,0.481366200,0.847000,-0.046000,0.496000,-36.600000,30.100000,30.200000
37103,945776600,500040,965.320242900,0.500050700,0.819000,-0.146000,0.538000,-27.600000,27.600000,10.800000
37104,945795827,519267,965.341052500,0.520860300,0.792000,-0.021000,0.560000,-19.100000,25.000000,12.300000
37105,945815055,538495,965.358276700,0.538084500,0.712000,-0.126000,0.675000,-9.200000,10.100000,19.000000
37106,945834222,557662,965.377358100,0.557165900,0.885000,-0.171000,0.540000,5.400000,-4.600000,5.300000
37107,945853449,576889,965.400865800,0.580673600,0.957000,0.000000,0.413000,6.400000,5.000000,-0.400000
37108,945872738,596178,965.416275800,0.596083600,0.934000,0.088000,0.399000,-7.800000,13.800000,4.200000
37109,945892026,615466,965.435228600,0.615036400,0.883000,0.016000,0.480000,-23.200000,20.500000,6.500000
37110,945911224,634664,965.454237900,0.634045700,0.781000,-0.143000,0.641000,-13.500000,7.700000,-0.400000
37111,945930360,653800,965.474227200,0.654035000,0.730000,-0.196000,0.639000,0.300000,-10.300000,-0.200000
37112,945949679,673119,965.493969300,0.673777100,0.864000,-0.195000,0.522000,17.500000,-19.600000,-12.700000
37113,945968845,692285,965.512278400,0.692086200,0.904000,-0.001000,0.437000,20.600000,-16.400000,-17.400000
37114,945988134,711574,965.531337200,0.711145000,0.933000,0.110000,0.376000,8.600000,-6.200000,-11.500000
37115,946007362,730802,965.552675700,0.732483500,0.924000,0.113000,0.427000,-5.200000,4.600000,-3.800000
37116,946026559,749999,965.570254400,0.750062200,0.886000,0.054000,0.480000,-12.100000,5.000000,3.200000
37117,946045786,769226,965.589232300,0.769040100,0.889000,-0.008000,0.495000,-14.000000,6.500000,4.800000
37118,946065075,788515,965.613202700,0.793010500,0.872000,-0.047000,0.511000,-17.500000,8.300000,6.300000
37119,946084241,807681,965.627307400,0.807115200,0.851000,-0.062000,0.542000,-15.400000,7.300000,5.100000
37120,946103469,826909,965.647312300,0.827120100,0.857000,-0.052000,0.522000,-11.300000,6.100000,2.300000
37121,946122697,846137,965.666322500,0.846130300,0.832000,-0.037000,0.550000,-7.400000,-1.300000,6.400000
37122,946141894,865334,965.685329900,0.865137700,0.824000,-0.048000,0.546000,-0.900000,-5.400000,8.400000
37123,946161243,884683,965.704333000,0.884140800,0.869000,-0.094000,0.480000,0.400000,-4.500000,4.300000
