meta_label,d
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
3352,296744842,0,316.403585700,0.000000000,0.854000,-0.077000,0.519000,2.100000,-2.700000,-6.000000
3353,296764008,19166,316.423492200,0.019906500,0.856000,-0.082000,0.520000,3.200000,-2.400000,-8.200000
3354,296783327,38485,316.442501100,0.038915400,0.853000,-0.045000,0.524000,5.500000,-1.100000,-9.700000
3355,296802616,57774,316.461491500,0.057905800,0.860000,-0.018000,0.528000,3.500000,-1.700000,-6.700000
3356,296821783,76941,316.480633400,0.077047700,0.855000,-0.022000,0.528000,2.000000,-2.900000,-2.900000
3357,296841010,96168,316.500721500,0.097135800,0.849000,-0.034000,0.529000,2.600000,-3.600000,-2.100000
3358,296860238,115396,316.525067900,0.121482200,0.842000,-0.046000,0.536000,1.400000,-4.000000,-2.600000
3359,296879435,134593,316.538730400,0.135144700,0.850000,-0.051000,0.536000,1.800000,-4.100000,-2.400000
3360,296898723,153881,316.557642500,0.154056800,0.855000,-0.047000,0.535000,3.000000,-4.600000,-4.400000
3361,296917890,173048,316.580895200,0.177309500,0.828000,-0.061000,0.547000,1.200000,-12.500000,-6.500000
3362,296937087,192245,316.596698900,0.193113200,0.792000,-0.141000,0.589000,10.600000,-24.000000,-18.100000
3363,296956376,211534,316.615558400,0.211972700,1.012000,-0.070000,0.430000,-0.500000,-13.100000,-19.400000
3364,296975603,230761,316.634678400,0.231092700,0.852000,0.113000,0.430000,-14.800000,-5.400000,2.100000
3365,296994861,250019,316.653652800,0.250067100,0.864000,0.023000,0.516000,-5.800000,-3.700000,6.400000
3366,297014028,269186,316.673655100,0.270069400,0.834000,-0.091000,0.534000,-4.200000,-4.400000,13.200000
3367,297033317,288475,316.696985000,0.293399300,0.905000,-0.150000,0.542000,7.200000,-8.000000,7.200000
3368,297052544,307702,316.711621000,0.308035300,0.830000,0.025000,0.414000,7.700000,-8.600000,9.200000
3369,297071741,326899,316.730723500,0.327137800,0.926000,-0.067000,0.411000,10.400000,-0.800000,0.000000
3370,297090969,346127,316.755424600,0.351838900,0.925000,0.043000,0.543000,-5.700000,1.900000,-0.600000
3371,297110258,365416,316.769634700,0.366049000,0.869000,-0.025000,0.500000,-13.900000,-8.800000,0.900000
3372,297129424,384582,316.788776700,0.385191000,0.875000,0.030000,0.585000,-20.000000,-12.700000,-2.300000
3373,297148652,403810,316.811759600,0.408173900,0.772000,-0.104000,0.475000,-17.400000,1.900000,-27.300000
3374,297167879,423037,316.826774200,0.423188500,0.860000,-0.062000,0.580000,-21.600000,3.000000,-20.100000
3375,297187076,442234,316.846477200,0.442891500,0.864000,-0.178000,0.484000,-17.900000,6.000000,-24.600000
3376,297206396,461554,316.865703800,0.462118100,0.760000,0.029000,0.520000,-19.400000,-2.400000,-7.500000
3377,297225623,480781,316.884552200,0.480966500,0.894000,0.063000,0.463000,-4.100000,-6.200000,-0.200000
3378,297244881,500039,316.903815700,0.500230000,0.878000,-0.108000,0.454000,6.500000,2.100000,3.500000
3379,297264048,519206,316.922698300,0.519112600,0.921000,-0.026000,0.538000,23.700000,2.700000,-3.900000
3380,297283336,538494,316.942532600,0.538946900,0.831000,0.021000,0.584000,14.100000,-10.800000,26.300000
3381,297302503,557661,316.965368500,0.561782800,0.874000,0.008000,0.371000,16.100000,-16.700000,20.700000
3382,297321670,576828,316.980654300,0.577068600,0.830000,0.046000,0.527000,6.100000,-22.000000,34.700000
3383,297340958,596116,316.999595400,0.596009700,0.859000,-0.156000,0.477000,5.400000,-0.700000,18.900000
3384,297360186,615344,317.024447400,0.620861700,0.885000,-0.195000,0.521000,8.300000,6.300000,-4.000000
3385,297379444,634602,317.038646800,0.635061100,0.961000,-0.052000,0.350000,1.200000,15.800000,-20.600000
3386,297398672,653830,317.057616600,0.654030900,0.924000,0.169000,0.501000,-21.300000,35.200000,8.000000
3387,297417899,673057,317.079654100,0.676068400,0.818000,0.004000,0.596000,-21.400000,16.200000,12.700000
3388,297437096,692254,317.095622900,0.692037200,0.748000,-0.094000,0.637000,-9.600000,-0.800000,17.100000
3389,297456415,711573,317.115529600,0.711943900,0.780000,-0.221000,0.593000,5.000000,-9.000000,2.400000
3390,297475551,730709,317.134542100,0.730956400,0.856000,-0.127000,0.507000,9.900000,-9.700000,-4.500000
3391,297494749,749907,317.153554300,0.749968600,0.891000,0.000000,0.504000,11.500000,-7.900000,-5.700000
3392,297514037,769195,317.175911700,0.772326000,0.906000,0.036000,0.468000,7.700000,-5.600000,4.000000
3393,297533326,788484,317.192572800,0.788987100,0.872000,-0.020000,0.495000,3.000000,-0.300000,9.700000
3394,297552523,807681,317.211547000,0.807961300,0.838000,-0.086000,0.539000,2.000000,0.000000,8.000000
3395,297571689,826847,317.230537400,0.826951700,0.848000,-0.115000,0.535000,3.300000,-0.700000,4.700000
3396,297590978,846136,317.249557400,0.845971700,0.842000,-0.087000,0.534000,3.500000,-2.400000,0.400000
3397,297610206,865364,317.269880500,0.866294800,0.874000,-0.070000,0.519000,2.000000,-2.300000,-0.900000
3398,297629464,884622,317.288474300,0.884888600,0.864000,-0.042000,0.507000,-0.900000,-1.500000,-1.000000
3399,297648691,903849,317.308459100,0.904873400,0.858000,-0.043000,0.524000,-2.800000,-0.100000,0.600000
3400,297667919,923077,317.326503600,0.922917900,0.866000,-0.076000,0.520000,-3.900000,0.700000,0.500000
3401,297687086,942244,317.345568500,0.941982800,0.851000,-0.074000,0.528000,-0.900000,-1.000000,1.800000
3402,297706313,961471,317.368715700,0.965130000,0.848000,-0.058000,0.536000,-0.200000,-1.700000,2.900000
3403,297725541,980699,317.384723700,0.981138000,0.846000,-0.077000,0.534000,-2.100000,-3.900000,4.200000
3404,297744738,999896,317.404083900,1.000498200,0.847000,-0.088000,0.532000,0.200000,-4.200000,1.400000
3405,297764088,1019246,317.422612300,1.019026600,0.852000,-0.071000,0.527000,1.200000,-3.800000,1.300000
3406,297783224,1038382,317.442572000,1.038986300,0.867000,-0.073000,0.517000,1.900000,-4.000000,0.600000
3407,297802482,1057640,317.461574500,1.057988800,0.860000,-0.075000,0.517000,2.500000,-3.100000,1.300000
3408,297821709,1076867,317.480728000,1.077142300,0.857000,-0.082000,0.514000,2.400000,-2.600000,0.600000
3409,297840998,1096156,317.499686500,1.096100800,0.860000,-0.064000,0.519000,2.500000,-2.000000,0.200000
3410,297860226,1115384,317.522345500,1.118759800,0.851000,-0.070000,0.522000,0.200000,-1.900000,0.200000
3411,297879453,1134611,317.538695800,1.135110100,0.855000,-0.071000,0.527000,0.200000,-2.400000,0.000000
3412,297898620,1153778,317.557443300,1.153857600,0.853000,-0.078000,0.527000,1.100000,-2.600000,0.100000
