meta_label,d
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
23132,1937371522,0,1956.742615300,0.000000000,0.870000,0.062000,0.482000,4.300000,-6.300000,-4.500000
23133,1937390811,19289,1956.757900800,0.015285500,0.869000,0.065000,0.519000,2.900000,-9.100000,-3.400000
23134,1937409947,38425,1956.780267000,0.037651700,0.853000,-0.019000,0.529000,5.900000,-8.700000,-6.100000
23135,1937429144,57622,1956.797895000,0.055279700,0.846000,-0.022000,0.532000,7.800000,-13.200000,-14.700000
23136,1937448463,76941,1956.816070700,0.073455400,0.844000,0.025000,0.529000,7.200000,-15.500000,-20.900000
23137,1937467599,96077,1956.835183600,0.092568300,0.963000,0.170000,0.418000,-3.800000,-10.200000,-16.500000
23138,1937486949,115427,1956.853820600,0.111205300,0.898000,0.113000,0.459000,-6.600000,-3.200000,0.500000
23139,1937506085,134563,1956.872775900,0.130160600,0.839000,0.069000,0.481000,-2.100000,-3.500000,5.900000
23140,1937525434,153912,1956.893880900,0.151265600,0.874000,0.025000,0.570000,5.600000,-4.500000,22.100000
23141,1937544601,173079,1956.911822600,0.169207300,0.905000,-0.013000,0.471000,7.300000,-8.700000,22.000000
23142,1937563889,192367,1956.930941400,0.188326100,0.905000,0.050000,0.343000,1.400000,-8.100000,-14.600000
23143,1937583056,211534,1956.949782400,0.207167100,0.951000,0.133000,0.491000,-18.700000,-4.100000,-2.000000
23144,1937602223,230701,1956.969719800,0.227104500,0.907000,0.107000,0.379000,-29.100000,-1.400000,-33.700000
23145,1937621542,250020,1956.988822700,0.246207400,0.799000,0.094000,0.535000,-35.200000,-1.100000,-23.000000
23146,1937640769,269247,1957.007766900,0.265151600,0.786000,-0.091000,0.581000,-15.900000,5.000000,-26.700000
23147,1937659966,288444,1957.031053500,0.288438200,0.854000,-0.066000,0.484000,-3.700000,1.000000,-23.000000
23148,1937679163,307641,1957.045797500,0.303182200,0.910000,0.027000,0.436000,4.700000,-6.500000,-10.300000
23149,1937698391,326869,1957.065882800,0.323267500,0.871000,0.162000,0.398000,8.900000,0.600000,-6.400000
23150,1937717649,346127,1957.085377000,0.342761700,0.892000,0.229000,0.606000,10.200000,2.500000,22.800000
23151,1937736968,365446,1957.103852300,0.361237000,0.855000,0.095000,0.459000,8.600000,-17.600000,58.200000
23152,1937756104,384582,1957.122894100,0.380278800,0.860000,0.058000,0.430000,12.500000,-13.800000,40.700000
23153,1937775301,403779,1957.142977200,0.400361900,0.915000,0.008000,0.422000,12.300000,3.300000,24.000000
23154,1937794590,423068,1957.161938200,0.419322900,0.902000,-0.162000,0.433000,9.500000,4.700000,6.000000
23155,1937813787,442265,1957.182535300,0.439920000,0.974000,-0.008000,0.396000,-3.400000,16.100000,-24.800000
23156,1937833076,461554,1957.199998100,0.457382800,0.888000,0.179000,0.469000,-24.200000,24.600000,-7.300000
23157,1937852242,480720,1957.219546200,0.476930900,0.809000,0.077000,0.595000,-22.900000,20.500000,-3.000000
23158,1937871531,500009,1957.242811600,0.500196300,0.765000,-0.002000,0.663000,-6.200000,0.100000,1.600000
23159,1937890728,519206,1957.257899800,0.515284500,0.829000,-0.025000,0.529000,1.400000,-6.600000,0.700000
23160,1937909956,538434,1957.276926800,0.534311500,0.930000,-0.016000,0.440000,1.400000,1.000000,-7.100000
23161,1937929183,557661,1957.297053200,0.554437900,0.898000,0.074000,0.462000,-1.500000,7.900000,-9.100000
23162,1937948472,576950,1957.315980700,0.573365400,0.855000,0.113000,0.514000,-3.000000,11.200000,2.000000
23163,1937967639,596117,1957.337241500,0.594626200,0.839000,0.041000,0.553000,0.800000,6.400000,10.200000
23164,1937986866,615344,1957.353951800,0.611336500,0.847000,-0.007000,0.541000,5.500000,2.000000,10.100000
23165,1938006094,634572,1957.372827800,0.630212500,0.860000,-0.019000,0.527000,5.900000,1.600000,5.100000
23166,1938025291,653769,1957.393620900,0.651005600,0.860000,0.011000,0.519000,5.300000,1.900000,-0.700000
23167,1938044549,673027,1957.411805500,0.669190200,0.856000,0.048000,0.526000,2.800000,1.600000,-0.900000
23168,1938063746,692224,1957.430775600,0.688160300,0.870000,0.068000,0.516000,1.700000,1.700000,-1.900000
23169,1938082943,711421,1957.451515600,0.708900300,0.896000,0.049000,0.492000,-2.100000,3.600000,0.000000
23170,1938102262,730740,1957.468800300,0.726185000,0.875000,0.034000,0.507000,-4.300000,8.600000,-2.000000
23171,1938121551,750029,1957.488924700,0.746309400,0.854000,-0.012000,0.545000,-1.400000,7.500000,-7.500000
23172,1938140717,769195,1957.507919000,0.765303700,0.867000,-0.040000,0.537000,1.400000,5.600000,-16.500000
23173,1938159884,788362,1957.528531900,0.785916600,0.839000,-0.031000,0.565000,4.300000,8.800000,-26.000000
