meta_label,d
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
28776,271452908,0,4585.319134400,0.000000000,0.852000,-0.015000,0.527000,3.600000,-3.700000,-2.800000
28777,271472197,19289,4585.342687900,0.023553500,0.864000,0.013000,0.521000,4.100000,-4.700000,-3.600000
28778,271491363,38455,4585.358128600,0.038994200,0.865000,0.020000,0.511000,3.000000,-6.000000,-3.800000
28779,271510530,57622,4585.376963100,0.057828700,0.862000,0.007000,0.517000,0.000000,-4.800000,-5.700000
28780,271529849,76941,4585.401976700,0.082842300,0.826000,-0.031000,0.544000,-0.100000,-6.700000,-9.900000
28781,271549077,96169,4585.415252200,0.096117800,0.811000,-0.059000,0.576000,1.700000,-11.700000,-17.600000
28782,271568274,115366,4585.435021400,0.115887000,0.923000,0.061000,0.475000,-4.300000,-3.100000,-16.800000
28783,271587471,134563,4585.457068800,0.137934400,0.911000,0.041000,0.509000,-5.900000,-3.900000,-9.200000
28784,271606759,153851,4585.473026600,0.153892200,0.865000,0.027000,0.502000,-1.700000,-1.400000,-2.600000
28785,271625956,173048,4585.492255800,0.173121400,0.841000,0.090000,0.488000,5.000000,-4.200000,2.300000
28786,271645276,192368,4585.511231600,0.192097200,0.898000,0.038000,0.555000,18.500000,-3.200000,23.600000
28787,271664381,211473,4585.538418900,0.219284500,0.915000,0.048000,0.450000,14.600000,-12.200000,19.800000
28788,271683578,230670,4585.550998600,0.231864200,0.845000,-0.006000,0.540000,-5.500000,-4.300000,-0.600000
28789,271702928,250020,4585.569278500,0.250144100,0.928000,0.014000,0.500000,-21.700000,-14.200000,-11.200000
28790,271722064,269156,4585.590287900,0.271153500,0.806000,-0.080000,0.368000,-31.600000,-0.100000,-15.100000
28791,271741383,288475,4585.609195900,0.290061500,0.828000,0.043000,0.591000,-29.800000,4.400000,-41.100000
28792,271760550,307642,4585.627220500,0.308086100,0.864000,-0.021000,0.617000,-22.300000,8.400000,-44.800000
28793,271779838,326930,4585.648790500,0.329656100,0.810000,-0.055000,0.478000,-11.500000,6.500000,-23.200000
28794,271799066,346158,4585.665186100,0.346051700,0.859000,0.097000,0.474000,5.900000,-7.900000,-9.600000
28795,271818293,365385,4585.684685600,0.365551200,0.878000,0.078000,0.446000,16.200000,2.000000,-6.800000
28796,271837491,384583,4585.704266000,0.385131600,0.882000,0.164000,0.625000,14.000000,-2.400000,23.800000
28797,271856779,403871,4585.723178300,0.404043900,0.932000,0.236000,0.489000,12.800000,-18.900000,29.300000
28798,271875946,423038,4585.747510100,0.428375700,0.798000,0.077000,0.439000,-1.600000,-21.100000,62.100000
28799,271895173,442265,4585.761170100,0.442035700,0.823000,-0.122000,0.417000,4.300000,3.100000,27.700000
28800,271914401,461493,4585.782234600,0.463100200,0.907000,-0.189000,0.547000,1.300000,4.300000,-6.800000
28801,271933598,480690,4585.800949200,0.481814800,0.915000,0.056000,0.393000,-18.700000,19.500000,-15.400000
28802,271952948,500040,4585.819202400,0.500068000,0.920000,0.267000,0.467000,-37.900000,33.100000,3.800000
28803,271972084,519176,4585.838090000,0.518955600,0.874000,0.166000,0.527000,-42.000000,26.600000,27.000000
28804,271991342,538434,4585.860014800,0.540880400,0.830000,-0.112000,0.586000,-31.900000,16.800000,37.700000
28805,272010569,557661,4585.877058500,0.557924100,0.744000,-0.260000,0.642000,-14.400000,7.700000,25.800000
28806,272029858,576950,4585.896187400,0.577053000,0.742000,-0.274000,0.638000,4.900000,-1.500000,8.900000
28807,272049025,596117,4585.915216900,0.596082500,0.776000,-0.172000,0.607000,16.600000,-8.400000,-5.600000
28808,272068191,615283,4585.934015300,0.614880900,0.818000,-0.059000,0.568000,22.300000,-13.500000,-12.800000
28809,272087510,634602,4585.954166400,0.635032000,0.909000,0.042000,0.491000,19.300000,-12.300000,-13.500000
28810,272106799,653891,4585.973148500,0.654014100,0.891000,0.099000,0.482000,10.100000,-5.100000,-5.700000
28811,272125935,673027,4585.995744800,0.676610400,0.902000,0.059000,0.475000,2.800000,-1.400000,-1.600000
28812,272145132,692224,4586.012814200,0.693679800,0.881000,0.049000,0.502000,-2.200000,1.700000,4.000000
28813,272164451,711543,4586.031146200,0.712011800,0.849000,0.000000,0.536000,-3.500000,0.400000,6.200000
28814,272183587,730679,4586.050177500,0.731043100,0.840000,-0.050000,0.549000,0.400000,-1.200000,4.100000
28815,272202937,750029,4586.069175200,0.750040800,0.831000,-0.045000,0.559000,3.000000,-2.500000,2.100000
28816,272222073,769165,4586.088285800,0.769151400,0.836000,-0.044000,0.546000,5.300000,-5.500000,0.900000
28817,272241270,788362,4586.107315000,0.788180600,0.862000,-0.047000,0.522000,3.800000,-6.200000,-4.300000
28818,272260559,807651,4586.127042600,0.807908200,0.864000,0.004000,0.515000,1.900000,-4.000000,-7.300000
