meta_label,F
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
8080,2676312442,0,2487.713464500,0.000000000,0.829000,0.066000,0.562000,1.600000,-2.800000,-0.700000
8081,2676331731,19289,2487.739721900,0.026257400,0.834000,0.072000,0.556000,0.500000,-4.000000,-2.100000
8082,2676350867,38425,2487.752549000,0.039084500,0.837000,0.071000,0.551000,2.600000,-3.700000,-2.100000
8083,2676370155,57713,2487.771549500,0.058085000,0.827000,0.077000,0.560000,2.900000,-3.600000,-3.500000
8084,2676389383,76941,2487.791632300,0.078167800,0.826000,0.073000,0.567000,4.300000,-4.400000,-4.800000
8085,2676408672,96230,2487.809494500,0.096030000,0.806000,0.065000,0.576000,5.000000,-5.600000,-6.500000
8086,2676427838,115396,2487.829712500,0.116248000,0.826000,0.056000,0.581000,6.500000,-8.100000,-9.600000
8087,2676447005,134563,2487.848470800,0.135006300,0.927000,0.151000,0.515000,-1.800000,-1.600000,-13.400000
8088,2676466324,153882,2487.867515400,0.154050900,0.859000,0.123000,0.497000,-9.300000,-6.600000,-4.400000
8089,2676485612,173170,2487.890152100,0.176687600,0.849000,0.042000,0.527000,-0.600000,-2.300000,-2.100000
8090,2676504779,192337,2487.906507300,0.193042800,0.849000,0.077000,0.542000,7.300000,-2.400000,-6.000000
8091,2676524007,211565,2487.925442700,0.211978200,0.840000,0.254000,0.521000,4.700000,-6.800000,9.700000
8092,2676543234,230792,2487.944458000,0.230993500,0.898000,0.169000,0.629000,6.500000,-10.200000,33.000000
8093,2676562462,250020,2487.963449400,0.249984900,0.830000,0.048000,0.468000,7.900000,-7.600000,29.200000
8094,2676581750,269308,2487.985154900,0.271690400,0.815000,0.030000,0.455000,5.500000,-2.900000,11.000000
8095,2676600886,288444,2488.002449100,0.288984600,0.825000,0.070000,0.544000,-8.500000,1.600000,3.700000
8096,2676620175,307733,2488.021588400,0.308123900,0.854000,-0.077000,0.464000,-3.200000,-3.100000,-23.100000
8097,2676639403,326961,2488.040543600,0.327079100,0.882000,0.122000,0.532000,-18.100000,13.100000,-51.300000
8098,2676658539,346097,2488.059496200,0.346031700,0.734000,0.120000,0.679000,-15.500000,5.800000,-28.800000
8099,2676677858,365416,2488.079577200,0.366112700,0.853000,-0.075000,0.618000,10.200000,-12.100000,-17.900000
8100,2676697024,384582,2488.098538600,0.385074100,0.831000,0.112000,0.575000,13.900000,4.200000,-23.400000
8101,2676716313,403871,2488.117552500,0.404088000,0.919000,0.195000,0.522000,1.900000,-7.200000,-14.400000
8102,2676735541,423099,2488.140134000,0.426669500,0.835000,0.185000,0.470000,-5.600000,-6.700000,-9.400000
8103,2676754768,442326,2488.155541500,0.442077000,0.842000,0.122000,0.524000,-11.300000,-2.500000,-1.700000
8104,2676773965,461523,2488.175487100,0.462022600,0.846000,0.105000,0.527000,-15.800000,-4.100000,-4.900000
8105,2676793254,480812,2488.194752400,0.481287900,0.904000,0.116000,0.551000,-17.100000,-5.600000,-3.300000
8106,2676812421,499979,2488.213463900,0.499999400,0.817000,0.272000,0.333000,-16.600000,-13.000000,-9.600000
8107,2676831648,519206,2488.232756500,0.519292000,0.842000,0.231000,0.506000,-8.700000,-2.900000,8.600000
8108,2676850876,538434,2488.252443800,0.538979300,0.853000,0.065000,0.605000,1.400000,-3.000000,15.300000
8109,2676870103,557661,2488.271515600,0.558051100,0.827000,0.021000,0.569000,3.200000,1.100000,18.300000
8110,2676889392,576950,2488.290732700,0.577268200,0.821000,0.050000,0.571000,-4.400000,8.600000,18.800000
8111,2676908681,596239,2488.309412500,0.595948000,0.773000,0.032000,0.624000,4.000000,3.900000,17.900000
8112,2676927878,615436,2488.329473900,0.616009400,0.732000,-0.031000,0.667000,19.000000,-3.500000,20.800000
8113,2676947044,634602,2488.348469400,0.635004900,0.815000,-0.160000,0.636000,35.000000,-12.200000,17.100000
8114,2676966333,653891,2488.367462600,0.653998100,0.894000,0.135000,0.451000,30.200000,4.000000,-22.900000
8115,2676985500,673058,2488.386444800,0.672980300,0.890000,0.216000,0.462000,7.800000,-7.100000,-19.100000
8116,2677004666,692224,2488.405450600,0.691986100,0.841000,0.205000,0.495000,-15.100000,-5.400000,-8.400000
8117,2677023985,711543,2488.425559400,0.712094900,0.901000,0.112000,0.570000,-21.800000,-4.600000,-2.900000
8118,2677043274,730832,2488.445822800,0.732358300,0.828000,0.153000,0.369000,-9.300000,-9.200000,-7.000000
8119,2677062440,749998,2488.463487300,0.750022800,0.884000,0.169000,0.495000,-8.900000,-1.100000,-2.300000
8120,2677081729,769287,2488.482495400,0.769030900,0.836000,0.127000,0.562000,4.000000,-0.600000,12.800000
8121,2677100896,788454,2488.502515400,0.789050900,0.946000,0.083000,0.438000,-17.500000,4.900000,13.100000
8122,2677120123,807681,2488.521535200,0.808070700,0.911000,0.186000,0.506000,-34.900000,26.300000,18.400000
8123,2677139412,826970,2488.544976900,0.831512400,0.824000,0.137000,0.552000,-31.100000,25.500000,25.600000
