meta_label,F
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
40294,1007139501,0,1026.672594300,0.000000000,0.832000,-0.359000,0.392000,3.900000,-8.500000,-9.200000
40295,1007158790,19289,1026.691518400,0.018924100,0.853000,-0.354000,0.405000,7.200000,-10.200000,-13.500000
40296,1007177957,38456,1026.710465300,0.037871000,0.890000,-0.289000,0.388000,10.300000,-9.200000,-13.300000
40297,1007197154,57653,1026.729605100,0.057010800,0.897000,-0.251000,0.385000,6.200000,-4.300000,-8.000000
40298,1007216412,76911,1026.748578200,0.075983900,0.890000,-0.262000,0.400000,0.000000,-1.700000,-0.400000
40299,1007235609,96108,1026.770368000,0.097773700,0.864000,-0.315000,0.407000,-2.400000,0.200000,2.700000
40300,1007254959,115458,1026.787618200,0.115023900,0.841000,-0.348000,0.395000,-4.700000,5.300000,-3.400000
40301,1007274095,134594,1026.806558200,0.133963900,0.841000,-0.348000,0.400000,-4.600000,5.700000,-6.100000
40302,1007293261,153760,1026.826133900,0.153539600,0.816000,-0.382000,0.413000,-1.000000,3.800000,-13.400000
40303,1007312550,173049,1026.845674000,0.173079700,0.781000,-0.445000,0.440000,4.400000,1.400000,-27.400000
40304,1007331869,192368,1026.864552800,0.191958500,0.769000,-0.467000,0.464000,9.600000,-2.900000,-42.100000
40305,1007351036,211535,1026.883685800,0.211091500,1.092000,-0.219000,0.277000,-4.000000,4.500000,-39.900000
40306,1007370202,230701,1026.902652100,0.230057800,0.870000,-0.143000,0.290000,-6.100000,0.600000,-21.100000
40307,1007389491,249990,1026.922741200,0.250146900,0.878000,-0.153000,0.455000,4.300000,5.400000,-15.100000
40308,1007408749,269248,1026.941761900,0.269167600,0.977000,-0.178000,0.567000,3.600000,-11.800000,-0.100000
40309,1007427946,288445,1026.960597900,0.288003600,0.770000,-0.161000,0.411000,9.800000,-42.300000,14.100000
40310,1007447143,307642,1026.979692900,0.307098600,0.832000,-0.121000,0.393000,11.200000,-25.800000,22.400000
40311,1007466432,326931,1026.998736100,0.326141800,0.887000,-0.294000,0.373000,-3.300000,-17.600000,29.100000
40312,1007485598,346097,1027.018553100,0.345958800,0.902000,-0.403000,0.291000,-10.100000,-2.000000,5.700000
40313,1007504948,365447,1027.037518000,0.364923700,0.878000,-0.330000,0.248000,-22.900000,49.800000,-0.400000
40314,1007524084,384583,1027.062545200,0.389950900,0.786000,-0.376000,0.474000,-30.000000,32.200000,-0.100000
40315,1007543281,403780,1027.075587400,0.402993100,0.669000,-0.707000,0.467000,10.300000,-8.300000,-30.300000
40316,1007562570,423069,1027.095687800,0.423093500,1.046000,-0.152000,0.361000,21.600000,15.400000,-33.100000
40317,1007581858,442357,1027.118476000,0.445881700,0.883000,0.052000,0.424000,-9.900000,-3.900000,-15.000000
