meta_label,f
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
49458,3472011417,0,3283.277343700,0.000000000,0.855000,-0.056000,0.522000,-0.800000,1.600000,-4.700000
49459,3472030614,19197,3283.291869600,0.014525900,0.833000,-0.103000,0.565000,-0.900000,-0.400000,-1.600000
49460,3472049903,38486,3283.311692000,0.034348300,0.816000,-0.137000,0.576000,2.300000,-4.600000,-3.600000
49461,3472069100,57683,3283.332454400,0.055110700,0.820000,-0.125000,0.560000,3.800000,-8.700000,-9.200000
49462,3472088328,76911,3283.348854900,0.071511200,0.912000,-0.063000,0.482000,-4.500000,-8.600000,-20.500000
49463,3472107586,96169,3283.375355300,0.098011600,0.835000,-0.048000,0.523000,-18.300000,1.600000,-20.300000
49464,3472126752,115335,3283.387921300,0.110577600,0.831000,-0.102000,0.556000,-13.600000,2.800000,-19.300000
49465,3472146041,134624,3283.406925800,0.129582100,0.823000,-0.165000,0.585000,-8.500000,1.700000,-12.300000
49466,3472165269,153852,3283.426956300,0.149612600,0.798000,-0.075000,0.525000,-2.800000,-3.600000,-10.200000
49467,3472184496,173079,3283.445897500,0.168553800,0.894000,-0.135000,0.558000,9.500000,6.700000,-11.200000
49468,3472203663,192246,3283.464817300,0.187473600,0.889000,-0.039000,0.556000,12.800000,-1.900000,-5.600000
49469,3472222951,211534,3283.483781100,0.206437400,0.833000,0.171000,0.541000,-4.100000,-9.100000,22.700000
49470,3472242179,230762,3283.502741000,0.225397300,0.948000,-0.006000,0.573000,10.000000,-21.400000,40.100000
49471,3472261437,250020,3283.529409800,0.252066100,0.796000,-0.094000,0.343000,10.200000,-17.600000,34.500000
49472,3472280634,269217,3283.541868600,0.264524900,0.857000,-0.045000,0.586000,4.200000,-9.000000,30.900000
49473,3472299953,288536,3283.561736000,0.284392300,0.831000,-0.199000,0.516000,3.400000,-1.400000,20.000000
49474,3472319120,307703,3283.579849500,0.302505800,0.780000,-0.200000,0.570000,-3.000000,3.900000,-0.200000
49475,3472338287,326870,3283.598799200,0.321455500,0.795000,-0.235000,0.600000,-4.300000,8.200000,-16.700000
49476,3472357575,346158,3283.627741100,0.350397400,0.890000,-0.149000,0.587000,-1.300000,-0.300000,-17.600000
49477,3472376742,365325,3283.637882500,0.360538800,0.902000,-0.035000,0.431000,-6.800000,-9.300000,-12.300000
49478,3472395908,384491,3283.657063100,0.379719400,0.856000,-0.139000,0.436000,-9.200000,2.000000,-9.100000
49479,3472415227,403810,3283.675847600,0.398503900,0.901000,-0.040000,0.530000,-0.500000,0.500000,-20.300000
49480,3472434516,423099,3283.694847500,0.417503800,0.915000,0.082000,0.573000,-11.800000,-12.800000,-11.200000
49481,3472453683,442266,3283.721222800,0.443879100,0.831000,0.129000,0.516000,-8.500000,-7.300000,-4.300000
49482,3472472971,461554,3283.733885000,0.456541300,0.773000,-0.159000,0.611000,-4.800000,-2.700000,14.500000
49483,3472492138,480721,3283.752838600,0.475494900,0.815000,-0.236000,0.575000,-0.100000,-0.700000,17.200000
49484,3472511365,499948,3283.771926300,0.494582600,1.001000,-0.045000,0.408000,-9.500000,10.200000,13.500000
49485,3472530654,519237,3283.791909700,0.514566000,0.928000,0.052000,0.443000,-26.600000,26.900000,25.600000
49486,3472549821,538404,3283.816650500,0.539306800,0.854000,-0.012000,0.532000,-29.500000,27.200000,32.900000
49487,3472569079,557662,3283.829850300,0.552506600,0.720000,-0.260000,0.625000,-25.300000,17.300000,23.300000
49488,3472588276,576859,3283.849537000,0.572193300,0.674000,-0.382000,0.676000,-7.400000,-3.200000,6.500000
49489,3472607565,596148,3283.870789800,0.593446100,0.720000,-0.338000,0.647000,16.100000,-14.800000,-8.800000
49490,3472626762,615345,3283.887926800,0.610583100,0.785000,-0.207000,0.545000,20.700000,-17.600000,-16.700000
49491,3472645928,634511,3283.908939400,0.631595700,0.881000,-0.023000,0.511000,16.200000,-10.500000,-13.900000
49492,3472665247,653830,3283.925959600,0.648615900,0.909000,0.030000,0.501000,11.100000,-6.400000,-2.400000
49493,3472684536,673119,3283.944844400,0.667500700,0.906000,-0.025000,0.483000,3.100000,-0.700000,9.900000
49494,3472703703,692286,3283.970067600,0.692723900,0.844000,-0.118000,0.534000,-0.600000,3.000000,14.000000
49495,3472722930,711513,3283.983846800,0.706503100,0.810000,-0.197000,0.573000,-0.200000,1.300000,10.500000
49496,3472742188,730771,3284.002837600,0.725493900,0.784000,-0.216000,0.584000,2.300000,-2.000000,2.600000
49497,3472761324,749907,3284.021941200,0.744597500,0.798000,-0.191000,0.584000,4.800000,-5.900000,-3.400000
49498,3472780613,769196,3284.041756300,0.764412600,0.822000,-0.154000,0.561000,7.500000,-8.900000,-5.000000
49499,3472799841,788424,3284.065798900,0.788455200,0.852000,-0.091000,0.533000,7.800000,-7.800000,-5.300000
49500,3472819099,807682,3284.079911100,0.802567400,0.878000,-0.071000,0.519000,4.300000,-5.200000,0.600000
49501,3472838296,826879,3284.098842000,0.821498300,0.872000,-0.088000,0.519000,0.600000,0.100000,2.100000
49502,3472857584,846167,3284.119098600,0.841754900,0.842000,-0.125000,0.541000,-0.500000,1.000000,0.300000
49503,3472876781,865364,3284.137877000,0.860533300,0.832000,-0.141000,0.561000,-0.400000,-0.100000,0.300000
49504,3472896009,884592,3284.156783500,0.879439800,0.809000,-0.156000,0.574000,1.900000,-3.200000,-1.500000
49505,3472915237,903820,3284.175968500,0.898624800,0.824000,-0.136000,0.566000,5.600000,-5.400000,-3.300000
49506,3472934556,923139,3284.194801900,0.917458200,0.845000,-0.113000,0.550000,4.200000,-5.100000,-1.100000
49507,3472953692,942275,3284.214858800,0.937515100,0.856000,-0.110000,0.528000,2.200000,-2.700000,-1.200000
49508,3472972889,961472,3284.233863700,0.956520000,0.851000,-0.104000,0.529000,0.300000,-1.500000,-1.500000
49509,3472992178,980761,3284.252808800,0.975465100,0.860000,-0.112000,0.525000,-0.500000,1.000000,-1.400000
49510,3473011344,999927,3284.271720300,0.994376600,0.839000,-0.108000,0.547000,-0.900000,2.000000,-0.200000
49511,3473030633,1019216,3284.290816500,1.013472800,0.837000,-0.118000,0.560000,-1.300000,1.100000,1.300000
49512,3473049799,1038382,3284.311292900,1.033949200,0.826000,-0.139000,0.563000,1.500000,0.400000,1.600000
