meta_label,I
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
41077,508001128,0,4821.825665500,0.000000000,0.828000,0.147000,0.542000,-1.100000,-0.100000,-7.600000
41078,508020356,19228,4821.849479000,0.023813500,0.809000,0.111000,0.567000,-4.100000,-3.100000,-3.500000
41079,508039584,38456,4821.863639800,0.037974300,0.813000,0.071000,0.571000,-1.100000,-6.700000,-0.700000
41080,508058781,57653,4821.882566900,0.056901400,0.833000,0.087000,0.549000,3.000000,-7.900000,0.400000
41081,508078130,77002,4821.909500100,0.083834600,0.831000,0.107000,0.545000,2.800000,-8.300000,1.500000
41082,508097266,96138,4821.921726600,0.096061100,0.816000,0.071000,0.574000,4.500000,-9.600000,2.400000
41083,508116433,115305,4821.940528600,0.114863100,0.936000,0.024000,0.486000,0.800000,-10.100000,-4.400000
41084,508135722,134594,4821.960091000,0.134425500,0.853000,0.057000,0.583000,-4.400000,-3.400000,-5.700000
41085,508155041,153913,4821.979601000,0.153935500,0.896000,0.095000,0.582000,-3.600000,-11.200000,-11.000000
41086,508174207,173079,4821.999801900,0.174136400,0.851000,0.197000,0.419000,-5.000000,-13.700000,-7.300000
41087,508193374,192246,4822.020981800,0.195316300,0.871000,0.141000,0.458000,-16.800000,-8.500000,-1.100000
41088,508212693,211565,4822.036587200,0.210921700,0.920000,0.051000,0.565000,-25.700000,-6.500000,-3.800000
41089,508231982,230854,4822.058049400,0.232383900,0.875000,0.362000,0.276000,-34.000000,-15.000000,-6.400000
41090,508251148,250020,4822.075596600,0.249931100,0.836000,0.092000,0.475000,-16.800000,-0.800000,6.300000
41091,508270376,269248,4822.094651000,0.268985500,0.802000,-0.073000,0.670000,1.800000,7.400000,12.500000
41092,508289603,288475,4822.118345300,0.292679800,0.757000,-0.051000,0.691000,-1.700000,1.100000,0.000000
41093,508308801,307673,4822.132670300,0.307004800,0.804000,-0.043000,0.583000,3.200000,1.600000,-13.400000
41094,508328120,326992,4822.152620400,0.326954900,0.924000,0.190000,0.431000,-2.900000,-6.400000,-3.600000
41095,508347256,346128,4822.172971200,0.347305700,0.885000,0.241000,0.483000,1.100000,-2.100000,12.000000
41096,508366453,365325,4822.190665300,0.364999800,0.877000,0.071000,0.598000,4.500000,-8.900000,37.500000
41097,508385711,384583,4822.209625600,0.383960100,0.872000,-0.037000,0.434000,9.900000,-11.100000,41.000000
41098,508404969,403841,4822.233446700,0.407781200,0.846000,0.063000,0.510000,10.200000,-7.200000,32.900000
41099,508424227,423099,4822.248722400,0.423056900,0.832000,0.032000,0.510000,8.100000,2.400000,20.700000
41100,508443394,442266,4822.267666300,0.442000800,0.833000,0.036000,0.528000,-4.700000,13.200000,7.500000
41101,508462682,461554,4822.286638200,0.460972700,0.653000,-0.078000,0.746000,-1.700000,7.500000,-7.600000
41102,508481910,480782,4822.306152100,0.480486600,0.983000,-0.070000,0.575000,2.900000,-15.100000,-19.000000
41103,508501107,499979,4822.325540200,0.499874700,0.907000,0.111000,0.408000,-1.400000,-15.200000,-18.400000
41104,508520335,519207,4822.344609000,0.518943500,0.869000,0.105000,0.372000,-4.300000,-5.700000,-12.700000
41105,508539623,538495,4822.363697200,0.538031700,0.961000,0.104000,0.591000,-10.400000,-21.800000,-23.300000
41106,508558790,557662,4822.383219600,0.557554100,0.828000,0.280000,0.255000,-18.900000,-1.400000,-4.300000
41107,508578017,576889,4822.405676600,0.580011100,0.858000,0.055000,0.571000,-7.300000,4.000000,3.900000
41108,508597245,596117,4822.427350500,0.601685000,0.796000,0.072000,0.608000,-0.400000,3.700000,15.600000
41109,508616442,615314,4822.440691900,0.615026400,0.984000,0.078000,0.409000,-9.100000,9.500000,15.500000
41110,508635761,634633,4822.461631200,0.635965700,0.942000,0.103000,0.429000,-29.900000,35.800000,16.800000
41111,508654989,653861,4822.479614300,0.653948800,0.798000,0.012000,0.572000,-28.500000,30.900000,16.700000
41112,508674247,673119,4822.498553900,0.672888400,0.743000,-0.078000,0.677000,-16.600000,12.200000,9.000000
41113,508693414,692286,4822.519858200,0.694192700,0.763000,-0.112000,0.646000,-1.000000,0.500000,3.300000
41114,508712702,711574,4822.536729800,0.711064300,0.811000,-0.047000,0.571000,8.100000,-4.600000,-3.100000
41115,508731869,730741,4822.555676900,0.730011400,0.867000,0.060000,0.502000,9.700000,-2.800000,-7.400000
41116,508751035,749907,4822.575793900,0.750128400,0.894000,0.102000,0.514000,2.100000,3.400000,-4.300000
41117,508770355,769227,4822.594633800,0.768968300,0.857000,0.095000,0.534000,-2.700000,5.700000,2.900000
41118,508789643,788515,4822.615733000,0.790067500,0.800000,0.041000,0.585000,-1.400000,2.200000,5.700000
41119,508808810,807682,4822.632648200,0.806982700,0.783000,-0.013000,0.596000,7.500000,-4.300000,1.900000
41120,508828037,826909,4822.652532500,0.826867000,0.836000,-0.013000,0.556000,11.200000,-4.500000,-2.000000
41121,508847265,846137,4822.671627500,0.845962000,0.863000,0.061000,0.522000,10.600000,-3.600000,-1.900000
41122,508866462,865334,4822.690655400,0.864989900,0.890000,0.072000,0.513000,4.700000,1.600000,-2.100000
41123,508885781,884653,4822.710302900,0.884637400,0.842000,0.062000,0.544000,-1.100000,4.700000,-1.400000
41124,508904917,903789,4822.728678200,0.903012700,0.819000,-0.001000,0.573000,-3.000000,4.800000,-2.700000
41125,508924114,922986,4822.753408000,0.927742500,0.822000,-0.036000,0.579000,-1.400000,3.200000,-8.600000
41126,508943403,942275,4822.767709400,0.942043900,0.818000,-0.022000,0.569000,0.600000,1.000000,-14.800000
41127,508962692,961564,4822.790328800,0.964663300,0.819000,0.006000,0.562000,3.600000,-0.700000,-18.200000
