meta_label,J
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
26421,2000618942,0,2019.975306300,0.000000000,0.995000,-0.104000,0.342000,-1.300000,-3.800000,1.600000
26422,2000638261,19319,2019.994503300,0.019197000,0.915000,-0.251000,0.361000,-7.900000,-1.300000,8.700000
26423,2000657550,38608,2020.014148300,0.038842000,0.861000,-0.381000,0.374000,-5.400000,-2.100000,4.600000
26424,2000676716,57774,2020.032418000,0.057111700,0.845000,-0.392000,0.358000,2.100000,-0.800000,-2.900000
26425,2000695883,76941,2020.051512800,0.076206500,0.874000,-0.287000,0.390000,3.500000,1.600000,-9.300000
26426,2000715171,96229,2020.071588000,0.096281700,0.900000,-0.182000,0.406000,-4.000000,0.400000,1.600000
26427,2000734338,115396,2020.090549800,0.115243500,0.885000,-0.203000,0.438000,-7.100000,-2.700000,10.000000
26428,2000753566,134624,2020.109497600,0.134191300,0.822000,-0.401000,0.422000,-3.000000,-8.900000,8.000000
26429,2000772793,153851,2020.132765400,0.157459100,0.767000,-0.497000,0.409000,9.100000,-15.200000,-7.500000
26430,2000791990,173048,2020.148512400,0.173206100,0.976000,-0.459000,0.237000,26.000000,-20.000000,-35.500000
26431,2000811309,192367,2020.167795400,0.192489100,0.898000,-0.007000,0.457000,-1.200000,7.900000,-30.600000
26432,2000830537,211595,2020.186629200,0.211322900,0.902000,-0.087000,0.301000,-27.300000,-3.600000,-7.400000
26433,2000849734,230792,2020.205441300,0.230135000,0.957000,-0.271000,0.321000,-29.300000,3.500000,-21.100000
26434,2000868962,250020,2020.228917500,0.253611200,0.874000,-0.160000,0.295000,-15.900000,6.100000,-42.800000
26435,2000888250,269308,2020.244518700,0.269212400,0.905000,-0.082000,0.393000,-5.400000,11.500000,-8.200000
26436,2000907447,288505,2020.263464500,0.288158200,0.856000,-0.255000,0.425000,15.700000,1.400000,10.900000
26437,2000926706,307764,2020.283215900,0.307909600,0.835000,-0.390000,0.485000,20.500000,2.600000,15.200000
26438,2000945903,326961,2020.301459000,0.326152700,0.814000,-0.376000,0.419000,9.600000,-1.200000,6.700000
26439,2000965191,346249,2020.321950800,0.346644500,0.943000,-0.280000,0.406000,0.400000,-5.200000,-10.600000
26440,2000984358,365416,2020.341784000,0.366477700,0.931000,-0.115000,0.303000,-7.800000,-6.600000,-0.700000
26441,2001003585,384643,2020.359560600,0.384254300,0.930000,-0.307000,0.441000,-6.500000,-20.900000,1.400000
26442,2001022813,403871,2020.378475100,0.403168800,0.915000,-0.217000,0.330000,3.800000,-21.200000,0.300000
26443,2001042010,423068,2020.399293500,0.423987200,0.793000,-0.269000,0.396000,8.500000,-20.800000,8.500000
26444,2001061329,442387,2020.418438600,0.443132300,0.902000,-0.241000,0.402000,16.300000,-3.300000,2.500000
26445,2001080618,461676,2020.436585900,0.461279600,0.868000,-0.363000,0.386000,-1.800000,-27.800000,23.500000
26446,2001099815,480873,2020.459115000,0.483808700,0.870000,-0.120000,0.377000,2.000000,-9.300000,-1.600000
26447,2001118982,500040,2020.474417000,0.499110700,0.871000,-0.163000,0.191000,-9.200000,1.900000,20.900000
26448,2001138270,519328,2020.494507100,0.519200800,0.975000,-0.301000,0.311000,5.100000,19.000000,15.200000
26449,2001157437,538495,2020.520352600,0.545046300,0.982000,-0.203000,0.345000,20.000000,9.400000,6.500000
26450,2001176603,557661,2020.532486900,0.557180600,1.051000,0.001000,0.439000,3.400000,0.800000,30.700000
26451,2001195923,576981,2020.551369200,0.576062900,0.929000,-0.104000,0.374000,-20.400000,6.000000,51.600000
26452,2001215211,596269,2020.572807900,0.597501600,0.816000,-0.408000,0.385000,-24.000000,8.200000,32.700000
26453,2001234378,615436,2020.590426700,0.615120400,0.755000,-0.537000,0.365000,-16.400000,8.300000,13.700000
26454,2001253605,634663,2020.609415600,0.634109300,0.768000,-0.493000,0.393000,-1.400000,4.200000,-8.100000
26455,2001272833,653891,2020.631496500,0.656190200,0.848000,-0.354000,0.385000,4.900000,-0.900000,-13.700000
26456,2001291969,673027,2020.647396400,0.672090100,0.908000,-0.293000,0.384000,9.400000,-4.100000,-12.000000
26457,2001311166,692224,2020.667400300,0.692094000,0.924000,-0.221000,0.379000,9.200000,-3.200000,-8.800000
26458,2001330485,711543,2020.689017700,0.713711400,0.910000,-0.233000,0.372000,4.200000,-3.500000,0.900000
26459,2001349652,730710,2020.705385000,0.730078700,0.909000,-0.279000,0.360000,2.200000,-1.900000,1.800000
26460,2001368971,750029,2020.726456400,0.751150100,0.885000,-0.303000,0.359000,0.200000,0.200000,3.900000
26461,2001388260,769318,2020.744385200,0.769078900,0.859000,-0.329000,0.385000,1.100000,-0.400000,1.000000
26462,2001407457,788515,2020.763416400,0.788110100,0.875000,-0.327000,0.370000,3.800000,-1.000000,-1.500000
26463,2001426623,807681,2020.783907300,0.808601000,0.895000,-0.309000,0.370000,3.400000,1.400000,-4.100000
26464,2001445912,826970,2020.801378900,0.826072600,0.895000,-0.271000,0.370000,3.000000,4.200000,-0.300000
26465,2001465139,846197,2020.824152300,0.848846000,0.900000,-0.270000,0.382000,3.500000,5.300000,2.100000
26466,2001484337,865395,2020.840503700,0.865197400,0.885000,-0.290000,0.365000,1.300000,6.400000,1.700000
26467,2001503564,884622,2020.859435800,0.884129500,0.902000,-0.306000,0.345000,-0.900000,9.300000,-1.300000
26468,2001522853,903911,2020.879371200,0.904064900,0.898000,-0.282000,0.381000,-0.500000,11.800000,-2.100000
26469,2001542019,923077,2020.897605500,0.922299200,0.914000,-0.287000,0.375000,0.300000,11.100000,-1.500000
26470,2001561247,942305,2020.917521700,0.942215400,0.887000,-0.229000,0.414000,0.000000,12.400000,1.000000
26471,2001580475,961533,2020.940181800,0.964875500,0.871000,-0.263000,0.417000,-2.700000,9.000000,6.200000
