meta_label,J
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
29114,277952630,0,4591.818266500,0.000000000,0.818000,-0.015000,0.560000,2.500000,-3.400000,2.700000
29115,277971949,19319,4591.837321900,0.019055400,0.844000,0.000000,0.561000,6.300000,-8.300000,5.100000
29116,277991086,38456,4591.856264800,0.037998300,0.894000,-0.021000,0.487000,6.900000,-6.100000,3.900000
29117,278010252,57622,4591.875215500,0.056949000,0.873000,0.024000,0.505000,2.300000,-2.000000,-1.800000
29118,278029571,76941,4591.906527800,0.088261300,0.842000,0.005000,0.530000,-0.100000,-2.300000,-3.100000
29119,278048799,96169,4591.914239000,0.095972500,0.813000,-0.007000,0.575000,2.200000,-6.400000,-2.100000
29120,278068057,115427,4591.938075600,0.119809100,0.800000,-0.016000,0.571000,5.100000,-10.600000,-2.400000
29121,278087224,134594,4591.957937900,0.139671400,0.805000,-0.063000,0.605000,13.700000,-18.300000,-2.200000
29122,278106512,153882,4591.971129700,0.152863200,1.043000,-0.018000,0.461000,8.200000,-14.100000,-9.700000
29123,278125709,173079,4591.994203100,0.175936600,0.899000,0.107000,0.510000,-11.600000,-7.100000,-8.400000
29124,278144937,192307,4592.010284400,0.192017900,0.872000,0.083000,0.394000,-12.700000,-16.500000,-5.600000
29125,278164134,211504,4592.032111500,0.213845000,0.928000,0.001000,0.463000,-10.200000,-10.200000,-13.700000
29126,278183453,230823,4592.055761100,0.237494600,0.904000,0.047000,0.359000,-14.100000,-18.900000,-24.800000
29127,278202620,249990,4592.068218700,0.249952200,0.839000,0.167000,0.407000,-18.100000,-6.300000,-1.700000
29128,278221847,269217,4592.087181000,0.268914500,0.835000,0.055000,0.518000,-1.700000,2.800000,1.700000
29129,278241075,288445,4592.106208300,0.287941800,0.842000,-0.062000,0.610000,11.900000,2.100000,10.500000
29130,278260272,307642,4592.125311300,0.307044800,0.817000,-0.041000,0.619000,6.300000,7.000000,7.900000
29131,278279561,326931,4592.146933800,0.328667300,0.828000,-0.167000,0.594000,1.100000,2.200000,-13.000000
29132,278298758,346128,4592.164157300,0.345890800,0.939000,0.053000,0.517000,0.000000,-7.900000,-4.000000
29133,278318016,365386,4592.184145000,0.365878500,0.887000,0.125000,0.490000,3.600000,-5.300000,3.400000
29134,278337243,384613,4592.203301200,0.385034700,0.826000,0.143000,0.552000,7.300000,-13.900000,18.200000
29135,278356532,403902,4592.221242700,0.402976200,0.875000,-0.106000,0.456000,11.700000,-21.400000,34.500000
29136,278375638,423008,4592.244527800,0.426261300,0.829000,-0.050000,0.567000,24.900000,-9.300000,4.800000
29137,278394987,442357,4592.260180700,0.441914200,0.880000,-0.046000,0.495000,16.800000,-8.500000,-1.600000
29138,278414154,461524,4592.279496900,0.461230400,0.738000,0.326000,0.418000,-3.500000,-5.400000,4.900000
29139,278433381,480751,4592.298283800,0.480017300,0.932000,-0.088000,0.403000,-3.400000,-0.400000,20.000000
29140,278452639,500009,4592.318214400,0.499947900,0.938000,-0.109000,0.420000,-0.200000,12.500000,8.200000
29141,278471867,519237,4592.338584800,0.520318300,0.923000,-0.108000,0.440000,7.000000,17.400000,-1.700000
29142,278491095,538465,4592.356207700,0.537941200,1.058000,0.185000,0.474000,6.900000,14.700000,-11.300000
29143,278510292,557662,4592.375699000,0.557432500,0.880000,0.164000,0.479000,-19.600000,18.700000,18.500000
29144,278529611,576981,4592.395223500,0.576957000,0.800000,0.030000,0.579000,-14.500000,11.700000,24.100000
29145,278548747,596117,4592.414339400,0.596072900,0.819000,-0.084000,0.569000,-11.400000,4.100000,14.900000
29146,278567944,615314,4592.433231900,0.614965400,0.814000,-0.110000,0.565000,-9.300000,4.300000,4.000000
29147,278587233,634603,4592.452129800,0.633863300,0.795000,-0.068000,0.576000,-4.300000,5.800000,-1.800000
29148,278606521,653891,4592.471232500,0.652966000,0.813000,-0.054000,0.581000,-0.500000,-0.300000,0.300000
29149,278625718,673088,4592.492379100,0.674112600,0.837000,-0.065000,0.562000,2.800000,-5.300000,0.000000
29150,278644885,692255,4592.510287600,0.692021100,0.865000,-0.073000,0.518000,6.400000,-6.900000,-2.200000
29151,278664174,711544,4592.529203900,0.710937400,0.861000,-0.019000,0.524000,6.500000,-5.700000,-4.400000
29152,278683401,730771,4592.557176600,0.738910100,0.871000,0.030000,0.512000,3.900000,-4.300000,-1.800000
29153,278702659,750029,4592.568565400,0.750298900,0.857000,0.023000,0.510000,2.000000,-3.300000,2.400000
29154,278721795,769165,4592.587155500,0.768889000,0.882000,0.016000,0.509000,1.700000,-3.100000,5.700000
29155,278741115,788485,4592.606411800,0.788145300,0.870000,-0.028000,0.510000,-1.200000,-0.100000,7.100000
29156,278760281,807651,4592.632419500,0.814153000,0.861000,-0.058000,0.515000,-1.100000,2.800000,0.600000
29157,278779448,826818,4592.645453100,0.827186600,0.846000,-0.067000,0.544000,-0.800000,1.000000,-3.400000
29158,278798767,846137,4592.664281000,0.846014500,0.850000,-0.048000,0.521000,1.600000,-0.200000,-5.800000
29159,278817964,865334,4592.683128600,0.864862100,0.857000,-0.027000,0.527000,1.800000,-1.100000,-5.200000
29160,278837253,884623,4592.702096600,0.883830100,0.879000,-0.030000,0.515000,2.100000,-0.400000,-6.100000
29161,278856541,903911,4592.721156400,0.902889900,0.880000,0.000000,0.513000,2.700000,2.700000,-6.900000
