meta_label,j
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
64718,2505203924,0,2316.635760500,0.000000000,0.809000,-0.240000,0.540000,-0.300000,-1.600000,-3.000000
64719,2505223212,19288,2316.654740800,0.018980300,0.810000,-0.243000,0.537000,0.400000,-3.100000,-5.900000
64720,2505242379,38455,2316.673711400,0.037950900,0.824000,-0.234000,0.529000,1.000000,-4.700000,-6.100000
64721,2505261545,57621,2316.693047000,0.057286500,0.814000,-0.244000,0.531000,2.900000,-6.900000,-6.100000
64722,2505280865,76941,2316.712710300,0.076949800,0.799000,-0.280000,0.541000,6.100000,-8.600000,-9.800000
64723,2505300153,96229,2316.731816900,0.096056400,0.950000,-0.222000,0.468000,2.500000,-10.800000,-16.300000
64724,2505319320,115396,2316.750741100,0.114980600,0.848000,-0.094000,0.507000,-6.300000,-7.500000,-7.200000
64725,2505338547,134623,2316.769730100,0.133969600,0.845000,-0.178000,0.495000,-5.200000,-6.700000,3.200000
64726,2505357775,153851,2316.790263100,0.154502600,0.850000,-0.196000,0.559000,2.900000,-7.800000,4.300000
64727,2505376942,173018,2316.808808000,0.173047500,0.841000,-0.198000,0.555000,5.000000,-38.500000,24.100000
64728,2505396169,192245,2316.827893500,0.192133000,0.872000,-0.233000,0.445000,6.700000,-21.100000,15.700000
64729,2505415458,211534,2316.847023300,0.211262800,0.821000,-0.318000,0.395000,14.200000,3.400000,1.600000
64730,2505434716,230792,2316.865821300,0.230060800,0.851000,-0.302000,0.505000,9.400000,-2.200000,-12.100000
64731,2505453882,249958,2316.885774800,0.250014300,0.776000,-0.186000,0.462000,-7.200000,-2.600000,-2.700000
64732,2505473202,269278,2316.904854000,0.269093500,0.834000,-0.186000,0.551000,-5.500000,5.600000,1.800000
64733,2505492399,288475,2316.923827800,0.288067300,0.871000,-0.149000,0.361000,-12.400000,14.300000,3.500000
64734,2505511565,307641,2316.944470400,0.308709900,0.929000,-0.191000,0.421000,-6.000000,19.200000,-10.800000
64735,2505530854,326930,2316.961763900,0.326003400,0.966000,-0.125000,0.468000,-18.300000,24.900000,-22.400000
64736,2505550082,346158,2316.981766700,0.346006200,0.739000,-0.259000,0.581000,-31.600000,28.500000,-6.100000
64737,2505569309,365385,2317.000725200,0.364964700,0.616000,-0.453000,0.667000,-17.200000,6.300000,-19.000000
64738,2505588506,384582,2317.020883900,0.385123400,0.920000,-0.343000,0.527000,-3.800000,-16.900000,-40.400000
64739,2505607795,403871,2317.038897600,0.403137100,0.885000,-0.063000,0.550000,-13.100000,-13.800000,-22.000000
64740,2505626961,423037,2317.058839300,0.423078800,0.843000,0.018000,0.408000,-11.800000,-10.100000,-1.800000
64741,2505646189,442265,2317.078109200,0.442348700,0.852000,-0.190000,0.460000,-7.100000,1.500000,16.800000
64742,2505665417,461493,2317.096752500,0.460992000,0.901000,-0.300000,0.540000,16.900000,-4.900000,5.300000
64743,2505684644,480720,2317.115699100,0.479938600,0.865000,-0.244000,0.432000,11.600000,-0.600000,1.400000
64744,2505703933,500009,2317.135830800,0.500070300,0.945000,-0.046000,0.489000,-16.700000,14.400000,11.100000
64745,2505723069,519145,2317.154872500,0.519112000,0.828000,-0.122000,0.551000,-31.700000,28.200000,29.000000
64746,2505742419,538495,2317.175530500,0.539770000,0.777000,-0.257000,0.591000,-33.300000,25.700000,33.800000
64747,2505761585,557661,2317.192920400,0.557159900,0.724000,-0.419000,0.571000,-21.900000,9.500000,23.400000
64748,2505780874,576950,2317.211909200,0.576148700,0.729000,-0.441000,0.569000,-2.000000,-18.600000,4.300000
64749,2505800040,596116,2317.234072200,0.598311700,0.792000,-0.389000,0.480000,12.800000,-6.300000,-2.600000
64750,2505819207,615283,2317.250891900,0.615131400,0.818000,-0.276000,0.530000,17.100000,-7.300000,-9.200000
64751,2505838526,634602,2317.271095000,0.635334500,0.849000,-0.206000,0.520000,15.300000,-11.700000,-12.100000
64752,2505857815,653891,2317.288836400,0.653075900,0.885000,-0.159000,0.498000,6.100000,-7.200000,-7.700000
64753,2505876981,673057,2317.308863100,0.673102600,0.848000,-0.155000,0.516000,-0.300000,0.800000,1.500000
64754,2505896270,692346,2317.330378000,0.694617500,0.822000,-0.235000,0.538000,-0.800000,2.000000,6.800000
64755,2505915436,711512,2317.346844200,0.711083700,0.805000,-0.276000,0.540000,1.500000,-2.000000,2.700000
64756,2505934664,730740,2317.365762000,0.730001500,0.789000,-0.297000,0.534000,4.500000,-5.500000,-1.200000
64757,2505953953,750029,2317.386355600,0.750595100,0.821000,-0.286000,0.510000,7.600000,-5.600000,-5.700000
64758,2505973089,769165,2317.404895400,0.769134900,0.820000,-0.235000,0.529000,5.000000,-4.100000,-7.500000
64759,2505992438,788514,2317.423861500,0.788101000,0.835000,-0.218000,0.520000,4.200000,-5.000000,-6.800000
64760,2506011574,807650,2317.442922500,0.807162000,0.849000,-0.221000,0.503000,2.400000,-2.400000,-5.200000
