meta_label,j
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
47811,3158010489,0,304.336832600,0.000000000,0.816000,0.184000,0.549000,1.100000,-4.300000,0.700000
47812,3158029777,19288,304.357874900,0.021042300,0.822000,0.187000,0.545000,1.300000,-3.900000,0.500000
47813,3158048913,38424,304.375739500,0.038906900,0.821000,0.165000,0.546000,1.200000,-4.100000,-0.300000
47814,3158068233,57744,304.394709000,0.057876400,0.811000,0.160000,0.555000,2.300000,-5.600000,-2.200000
47815,3158087399,76910,304.413542200,0.076709600,0.809000,0.164000,0.557000,3.000000,-7.400000,-6.400000
47816,3158106566,96077,304.435946600,0.099114000,0.798000,0.173000,0.563000,1.300000,-9.800000,-10.400000
47817,3158125885,115396,304.452630800,0.115798200,0.793000,0.163000,0.587000,5.400000,-13.800000,-12.000000
47818,3158145082,134593,304.471588700,0.134756100,0.936000,0.155000,0.516000,4.900000,-18.000000,-14.100000
47819,3158164371,153882,304.492455400,0.155622800,0.833000,0.258000,0.509000,-2.500000,-13.800000,-6.000000
47820,3158183659,173170,304.509692800,0.172860200,0.837000,0.161000,0.505000,4.100000,-7.200000,-6.600000
47821,3158202856,192367,304.529944000,0.193111400,0.834000,0.209000,0.503000,12.100000,-5.700000,-5.800000
47822,3158222023,211534,304.548608900,0.211776300,0.901000,0.284000,0.531000,13.600000,-9.900000,6.600000
47823,3158241281,230792,304.567661200,0.230828600,0.771000,0.331000,0.461000,0.600000,-3.500000,42.400000
47824,3158260539,250050,304.588374300,0.251541700,0.910000,0.079000,0.561000,10.800000,-5.100000,19.300000
47825,3158279767,269278,304.606584100,0.269751500,0.798000,0.079000,0.606000,12.100000,-0.700000,2.300000
47826,3158298964,288475,304.625673100,0.288840500,0.812000,0.141000,0.554000,8.300000,-6.200000,-18.500000
47827,3158318252,307763,304.648498800,0.311666200,0.709000,0.400000,0.456000,6.600000,-11.700000,-12.800000
47828,3158337419,326930,304.663667800,0.326835200,0.850000,0.234000,0.620000,-9.600000,13.700000,20.400000
47829,3158356647,346158,304.682679700,0.345847100,0.859000,0.297000,0.298000,-12.300000,2.400000,6.600000
47830,3158375874,365385,304.702627200,0.365794600,0.837000,0.249000,0.418000,-19.600000,7.500000,22.900000
47831,3158395071,384582,304.724916100,0.388083500,0.917000,-0.096000,0.529000,-9.100000,15.900000,-23.200000
47832,3158414390,403901,304.740599300,0.403766700,0.939000,0.265000,0.489000,-32.000000,11.000000,-52.300000
47833,3158433679,423190,304.759579200,0.422746600,0.695000,0.183000,0.633000,-37.500000,33.800000,-16.100000
47834,3158452876,442387,304.779915900,0.443083300,0.670000,0.090000,0.750000,-14.300000,8.200000,-26.000000
47835,3158472043,461554,304.798586200,0.461753600,0.656000,0.099000,0.752000,4.200000,-25.700000,-16.600000
47836,3158491301,480812,304.817534900,0.480702300,0.743000,0.053000,0.488000,13.100000,-47.700000,-24.900000
47837,3158510437,499948,304.837787200,0.500954600,1.000000,0.403000,0.317000,-2.300000,-22.900000,-17.900000
47838,3158529664,519175,304.855629400,0.518796800,0.822000,0.373000,0.377000,-5.800000,6.800000,1.900000
47839,3158548984,538495,304.876648800,0.539816200,0.850000,0.240000,0.508000,-8.600000,7.000000,6.400000
47840,3158568272,557783,304.894705400,0.557872800,0.877000,0.289000,0.531000,-14.600000,0.600000,10.700000
47841,3158587439,576950,304.913624500,0.576791900,1.001000,0.180000,0.352000,-33.700000,15.900000,8.300000
47842,3158606575,596086,304.932909200,0.596076600,0.787000,0.251000,0.568000,-41.500000,38.800000,9.500000
47843,3158625894,615405,304.952753700,0.615921100,0.784000,0.206000,0.616000,-31.200000,34.500000,11.800000
47844,3158645091,634602,304.971590800,0.634758200,0.711000,0.150000,0.680000,-25.000000,19.600000,26.800000
47845,3158664410,653921,304.991479000,0.654646400,0.730000,0.004000,0.673000,-8.600000,8.600000,15.900000
47846,3158683546,673057,305.009620100,0.672787500,0.737000,0.067000,0.653000,0.000000,-6.000000,0.300000
47847,3158702743,692254,305.028730200,0.691897600,0.820000,0.124000,0.587000,5.600000,-5.300000,0.700000
47848,3158722032,711543,305.048717800,0.711885200,0.793000,0.146000,0.579000,7.600000,-6.800000,-2.000000
47849,3158741321,730832,305.067702700,0.730870100,0.839000,0.202000,0.541000,3.600000,-4.100000,-0.300000
47850,3158760518,750029,305.088408600,0.751576000,0.816000,0.193000,0.578000,-0.600000,-1.700000,3.300000
47851,3158779684,769195,305.105669100,0.768836500,0.809000,0.132000,0.589000,-0.600000,-4.400000,3.800000
47852,3158798973,788484,305.125741100,0.788908500,0.797000,0.134000,0.590000,2.600000,-3.500000,0.700000
47853,3158818201,807712,305.147581100,0.810748500,0.793000,0.146000,0.595000,4.000000,-5.600000,0.000000
47854,3158837398,826909,305.163534400,0.826701800,0.806000,0.173000,0.585000,5.300000,-7.300000,1.200000
47855,3158856595,846106,305.182572300,0.845739700,0.867000,0.167000,0.519000,0.500000,-3.200000,0.200000
47856,3158875914,865425,305.202577000,0.865744400,0.823000,0.189000,0.548000,-3.800000,1.200000,-2.300000
47857,3158895080,884591,305.224278500,0.887445900,0.812000,0.162000,0.577000,-5.500000,3.800000,-0.800000
47858,3158914308,903819,305.240645000,0.903812400,0.782000,0.149000,0.598000,-4.800000,-0.100000,-0.300000
47859,3158933536,923047,305.259687000,0.922854400,0.792000,0.142000,0.600000,-0.600000,-2.500000,-1.400000
47860,3158952733,942244,305.282600000,0.945767400,0.797000,0.157000,0.593000,2.400000,-3.700000,-0.900000
