meta_label,K
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
39963,768907939,0,580.645734000,0.000000000,0.899000,0.078000,0.443000,0.700000,-5.500000,-1.700000
39964,768927228,19289,580.664699700,0.018965700,0.899000,0.086000,0.442000,2.500000,-5.200000,-0.800000
39965,768946547,38608,580.683820900,0.038086900,0.912000,0.080000,0.432000,3.700000,-3.900000,-0.400000
39966,768965683,57744,580.703264500,0.057530500,0.895000,0.095000,0.427000,1.600000,-2.700000,-1.700000
39967,768984941,77002,580.721549700,0.075815700,0.883000,0.084000,0.443000,-1.200000,-1.700000,-1.700000
39968,769004199,96260,580.741724600,0.095990600,0.883000,0.055000,0.479000,1.600000,-3.700000,-0.800000
39969,769023335,115396,580.761600000,0.115866000,0.864000,0.051000,0.465000,1.400000,-6.100000,-8.700000
39970,769042685,134746,580.779709800,0.133975800,0.864000,0.065000,0.452000,-3.900000,-8.300000,-18.700000
39971,769061851,153912,580.798702300,0.152968300,0.854000,0.085000,0.501000,-12.400000,-11.800000,-24.300000
39972,769081750,173811,580.823251100,0.177517100,0.977000,0.093000,0.397000,-26.000000,-11.300000,-27.300000
39973,769100337,192398,580.837715500,0.191981500,0.942000,0.172000,0.420000,-35.700000,-14.500000,-1.100000
39974,769119473,211534,580.857781300,0.212047300,0.904000,0.101000,0.317000,-3.900000,-3.100000,-5.300000
39975,769138792,230853,580.875738300,0.230004300,0.946000,0.118000,0.396000,6.800000,-1.300000,2.700000
39976,769157959,250020,580.894633900,0.248899900,0.919000,0.284000,0.597000,5.000000,-29.300000,70.100000
39977,769177248,269309,580.916819100,0.271085100,0.878000,-0.063000,0.349000,32.300000,-10.900000,47.500000
39978,769196414,288475,580.933628300,0.287894300,0.849000,0.049000,0.422000,6.400000,-7.900000,6.800000
39979,769215581,307642,580.952579200,0.306845200,0.904000,0.058000,0.454000,-15.900000,-0.500000,-10.900000
39980,769235693,327754,580.974146900,0.328412900,0.915000,-0.004000,0.370000,-38.100000,-11.500000,-7.400000
39981,769254188,346249,580.991713700,0.345979700,0.888000,0.038000,0.328000,-26.600000,4.400000,-51.300000
39982,769273355,365416,581.010695800,0.364961800,0.867000,0.180000,0.452000,-38.600000,0.300000,-31.300000
39983,769292644,384705,581.029722700,0.383988700,0.938000,0.111000,0.415000,-22.000000,-6.200000,-14.100000
39984,769311810,403871,581.048741000,0.403007000,0.882000,0.037000,0.465000,7.300000,4.800000,4.800000
39985,769331038,423099,581.072546000,0.426812000,0.915000,0.048000,0.413000,29.600000,-0.700000,-8.100000
39986,769350326,442387,581.087683300,0.441949300,0.887000,0.207000,0.474000,29.900000,1.000000,7.800000
39987,769369493,461554,581.106729900,0.460995900,0.892000,-0.013000,0.452000,24.800000,2.000000,16.300000
39988,769388751,480812,581.125631600,0.479897600,0.927000,0.035000,0.433000,22.400000,-4.000000,-4.400000
39989,769407979,500040,581.144700500,0.498966500,0.909000,0.132000,0.360000,-6.400000,-8.500000,-0.100000
39990,769427267,519328,581.164766000,0.519032000,0.915000,0.182000,0.411000,-15.600000,-10.600000,-2.500000
39991,769446434,538495,581.183752700,0.538018700,0.936000,0.206000,0.378000,-22.600000,-20.000000,12.300000
39992,769465600,557661,581.202617800,0.556883800,0.942000,0.065000,0.329000,-11.700000,-14.100000,15.100000
39993,769484920,576981,581.222700900,0.576966900,0.891000,-0.015000,0.479000,-2.000000,1.100000,6.600000
39994,769504208,596269,581.241760400,0.596026400,0.871000,0.017000,0.350000,4.600000,-2.600000,-11.100000
39995,769523375,615436,581.265552200,0.619818200,0.970000,0.136000,0.389000,7.100000,16.000000,-8.400000
39996,769542969,635030,581.280775200,0.635041200,1.012000,0.300000,0.268000,-26.900000,36.700000,17.300000
39997,769561830,653891,581.298767200,0.653033200,0.905000,0.227000,0.468000,-30.200000,30.700000,31.300000
39998,769580997,673058,581.322455700,0.676721700,0.788000,-0.062000,0.560000,-26.700000,21.900000,27.400000
39999,769600285,692346,581.337724800,0.691990800,0.780000,-0.116000,0.645000,-17.500000,5.300000,11.600000
40000,769619513,711574,581.356967000,0.711233000,0.802000,-0.121000,0.580000,-11.500000,-10.700000,-5.400000
40001,769638771,730832,581.375928600,0.730194600,0.882000,-0.066000,0.489000,-5.200000,-17.100000,-18.600000
40002,769657968,750029,581.394577200,0.748843200,0.959000,0.058000,0.372000,5.100000,-14.200000,-22.400000
40003,769677257,769318,581.418074100,0.772340100,0.995000,0.159000,0.309000,7.100000,-2.800000,-12.300000
40004,769696454,788515,581.433702400,0.787968400,0.951000,0.180000,0.341000,7.000000,11.300000,-1.100000
40005,769715620,807681,581.452653700,0.806919700,0.898000,0.107000,0.446000,5.300000,11.300000,8.400000
40006,769734909,826970,581.471608100,0.825874100,0.866000,0.021000,0.485000,6.200000,8.800000,8.400000
40007,769754228,846289,581.491653400,0.845919400,0.859000,-0.017000,0.499000,5.300000,3.700000,-0.100000
40008,769773364,865425,581.514054100,0.868320100,0.877000,0.002000,0.480000,8.100000,0.800000,-4.400000
40009,769792622,884683,581.529711200,0.883977200,0.886000,0.063000,0.471000,8.500000,-0.900000,-2.500000
40010,769811789,903850,581.548741100,0.903007100,0.890000,0.092000,0.452000,10.200000,-1.400000,-3.200000
40011,769831016,923077,581.570059500,0.924325500,0.897000,0.085000,0.448000,8.700000,-1.700000,-2.200000
40012,769850183,942244,581.587866200,0.942132200,0.910000,0.079000,0.437000,3.800000,0.000000,-1.900000
40013,769869502,961563,581.609988000,0.964254000,0.894000,0.080000,0.445000,-0.300000,1.000000,-1.700000
