meta_label,K
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
5758,4123784035,0,4142.761585300,0.000000000,0.854000,0.030000,0.512000,4.700000,-10.400000,-2.500000
5759,4123803233,19198,4142.781446100,0.019860800,0.868000,0.044000,0.511000,4.600000,-9.300000,-3.000000
5760,4123822552,38517,4142.801856900,0.040271600,0.858000,0.062000,0.489000,3.300000,-6.500000,-3.100000
5761,4123841840,57805,4142.819552500,0.057967200,0.838000,0.030000,0.522000,0.500000,-4.000000,-8.100000
5762,4123861037,77002,4142.838879600,0.077294300,0.779000,-0.024000,0.590000,-0.400000,-8.200000,-15.800000
5763,4123880204,96169,4142.858602900,0.097017600,0.752000,-0.071000,0.666000,7.800000,-23.600000,-28.500000
5764,4123899493,115458,4142.877572400,0.115987100,1.076000,0.234000,0.437000,-20.500000,-14.900000,-24.400000
5765,4123918659,134624,4142.896646300,0.135061000,0.906000,0.029000,0.382000,-22.800000,-13.900000,-4.000000
5766,4123937948,153913,4142.915543000,0.153957700,0.895000,0.061000,0.402000,10.700000,-6.700000,-6.200000
5767,4123957114,173079,4142.934521300,0.172936000,0.930000,0.296000,0.599000,2.200000,-27.700000,46.400000
5768,4123976342,192307,4142.954635200,0.193049900,0.826000,-0.057000,0.358000,14.600000,-24.900000,42.200000
5769,4123995600,211565,4142.973511700,0.211926400,0.837000,-0.005000,0.388000,7.200000,5.700000,0.100000
5770,4124014828,230793,4142.994925900,0.233340600,0.864000,0.067000,0.618000,-21.500000,-7.000000,1.700000
5771,4124034055,250020,4143.011575600,0.249990300,0.899000,-0.170000,0.344000,-27.500000,-9.000000,-19.900000
5772,4124053252,269217,4143.035918100,0.274332800,0.894000,0.099000,0.444000,-16.800000,13.500000,-73.700000
5773,4124072572,288537,4143.050778900,0.289193600,0.859000,0.147000,0.502000,-35.400000,-2.600000,-37.000000
5774,4124091708,307673,4143.069507700,0.307922400,0.864000,0.110000,0.488000,-32.900000,-10.900000,-19.300000
5775,4124110905,326870,4143.096475500,0.334890200,0.855000,-0.107000,0.575000,-10.300000,2.100000,4.400000
5776,4124130193,346158,4143.107649100,0.346063800,0.882000,0.002000,0.548000,13.800000,-3.100000,-5.700000
5777,4124149482,365447,4143.128465600,0.366880300,0.825000,0.169000,0.550000,24.100000,-4.600000,21.700000
5778,4124168679,384644,4143.150553400,0.388968100,0.861000,-0.040000,0.482000,24.800000,-4.400000,30.500000
5779,4124187846,403811,4143.165550800,0.403965500,0.923000,0.033000,0.464000,12.800000,-2.900000,9.500000
5780,4124207134,423099,4143.187294200,0.425708900,0.885000,0.195000,0.359000,-0.600000,-6.300000,-7.400000
5781,4124226331,442296,4143.206903800,0.445318500,0.883000,0.112000,0.450000,-25.800000,-1.900000,5.300000
5782,4124245559,461524,4143.223569200,0.461983900,0.925000,0.071000,0.569000,-38.000000,-25.700000,7.000000
5783,4124264787,480752,4143.244890500,0.483305200,0.933000,0.054000,0.312000,-31.400000,-18.900000,11.400000
5784,4124284075,500040,4143.261652400,0.500067100,0.843000,0.053000,0.321000,-9.600000,-11.200000,1.800000
5785,4124303242,519207,4143.281440200,0.519854900,0.842000,-0.054000,0.564000,2.200000,12.200000,10.500000
5786,4124322439,538404,4143.300581200,0.538995900,0.926000,-0.038000,0.486000,16.400000,9.100000,5.900000
5787,4124341697,557662,4143.319594700,0.558009400,1.010000,0.136000,0.335000,-3.900000,24.600000,0.000000
5788,4124360894,576859,4143.338497700,0.576912400,0.906000,0.126000,0.480000,-29.900000,32.800000,20.800000
5789,4124380122,596087,4143.357598800,0.596013500,0.812000,0.003000,0.607000,-24.000000,24.900000,24.600000
5790,4124399349,615314,4143.380449300,0.618864000,0.770000,-0.109000,0.629000,-13.500000,6.800000,24.300000
5791,4124418546,634511,4143.396417200,0.634831900,0.781000,-0.172000,0.612000,2.800000,-1.900000,15.600000
5792,4124437865,653830,4143.415548800,0.653963500,0.833000,-0.132000,0.538000,11.000000,-7.400000,1.900000
5793,4124457154,673119,4143.438820900,0.677235600,0.870000,-0.012000,0.504000,12.000000,-7.600000,-4.900000
5794,4124476382,692347,4143.454668600,0.693083300,0.907000,0.040000,0.468000,10.400000,-3.900000,0.400000
5795,4124495609,711574,4143.473889300,0.712304000,0.921000,0.081000,0.459000,0.400000,-0.500000,8.900000
5796,4124514806,730771,4143.493709400,0.732124100,0.894000,-0.010000,0.485000,-0.900000,1.900000,7.100000
5797,4124534095,750060,4143.511667600,0.750082300,0.868000,-0.064000,0.517000,-2.100000,3.500000,3.800000
5798,4124553262,769227,4143.539087700,0.777502400,0.847000,-0.063000,0.523000,0.600000,1.700000,-1.900000
5799,4124572489,788454,4143.550449800,0.788864500,0.846000,-0.038000,0.528000,2.100000,1.000000,-2.000000
5800,4124591717,807682,4143.569610200,0.808024900,0.837000,-0.013000,0.541000,7.000000,-1.400000,-2.600000
5801,4124610914,826879,4143.591733700,0.830148400,0.859000,-0.025000,0.522000,10.900000,-4.300000,-0.300000
5802,4124630233,846198,4143.607603000,0.846017700,0.882000,-0.010000,0.488000,14.000000,-3.500000,-0.700000
5803,4124649369,865334,4143.627438000,0.865852700,0.911000,-0.007000,0.467000,9.100000,-1.500000,-1.400000
5804,4124668719,884684,4143.647427600,0.885842300,0.898000,0.012000,0.457000,1.800000,3.400000,-7.200000
5805,4124687885,903850,4143.665498600,0.903913300,0.877000,0.021000,0.501000,-3.300000,7.400000,-7.100000
