meta_label,K
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
35578,4183027191,0,1329.171069600,0.000000000,0.849000,-0.059000,0.518000,0.000000,-1.200000,-3.600000
35579,4183046419,19228,1329.190233500,0.019163900,0.837000,-0.059000,0.520000,0.900000,-1.900000,-8.800000
35580,4183065647,38456,1329.209223600,0.038154000,0.857000,-0.052000,0.514000,-0.900000,-0.200000,-17.900000
35581,4183084905,57714,1329.229111400,0.058041800,0.890000,-0.009000,0.479000,-12.900000,5.300000,-18.700000
35582,4183104132,76941,1329.255808700,0.084739100,0.871000,-0.004000,0.521000,-17.800000,2.200000,-18.300000
35583,4183123421,96230,1329.267218400,0.096148800,0.903000,-0.094000,0.555000,-14.600000,-8.500000,-3.500000
35584,4183142588,115397,1329.286096600,0.115027000,0.883000,-0.106000,0.462000,5.000000,-6.700000,-10.600000
35585,4183161754,134563,1329.306652400,0.135582800,0.916000,0.097000,0.567000,19.700000,-10.500000,-2.600000
35586,4183181043,153852,1329.325345900,0.154276300,0.843000,0.075000,0.491000,29.400000,-30.800000,49.400000
35587,4183200270,173079,1329.344122800,0.173053200,0.858000,0.005000,0.373000,35.500000,-24.900000,48.800000
35588,4183219467,192276,1329.366490600,0.195421000,0.838000,-0.083000,0.460000,13.100000,-2.300000,13.400000
35589,4183238695,211504,1329.383258500,0.212188900,0.866000,-0.092000,0.593000,-12.300000,-4.700000,-1.300000
35590,4183257953,230762,1329.409515500,0.238445900,0.835000,-0.168000,0.362000,-29.500000,-4.100000,-9.800000
35591,4183277181,249990,1329.421203700,0.250134100,0.818000,-0.045000,0.435000,-26.200000,17.200000,-63.800000
35592,4183296469,269278,1329.440112000,0.269042400,0.866000,0.114000,0.607000,-38.400000,7.200000,-21.400000
35593,4183315636,288445,1329.469762600,0.298693000,0.877000,0.032000,0.497000,-38.800000,-6.100000,-5.500000
35594,4183334833,307642,1329.479172500,0.308102900,0.863000,-0.096000,0.529000,0.400000,-4.700000,7.800000
35595,4183354091,326900,1329.501773000,0.330703400,0.878000,-0.132000,0.522000,14.700000,-4.200000,-5.900000
35596,4183373410,346219,1329.517081300,0.346011700,0.803000,0.127000,0.547000,23.100000,-9.700000,21.400000
35597,4183392607,365416,1329.542078800,0.371009200,0.879000,-0.193000,0.510000,28.400000,-5.100000,29.700000
35598,4183411774,384583,1329.556127700,0.385058100,0.955000,-0.235000,0.449000,22.600000,-12.500000,7.300000
35599,4183431063,403872,1329.575182600,0.404113000,0.872000,0.164000,0.355000,2.200000,-2.800000,-24.100000
35600,4183450290,423099,1329.599191400,0.428121800,0.876000,0.076000,0.481000,-34.000000,-3.500000,-2.500000
35601,4183469518,442327,1329.613121600,0.442052000,0.929000,0.015000,0.589000,-35.100000,-15.400000,-6.200000
35602,4183488715,461524,1329.632208900,0.461139300,0.844000,0.130000,0.363000,-13.100000,-18.200000,0.800000
35603,4183508003,480812,1329.652289900,0.481220300,0.878000,0.131000,0.373000,-4.100000,2.000000,30.200000
35604,4183527170,499979,1329.671240100,0.500170500,0.823000,-0.209000,0.493000,10.600000,-1.600000,37.400000
35605,4183546398,519207,1329.691989600,0.520920000,0.943000,-0.335000,0.464000,8.400000,14.400000,-4.400000
35606,4183565625,538434,1329.713222800,0.542153200,0.901000,-0.059000,0.441000,-14.600000,31.600000,-5.900000
35607,4183584822,557631,1329.729158600,0.558089000,0.866000,0.047000,0.533000,-26.000000,25.800000,2.400000
35608,4183604141,576950,1329.748138300,0.577068700,0.849000,-0.028000,0.589000,-24.200000,18.700000,9.000000
35609,4183623430,596239,1329.767202100,0.596132500,0.792000,-0.121000,0.613000,-20.500000,8.200000,9.700000
35610,4183642627,615436,1329.786163700,0.615094100,0.813000,-0.197000,0.593000,-9.500000,-1.200000,5.900000
35611,4183661794,634603,1329.806100500,0.635030900,0.846000,-0.197000,0.546000,6.200000,-8.300000,4.800000
35612,4183681082,653891,1329.825258600,0.654189000,0.866000,-0.150000,0.514000,20.000000,-9.400000,1.500000
35613,4183700249,673058,1329.844102800,0.673033200,0.871000,-0.079000,0.496000,25.600000,-11.200000,2.700000
35614,4183719416,692225,1329.863268700,0.692199100,0.909000,-0.008000,0.447000,23.700000,-8.400000,-0.600000
35615,4183738704,711513,1329.887398000,0.716328400,0.892000,0.031000,0.470000,14.100000,-2.500000,4.100000
35616,4183757932,730741,1329.902234700,0.731165100,0.885000,-0.015000,0.487000,4.300000,-0.500000,8.300000
35617,4183777190,749999,1329.921298900,0.750229300,0.851000,-0.076000,0.513000,-3.000000,1.100000,6.900000
35618,4183796417,769226,1329.945757000,0.774687400,0.846000,-0.101000,0.527000,-2.100000,-1.800000,3.600000
35619,4183815645,788454,1329.960393700,0.789324100,0.854000,-0.114000,0.530000,1.100000,-3.600000,1.700000
35620,4183834842,807651,1329.979300500,0.808230900,0.864000,-0.120000,0.505000,3.400000,-3.500000,-1.100000
35621,4183854161,826970,1330.003795300,0.832725700,0.866000,-0.082000,0.507000,4.100000,-3.200000,-2.200000
