meta_label,k
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
61784,160134941,0,179.818602000,0.000000000,0.869000,0.044000,0.496000,4.500000,-6.200000,-1.400000
61785,160154108,19167,179.837296800,0.018694800,0.877000,0.066000,0.492000,3.900000,-5.200000,-2.200000
61786,160173457,38516,179.857257800,0.038655800,0.862000,0.050000,0.503000,2.100000,-4.700000,-0.500000
61787,160192624,57683,179.879685700,0.061083700,0.844000,0.014000,0.530000,2.600000,-6.300000,-1.500000
61788,160211912,76971,179.895255000,0.076653000,0.862000,0.015000,0.518000,5.600000,-9.400000,-8.600000
61789,160231079,96138,179.918410000,0.099808000,0.864000,0.063000,0.486000,5.600000,-7.600000,-7.200000
61790,160250246,115305,179.933143500,0.114541500,0.851000,0.032000,0.493000,1.000000,-7.300000,-14.900000
61791,160269565,134624,179.956249300,0.137647300,0.791000,-0.027000,0.595000,4.200000,-15.300000,-25.300000
61792,160288853,153912,179.972298400,0.153696400,1.003000,0.170000,0.389000,-10.400000,-12.700000,-22.300000
61793,160308020,173079,179.991144300,0.172542300,0.920000,0.201000,0.386000,-19.800000,-6.200000,-0.600000
61794,160327187,192246,180.016759700,0.198157700,0.878000,0.074000,0.429000,-9.000000,-1.800000,6.400000
61795,160346475,211534,180.030273600,0.211671600,0.929000,0.171000,0.608000,-1.300000,-2.400000,23.900000
61796,160365642,230701,180.049222800,0.230620800,0.847000,-0.149000,0.393000,23.000000,-19.000000,44.300000
61797,160384808,249867,180.070024000,0.251422000,0.862000,0.028000,0.481000,38.600000,-7.600000,30.600000
61798,160404127,269186,180.087269900,0.268667900,0.865000,-0.023000,0.451000,16.300000,-3.200000,-9.800000
61799,160423325,288384,180.106117600,0.287515600,0.863000,0.161000,0.541000,-15.300000,-3.900000,-9.800000
61800,160442613,307672,180.128562000,0.309960000,0.883000,-0.012000,0.446000,-25.900000,-0.400000,-20.400000
61801,160461780,326839,180.145268800,0.326666800,0.887000,0.042000,0.397000,-22.900000,-4.100000,-56.300000
61802,160481099,346158,180.165736900,0.347134900,0.857000,0.314000,0.488000,-38.000000,-3.700000,-8.100000
61803,160500265,365324,180.183319100,0.364717100,0.860000,0.020000,0.512000,-17.200000,-2.400000,5.300000
61804,160519554,384613,180.203195000,0.384593000,0.878000,0.005000,0.505000,2.600000,-5.800000,-1.900000
61805,160538751,403810,180.229831900,0.411229900,0.862000,0.104000,0.456000,15.700000,-1.800000,1.000000
61806,160557887,422946,180.241285500,0.422683500,0.842000,0.091000,0.457000,25.600000,0.000000,9.100000
61807,160577206,442265,180.260115300,0.441513300,0.896000,-0.090000,0.500000,21.900000,-2.800000,17.300000
61808,160596495,461554,180.280980600,0.462378600,0.937000,0.015000,0.474000,11.600000,-6.900000,-0.100000
61809,160615662,480721,180.299173600,0.480571600,0.866000,0.235000,0.388000,-8.200000,-4.400000,-13.000000
61810,160634889,499948,180.318207400,0.499605400,0.881000,0.159000,0.461000,-26.300000,-1.000000,0.300000
61811,160654117,519176,180.337169500,0.518567500,0.965000,0.127000,0.600000,-21.700000,-9.700000,3.100000
61812,160673314,538373,180.365364400,0.546762400,0.878000,0.133000,0.367000,-9.400000,-5.900000,13.500000
61813,160692664,557723,180.376037100,0.557435100,0.823000,0.014000,0.420000,6.000000,-5.600000,17.100000
61814,160711800,576859,180.395303900,0.576701900,0.873000,-0.096000,0.525000,19.400000,2.300000,0.100000
61815,160731058,596117,180.414767400,0.596165400,0.930000,-0.095000,0.421000,18.900000,16.300000,-16.100000
61816,160750255,615314,180.433241200,0.614639200,1.017000,0.233000,0.380000,-13.100000,30.600000,4.300000
61817,160769543,634602,180.453400900,0.634798900,0.911000,0.194000,0.496000,-21.600000,37.700000,22.700000
61818,160788740,653799,180.472165400,0.653563400,0.760000,0.021000,0.629000,-22.900000,22.700000,25.900000
61819,160807907,672966,180.491204800,0.672602800,0.749000,-0.127000,0.674000,-11.200000,6.400000,15.000000
61820,160827226,692285,180.510243000,0.691641000,0.747000,-0.106000,0.656000,-0.600000,-8.700000,5.100000
61821,160846515,711574,180.530326700,0.711724700,0.867000,-0.079000,0.536000,10.500000,-13.500000,-6.500000
61822,160865681,730740,180.549414700,0.730812700,0.892000,0.075000,0.474000,9.500000,-12.700000,-8.700000
61823,160884909,749968,180.568620400,0.750018400,0.944000,0.098000,0.411000,6.900000,-5.900000,-7.100000
61824,160904137,769196,180.587214700,0.768612700,0.909000,0.109000,0.449000,2.500000,1.500000,0.700000
61825,160923334,788393,180.608851300,0.790249300,0.888000,0.035000,0.480000,4.200000,4.100000,2.300000
61826,160942653,807712,180.632497500,0.813895500,0.881000,0.013000,0.493000,5.900000,4.900000,2.200000
61827,160961789,826848,180.645281600,0.826679600,0.888000,-0.011000,0.494000,6.700000,7.900000,-5.100000
61828,160980955,846014,180.664438600,0.845836600,0.875000,-0.020000,0.510000,7.800000,10.600000,-12.500000
61829,161000305,865364,180.683233600,0.864631600,0.886000,-0.007000,0.507000,3.900000,9.400000,-27.500000
61830,161019441,884500,180.702207200,0.883605200,0.925000,0.050000,0.480000,-0.900000,14.300000,-37.500000
61831,161038760,903819,180.722065200,0.903463200,0.922000,0.090000,0.484000,-6.700000,20.100000,-39.400000
