meta_label,k
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
46420,3131261601,0,277.592986000,0.000000000,0.839000,0.262000,0.508000,-2.600000,-2.900000,-1.500000
46421,3131280829,19228,277.611892700,0.018906700,0.821000,0.212000,0.556000,-1.300000,-3.500000,-0.900000
46422,3131300056,38455,277.630963300,0.037977300,0.815000,0.195000,0.554000,2.500000,-5.000000,2.300000
46423,3131319284,57683,277.655425800,0.062439800,0.811000,0.223000,0.538000,4.000000,-9.400000,-0.300000
46424,3131338511,76910,277.669937100,0.076951100,0.843000,0.214000,0.508000,2.300000,-10.500000,-1.600000
46425,3131357708,96107,277.689693800,0.096707800,0.819000,0.248000,0.509000,1.900000,-8.300000,-3.600000
46426,3131376906,115305,277.707881600,0.114895600,0.805000,0.227000,0.527000,2.200000,-7.500000,-2.600000
46427,3131396225,134624,277.726867100,0.133881100,0.775000,0.199000,0.557000,0.900000,-11.100000,-8.600000
46428,3131415391,153790,277.746991200,0.154005200,0.924000,0.234000,0.487000,-3.300000,-16.600000,-12.900000
46429,3131434710,173109,277.765877300,0.172891300,0.842000,0.359000,0.473000,-24.300000,-11.400000,-3.300000
46430,3131453846,192245,277.784938700,0.191952700,0.864000,0.146000,0.522000,-15.800000,-4.900000,4.200000
46431,3131473044,211443,277.805914700,0.212928700,0.857000,0.087000,0.509000,18.400000,-6.800000,-8.300000
46432,3131492332,230731,277.823938200,0.230952200,0.949000,0.455000,0.479000,8.800000,-17.500000,36.800000
46433,3131511621,250020,277.842986400,0.250000400,0.745000,0.288000,0.459000,12.100000,1.000000,53.500000
46434,3131530818,269217,277.862740000,0.269754000,0.739000,0.047000,0.436000,6.200000,1.600000,32.300000
46435,3131549984,288383,277.880894400,0.287908400,0.831000,0.184000,0.599000,-2.900000,1.200000,-4.200000
46436,3131569243,307642,277.899947200,0.306961200,0.837000,0.175000,0.537000,-23.100000,-10.200000,-1.800000
46437,3131588501,326900,277.919874400,0.326888400,0.848000,-0.019000,0.455000,-17.300000,-8.500000,-14.000000
46438,3131607759,346158,277.943771000,0.350785000,0.744000,0.275000,0.455000,-7.600000,-12.500000,-59.000000
46439,3131626925,365324,277.957957300,0.364971300,0.908000,0.380000,0.484000,-14.700000,-11.400000,-42.200000
46440,3131646214,384613,277.976999200,0.384013200,0.806000,0.185000,0.502000,-7.300000,-6.100000,-0.100000
46441,3131665381,403780,277.997482800,0.404496800,0.838000,0.225000,0.553000,6.900000,-4.300000,0.500000
46442,3131684608,423007,278.016005600,0.423019600,0.846000,0.231000,0.498000,13.800000,0.500000,0.000000
46443,3131703836,442235,278.035775200,0.442789200,0.781000,0.317000,0.506000,8.100000,5.900000,45.600000
46444,3131723033,461432,278.054037600,0.461051600,0.837000,0.103000,0.540000,18.900000,1.700000,5.200000
46445,3131742383,480782,278.074006500,0.481020500,0.895000,0.221000,0.390000,5.700000,-5.500000,-6.800000
46446,3131761519,499918,278.094256600,0.501270600,0.858000,0.242000,0.457000,-0.200000,-3.200000,-0.500000
