meta_label,N
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
8579,2685908235,0,2497.307855100,0.000000000,0.857000,0.064000,0.530000,2.000000,-2.700000,-3.100000
8580,2685927402,19167,2497.326878500,0.019023400,0.853000,0.084000,0.550000,2.200000,-3.100000,-1.600000
8581,2685946629,38394,2497.354878600,0.047023500,0.814000,0.088000,0.562000,2.500000,-4.100000,-1.000000
8582,2685965918,57683,2497.367970800,0.060115700,0.804000,0.062000,0.580000,1.500000,-5.500000,-3.700000
8583,2685985176,76941,2497.385060000,0.077204900,0.794000,0.040000,0.600000,-0.900000,-8.300000,-10.700000
8584,2686004404,96169,2497.403945900,0.096090800,0.818000,0.026000,0.577000,0.900000,-12.300000,-16.400000
8585,2686023692,115457,2497.423916200,0.116061100,0.986000,0.215000,0.519000,-10.200000,-3.400000,-13.900000
8586,2686042859,134624,2497.442798100,0.134943000,0.854000,0.099000,0.439000,-13.400000,-11.000000,4.900000
8587,2686062025,153790,2497.461957700,0.154102600,0.846000,0.071000,0.534000,-1.800000,-0.100000,4.200000
8588,2686081314,173079,2497.481543800,0.173688700,0.872000,0.029000,0.536000,7.400000,-2.500000,0.700000
8589,2686100542,192307,2497.499751900,0.191896800,0.814000,0.195000,0.630000,-1.800000,-9.700000,53.700000
8590,2686119769,211534,2497.519897700,0.212042600,0.873000,-0.075000,0.492000,23.400000,-5.900000,12.500000
8591,2686138966,230731,2497.543852300,0.235997200,0.816000,0.152000,0.468000,4.300000,-4.900000,4.400000
8592,2686158255,250020,2497.564294000,0.256438900,0.850000,0.116000,0.588000,-23.300000,-3.500000,3.500000
8593,2686177422,269187,2497.576718200,0.268863100,0.826000,-0.189000,0.461000,-9.600000,-2.000000,-29.800000
8594,2686196649,288414,2497.600167600,0.292312500,0.750000,0.148000,0.600000,-15.300000,5.400000,-53.200000
8595,2686215938,307703,2497.615807400,0.307952300,0.907000,0.256000,0.588000,-18.000000,-5.600000,-34.900000
8596,2686235196,326961,2497.639398600,0.331543500,0.856000,-0.017000,0.504000,-5.700000,-7.500000,1.400000
8597,2686254393,346158,2497.655231200,0.347376100,0.846000,0.054000,0.499000,10.900000,3.400000,-4.300000
8598,2686273682,365447,2497.673902700,0.366047600,0.916000,0.084000,0.562000,14.100000,-3.100000,-4.100000
8599,2686292879,384644,2497.702681800,0.394826700,0.928000,0.209000,0.508000,14.800000,-13.100000,16.400000
8600,2686312045,403810,2497.712092300,0.404237200,0.822000,0.229000,0.539000,12.500000,-13.900000,34.400000
8601,2686331334,423099,2497.730978500,0.423123400,0.774000,0.006000,0.507000,-0.500000,-10.800000,28.700000
8602,2686350500,442265,2497.750770200,0.442915100,0.807000,0.025000,0.585000,-9.500000,-8.800000,7.300000
8603,2686369667,461432,2497.768844700,0.460989600,0.830000,0.002000,0.587000,-30.400000,-8.100000,-0.500000
8604,2686388986,480751,2497.788936800,0.481081700,0.779000,-0.221000,0.407000,-28.200000,5.000000,-86.200000
8605,2686408275,500040,2497.808058300,0.500203200,0.798000,0.199000,0.605000,-30.300000,3.900000,-59.500000
8606,2686427441,519206,2497.826968900,0.519113800,0.625000,0.229000,0.577000,-18.500000,1.300000,-34.400000
8607,2686446730,538495,2497.846852700,0.538997600,0.873000,0.110000,0.431000,-3.100000,-4.100000,-3.000000
8608,2686465897,557662,2497.870217100,0.562362000,0.842000,0.204000,0.485000,-0.600000,5.800000,8.500000
8609,2686485124,576889,2497.884834300,0.576979200,0.887000,0.073000,0.621000,1.800000,0.100000,13.900000
8610,2686504382,596147,2497.903818200,0.595963100,0.885000,0.025000,0.531000,8.900000,-4.200000,9.200000
8611,2686523701,615466,2497.922810200,0.614955100,0.946000,0.072000,0.444000,-2.000000,7.500000,5.600000
8612,2686542899,634664,2497.942734700,0.634879600,0.848000,0.169000,0.506000,-16.200000,14.800000,2.600000
8613,2686562035,653800,2497.962744600,0.654889500,0.849000,0.114000,0.538000,-18.600000,12.700000,8.600000
8614,2686581354,673119,2497.980764700,0.672909600,0.791000,0.038000,0.607000,-12.900000,13.600000,15.300000
8615,2686600520,692285,2497.999756300,0.691901200,0.765000,-0.025000,0.633000,-4.700000,7.700000,14.100000
8616,2686619687,711452,2498.020012800,0.712157700,0.772000,-0.039000,0.630000,3.100000,-1.700000,8.800000
8617,2686638976,730741,2498.038666300,0.730811200,0.806000,-0.018000,0.594000,11.500000,-3.200000,2.000000
8618,2686658203,749968,2498.057650600,0.749795500,0.831000,0.048000,0.546000,9.200000,-3.100000,0.800000
8619,2686677431,769196,2498.076641600,0.768786500,0.867000,0.082000,0.523000,8.400000,-1.700000,-2.500000
8620,2686696628,788393,2498.095664500,0.787809400,0.861000,0.099000,0.534000,2.300000,1.800000,-0.300000
8621,2686715916,807681,2498.119034200,0.811179100,0.844000,0.068000,0.553000,1.000000,2.200000,1.700000
8622,2686735144,826909,2498.134810000,0.826954900,0.822000,0.063000,0.569000,2.100000,0.900000,3.600000
8623,2686754433,846198,2498.153826500,0.845971400,0.829000,0.038000,0.573000,2.800000,-0.800000,2.800000
8624,2686773569,865334,2498.172828700,0.864973600,0.820000,0.047000,0.562000,1.100000,-0.500000,0.000000
8625,2686792766,884531,2498.191709800,0.883854700,0.826000,0.046000,0.571000,0.100000,-2.100000,-1.300000
