meta_label,V
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
64548,1241677480,0,1053.331701900,0.000000000,0.882000,-0.022000,0.468000,2.000000,-4.600000,-3.400000
64549,1241696799,19319,1053.351681800,0.019979900,0.888000,-0.033000,0.483000,-1.400000,-2.800000,-5.300000
64550,1241716027,38547,1053.369823200,0.038121300,0.893000,-0.022000,0.485000,-0.400000,-4.400000,-5.600000
64551,1241735255,57775,1053.388913100,0.057211200,0.878000,-0.027000,0.483000,0.000000,-4.000000,-5.300000
64552,1241754482,77002,1053.408724800,0.077022900,0.880000,-0.026000,0.477000,1.100000,-5.500000,-3.400000
64553,1241773710,96230,1053.428998100,0.097296200,0.891000,-0.027000,0.478000,2.100000,-3.100000,-2.300000
64554,1241792907,115427,1053.446760400,0.115058500,0.864000,-0.043000,0.487000,0.000000,-1.700000,-3.300000
64555,1241812195,134715,1053.465897500,0.134195600,0.849000,-0.054000,0.494000,0.200000,-0.800000,-8.300000
64556,1241831362,153882,1053.491319900,0.159618000,0.826000,-0.089000,0.526000,0.300000,-1.000000,-14.700000
64557,1241850651,173171,1053.504967600,0.173265700,0.880000,-0.091000,0.526000,5.100000,-7.200000,-22.700000
64558,1241869817,192337,1053.523804000,0.192102100,0.947000,0.050000,0.457000,-1.700000,2.600000,-14.900000
64559,1241889045,211565,1053.542772700,0.211070800,0.917000,0.102000,0.467000,-11.800000,-8.400000,0.400000
64560,1241908333,230853,1053.562776100,0.231074200,0.884000,0.020000,0.466000,-5.800000,-4.500000,1.600000
64561,1241927470,249990,1053.581831000,0.250129100,0.926000,0.007000,0.503000,5.700000,-7.700000,-2.600000
64562,1241946819,269339,1053.600920200,0.269218300,0.920000,0.099000,0.524000,-0.200000,-33.400000,28.000000
64563,1241965986,288506,1053.619899400,0.288197500,0.876000,-0.025000,0.451000,10.600000,-39.800000,34.100000
64564,1241985274,307794,1053.639373300,0.307671400,0.849000,-0.106000,0.414000,11.300000,-26.300000,25.200000
64565,1242004441,326961,1053.658922500,0.327220600,0.859000,-0.073000,0.462000,-1.200000,4.700000,-2.800000
64566,1242023730,346250,1053.677891900,0.346190000,0.887000,-0.040000,0.523000,-18.700000,-11.000000,-4.900000
64567,1242042896,365416,1053.696884000,0.365182100,0.891000,-0.120000,0.351000,-28.600000,-5.300000,-6.900000
64568,1242062124,384644,1053.715727000,0.384025100,0.836000,-0.127000,0.380000,-27.300000,8.200000,-46.000000
64569,1242081382,403902,1053.736809600,0.405107700,0.910000,0.115000,0.451000,-39.400000,19.900000,-63.000000
64570,1242100671,423191,1053.754674200,0.422972300,0.874000,0.056000,0.539000,-36.300000,8.800000,-38.300000
64571,1242119837,442357,1053.773702600,0.442000700,0.891000,-0.077000,0.483000,-16.500000,-8.700000,-4.200000
64572,1242139065,461585,1053.797466400,0.465764500,0.884000,0.046000,0.447000,4.200000,-5.100000,0.000000
64573,1242158353,480873,1053.811948700,0.480246800,0.890000,0.014000,0.469000,4.000000,-2.900000,0.000000
64574,1242177489,500009,1053.831676900,0.499975000,0.889000,0.007000,0.443000,0.400000,-2.400000,2.800000
64575,1242196839,519359,1053.851099800,0.519397900,0.892000,0.010000,0.446000,-2.500000,-2.300000,3.800000
64576,1242215975,538495,1053.869707500,0.538005600,0.887000,0.006000,0.447000,-2.700000,-0.700000,5.500000
64577,1242235264,557784,1053.888883300,0.557181400,0.892000,-0.020000,0.456000,-1.600000,1.900000,8.600000
64578,1242254461,576981,1053.908715900,0.577014000,0.885000,-0.022000,0.458000,2.300000,3.400000,7.200000
64579,1242273627,596147,1053.927786200,0.596084300,0.937000,-0.025000,0.445000,3.400000,0.500000,11.300000
64580,1242292916,615436,1053.947576500,0.615874600,1.034000,0.016000,0.310000,-2.400000,15.900000,8.600000
64581,1242312144,634664,1053.965756100,0.634054200,0.928000,0.093000,0.434000,-18.600000,34.200000,14.300000
64582,1242331371,653891,1053.986467800,0.654765900,0.861000,0.032000,0.523000,-18.200000,28.100000,22.600000
64583,1242350568,673088,1054.004806800,0.673104900,0.821000,-0.120000,0.562000,-14.200000,19.200000,26.300000
64584,1242369857,692377,1054.023667700,0.691965800,0.790000,-0.195000,0.601000,-0.700000,0.800000,8.400000
64585,1242389023,711543,1054.044598300,0.712896400,0.818000,-0.201000,0.560000,12.200000,-4.100000,-4.800000
64586,1242408251,730771,1054.061685300,0.729983400,0.867000,-0.129000,0.496000,15.800000,-2.700000,-10.100000
64587,1242427509,750029,1054.081693900,0.749992000,0.917000,-0.038000,0.450000,14.700000,2.200000,-12.300000
64588,1242446706,769226,1054.100818800,0.769116900,0.928000,-0.004000,0.451000,11.300000,10.600000,-15.400000
64589,1242465995,788515,1054.119723000,0.788021100,0.921000,-0.002000,0.473000,8.100000,13.200000,-13.200000
64590,1242485284,807804,1054.138697600,0.806995700,0.904000,-0.012000,0.484000,6.500000,14.900000,-16.200000
64591,1242504481,827001,1054.158710600,0.827008700,0.883000,-0.020000,0.510000,8.400000,15.100000,-19.900000
64592,1242523647,846167,1054.177647600,0.845945700,0.865000,-0.021000,0.528000,13.400000,12.400000,-21.900000
64593,1242542936,865456,1054.196670300,0.864968400,0.870000,-0.013000,0.528000,14.900000,10.700000,-23.500000
64594,1242562102,884622,1054.215946800,0.884244900,0.866000,0.008000,0.553000,11.500000,7.800000,-24.900000
