meta_label,V
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
30783,4090819313,0,1236.979916300,0.000000000,0.861000,-0.024000,0.509000,3.300000,-3.300000,-1.700000
30784,4090838601,19288,1236.998977400,0.019061100,0.876000,-0.018000,0.511000,3.500000,-0.500000,1.000000
30785,4090857860,38547,1237.019510300,0.039594000,0.848000,-0.054000,0.509000,1.100000,2.300000,-1.100000
30786,4090876996,57683,1237.036898000,0.056981700,0.817000,-0.066000,0.545000,1.600000,1.700000,-7.800000
30787,4090896376,77063,1237.057118700,0.077202400,0.799000,-0.073000,0.575000,1.500000,-2.200000,-13.500000
30788,4090915542,96229,1237.079643500,0.099727200,0.783000,-0.120000,0.610000,5.000000,-11.000000,-22.000000
30789,4090934709,115396,1237.095097300,0.115181000,1.029000,-0.001000,0.468000,-0.400000,1.700000,-25.800000
30790,4090953998,134685,1237.114079500,0.134163200,0.861000,0.081000,0.448000,-10.800000,-9.900000,-9.700000
30791,4090973225,153912,1237.134308000,0.154391700,0.907000,0.000000,0.480000,1.400000,-4.100000,-7.300000
30792,4090992453,173140,1237.152983100,0.173066800,1.006000,0.074000,0.565000,11.700000,-1.500000,6.600000
30793,4091011650,192337,1237.172548700,0.192632400,0.778000,0.191000,0.562000,-7.200000,-39.200000,45.900000
30794,4091030939,211626,1237.190943000,0.211026700,0.871000,-0.042000,0.535000,-4.800000,-21.300000,28.800000
30795,4091050105,230792,1237.210983000,0.231066700,0.756000,-0.146000,0.510000,-20.800000,-5.800000,6.000000
30796,4091069333,250020,1237.230004300,0.250088000,0.890000,-0.136000,0.560000,-41.400000,-16.200000,-5.500000
30797,4091088560,269247,1237.248882600,0.268966300,0.784000,-0.188000,0.312000,-45.800000,-7.800000,-28.000000
30798,4091107757,288444,1237.267891300,0.287975000,0.762000,0.011000,0.465000,-35.700000,27.500000,-77.000000
30799,4091127107,307794,1237.291822400,0.311906100,0.780000,0.097000,0.500000,-27.900000,19.200000,-36.900000
30800,4091146243,326930,1237.306857200,0.326940900,0.897000,0.068000,0.482000,-9.000000,5.100000,5.500000
30801,4091165501,346188,1237.325900000,0.345983700,0.900000,-0.025000,0.455000,16.300000,11.100000,18.300000
30802,4091184729,365416,1237.347167400,0.367251100,0.987000,0.030000,0.552000,18.600000,0.800000,25.000000
30803,4091204017,384704,1237.364022500,0.384106200,0.934000,0.012000,0.412000,-0.500000,23.900000,28.000000
30804,4091223184,403871,1237.384409200,0.404492900,0.835000,0.017000,0.511000,-14.400000,22.100000,22.800000
30805,4091242351,423038,1237.402842700,0.422926400,0.820000,-0.055000,0.572000,-21.700000,23.300000,15.500000
30806,4091261639,442326,1237.421988900,0.442072600,0.788000,-0.129000,0.595000,-15.200000,13.800000,12.600000
30807,4091280836,461523,1237.444116600,0.464200300,0.757000,-0.186000,0.619000,-2.700000,3.200000,5.100000
30808,4091300125,480812,1237.459921900,0.480005600,0.808000,-0.129000,0.564000,8.500000,-2.800000,4.200000
30809,4091319353,500040,1237.479983900,0.500067600,0.849000,-0.051000,0.537000,11.700000,-3.800000,3.400000
30810,4091338580,519267,1237.498975700,0.519059400,0.854000,-0.023000,0.531000,9.600000,-6.600000,7.000000
30811,4091357777,538464,1237.519381100,0.539464800,0.877000,-0.005000,0.509000,7.200000,-3.900000,9.800000
30812,4091377096,557783,1237.537067300,0.557151000,0.848000,-0.030000,0.539000,2.300000,-2.400000,14.000000
30813,4091396232,576919,1237.557066900,0.577150600,0.846000,-0.098000,0.542000,-0.600000,-5.100000,14.000000
30814,4091415429,596116,1237.580578100,0.600661800,0.859000,-0.111000,0.516000,0.800000,-1.800000,7.900000
30815,4091434718,615405,1237.594942400,0.615026100,0.832000,-0.097000,0.543000,-0.800000,-1.800000,5.900000
30816,4091454007,634694,1237.614036200,0.634119900,0.843000,-0.102000,0.551000,0.100000,-4.400000,5.100000
30817,4091473204,653891,1237.635976300,0.656060000,0.854000,-0.091000,0.531000,1.700000,-5.000000,2.900000
30818,4091492370,673057,1237.652983900,0.673067600,0.832000,-0.073000,0.551000,1.600000,-6.000000,5.400000
30819,4091511659,692346,1237.671978200,0.692061900,0.847000,-0.089000,0.549000,3.500000,-8.000000,4.100000
30820,4091530887,711574,1237.690920200,0.711003900,0.866000,-0.071000,0.502000,3.400000,-4.300000,5.100000
