meta_label,v
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
12790,2766885791,0,2578.272240400,0.000000000,0.864000,0.198000,0.482000,4.100000,-3.200000,0.000000
12791,2766905111,19320,2578.290491200,0.018250800,0.867000,0.191000,0.471000,2.800000,-1.700000,-4.000000
12792,2766924277,38486,2578.316419600,0.044179200,0.855000,0.210000,0.481000,0.400000,-1.700000,-1.900000
12793,2766943505,57714,2578.328553300,0.056312900,0.847000,0.203000,0.484000,-0.100000,-2.500000,-1.600000
12794,2766962732,76941,2578.348518600,0.076278200,0.842000,0.202000,0.502000,1.100000,-3.700000,-0.200000
12795,2766981899,96108,2578.370785000,0.098544600,0.840000,0.188000,0.510000,2.700000,-5.000000,0.800000
12796,2767001126,115335,2578.386485100,0.114244700,0.805000,0.167000,0.536000,3.300000,-7.400000,-1.500000
12797,2767020354,134563,2578.410887200,0.138646800,0.945000,0.172000,0.467000,-3.800000,-13.500000,-8.000000
12798,2767039673,153882,2578.425569400,0.153329000,0.856000,0.252000,0.465000,-14.800000,-3.100000,-6.500000
12799,2767058840,173049,2578.444519300,0.172278900,0.880000,0.290000,0.464000,-22.700000,-10.700000,3.900000
12800,2767078128,192337,2578.464135800,0.191895400,0.859000,0.236000,0.399000,-18.700000,-6.900000,9.300000
12801,2767097295,211504,2578.482533900,0.210293500,0.867000,0.194000,0.475000,-15.400000,-3.300000,13.800000
12802,2767116462,230671,2578.502460500,0.230220100,0.872000,0.107000,0.504000,-8.600000,-4.700000,9.400000
12803,2767135750,249959,2578.521464000,0.249223600,0.904000,0.123000,0.514000,-3.000000,-7.200000,4.600000
12804,2767154978,269187,2578.540456700,0.268216300,0.812000,0.236000,0.442000,-1.400000,-9.600000,11.500000
12805,2767174236,288445,2578.561289400,0.289049000,0.911000,0.143000,0.514000,1.700000,-2.300000,5.900000
12806,2767193464,307673,2578.578516100,0.306275700,0.828000,0.155000,0.396000,-0.600000,-3.500000,-1.800000
