meta_label,v
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
58726,3882101435,0,3901.122357600,0.000000000,0.848000,-0.086000,0.517000,0.500000,-0.400000,-2.300000
58727,3882120724,19289,3901.141417700,0.019060100,0.850000,-0.091000,0.523000,-0.500000,0.000000,-5.700000
58728,3882139891,38456,3901.160435700,0.038078100,0.822000,-0.097000,0.537000,-1.300000,0.000000,-8.400000
58729,3882159088,57653,3901.180397400,0.058039800,0.777000,-0.171000,0.590000,0.900000,-4.500000,-12.900000
58730,3882178346,76911,3901.199314000,0.076956400,0.724000,-0.283000,0.626000,16.800000,-19.800000,-35.800000
58731,3882197543,96108,3901.218438400,0.096080800,1.135000,0.054000,0.433000,-10.000000,-5.800000,-23.800000
58732,3882216801,115366,3901.237309500,0.114951900,0.865000,0.136000,0.396000,-2.000000,-7.900000,-8.300000
58733,3882236029,134594,3901.256928000,0.134570400,0.886000,0.030000,0.551000,4.300000,-10.600000,4.900000
58734,3882255317,153882,3901.276360900,0.154003300,0.912000,-0.052000,0.526000,2.600000,-40.900000,27.800000
58735,3882274484,173049,3901.295313000,0.172955400,0.840000,-0.090000,0.453000,4.400000,-18.400000,13.900000
58736,3882293650,192215,3901.316468000,0.194110400,0.792000,-0.048000,0.447000,-6.200000,-9.500000,2.500000
58737,3882312939,211504,3901.333374800,0.211017200,0.868000,-0.014000,0.562000,-21.900000,-4.000000,1.500000
58738,3882332136,230701,3901.353291100,0.230933500,0.904000,-0.158000,0.477000,-37.300000,-11.700000,-13.700000
58739,3882351425,249990,3901.376229700,0.253872100,0.765000,-0.118000,0.372000,-43.100000,11.400000,-49.400000
58740,3882370652,269217,3901.391389300,0.269031700,0.752000,-0.010000,0.498000,-31.700000,12.900000,-33.600000
58741,3882389880,288445,3901.410385800,0.288028200,0.925000,-0.008000,0.509000,-12.100000,5.300000,-4.000000
58742,3882409108,307673,3901.429344600,0.306987000,0.866000,0.068000,0.459000,14.400000,12.100000,15.800000
58743,3882428396,326961,3901.451127900,0.328770300,0.994000,-0.004000,0.577000,15.400000,-0.200000,27.200000
58744,3882447532,346097,3901.468308900,0.345951300,0.908000,-0.090000,0.396000,-11.600000,24.700000,14.800000
58745,3882466729,365294,3901.487426400,0.365068800,0.803000,-0.149000,0.576000,-14.400000,26.000000,0.000000
58746,3882485987,384552,3901.508028800,0.385671200,0.791000,-0.112000,0.621000,-6.000000,10.100000,-4.800000
58747,3882505185,403750,3901.526331500,0.403973900,0.812000,-0.081000,0.579000,3.500000,-5.200000,1.100000
58748,3882524443,423008,3901.545419800,0.423062200,0.860000,-0.032000,0.537000,11.400000,-7.000000,10.600000
58749,3882543670,442235,3901.564351300,0.441993700,0.898000,-0.023000,0.493000,13.000000,-6.100000,15.400000
58750,3882562959,461524,3901.583379600,0.461022000,0.882000,-0.033000,0.501000,8.300000,-3.900000,17.800000
58751,3882582186,480751,3901.603373600,0.481016000,0.874000,-0.111000,0.501000,6.100000,-2.900000,17.600000
58752,3882601384,499949,3901.622351300,0.499993700,0.853000,-0.140000,0.528000,5.000000,0.600000,9.900000
58753,3882620581,519146,3901.641293000,0.518935400,0.835000,-0.146000,0.520000,5.000000,-0.900000,1.600000
58754,3882639900,538465,3901.663935600,0.541578000,0.842000,-0.136000,0.526000,4.600000,0.200000,-2.600000
58755,3882659066,557631,3901.679442800,0.557085200,0.868000,-0.107000,0.517000,7.200000,0.000000,-5.300000
58756,3882678294,576859,3901.699424700,0.577067100,0.893000,-0.101000,0.507000,7.700000,3.500000,-8.200000
58757,3882697522,596087,3901.720510100,0.598152500,0.857000,-0.089000,0.531000,5.300000,4.400000,-11.000000
58758,3882716719,615284,3901.737453800,0.615096200,0.806000,-0.172000,0.562000,12.100000,8.300000,-25.500000
58759,3882736038,634603,3901.757345900,0.634988300,0.852000,-0.156000,0.555000,15.400000,6.500000,-45.100000
