meta_label,Y
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
20218,3141592509,0,3160.747096800,0.000000000,0.862000,-0.076000,0.505000,-8.000000,-1.200000,-6.300000
20219,3141611797,19288,3160.764413600,0.017316800,0.832000,-0.077000,0.522000,-6.000000,-1.500000,-8.800000
20220,3141631086,38577,3160.783426100,0.036329300,0.786000,-0.104000,0.554000,-1.300000,-4.900000,-17.500000
20221,3141650283,57774,3160.803489900,0.056393100,0.760000,-0.109000,0.648000,15.500000,-20.800000,-16.600000
20222,3141669449,76940,3160.824295300,0.077198500,1.035000,-0.041000,0.454000,11.700000,-3.700000,-14.500000
20223,3141688738,96229,3160.844738700,0.097641900,0.888000,0.095000,0.470000,1.000000,-11.600000,4.500000
20224,3141707966,115457,3160.860406800,0.113310000,0.911000,0.044000,0.532000,-3.100000,-16.400000,22.300000
20225,3141727163,134654,3160.879488600,0.132391800,0.921000,-0.145000,0.466000,-15.200000,-27.100000,19.200000
20226,3141746390,153881,3160.899554700,0.152457900,0.855000,-0.189000,0.404000,-7.800000,-13.100000,-6.500000
20227,3141765679,173170,3160.918684900,0.171588100,0.851000,-0.070000,0.476000,-11.200000,-8.400000,-23.800000
20228,3141784846,192337,3160.937535700,0.190438900,0.877000,0.016000,0.476000,-18.100000,-4.500000,-38.200000
20229,3141804073,211564,3160.956405200,0.209308400,0.829000,0.138000,0.453000,-17.800000,7.600000,-19.600000
20230,3141823301,230792,3160.978950400,0.231853600,0.863000,-0.037000,0.475000,1.300000,10.900000,15.700000
20231,3141842498,249989,3160.995756500,0.248659700,1.006000,-0.113000,0.472000,18.300000,16.300000,17.600000
20232,3141861786,269277,3161.014568300,0.267471500,0.764000,-0.131000,0.572000,-7.400000,29.800000,7.100000
20233,3141881106,288597,3161.033609700,0.286512900,0.688000,-0.131000,0.715000,6.800000,-9.400000,-9.100000
20234,3141900272,307763,3161.053517800,0.306421000,0.717000,-0.020000,0.751000,12.600000,-38.700000,-1.500000
20235,3141919469,326960,3161.075478700,0.328381900,1.074000,0.209000,0.493000,-18.200000,-19.300000,12.300000
20236,3141938758,346249,3161.091458100,0.344361300,0.915000,0.023000,0.540000,-10.000000,-15.200000,25.400000
20237,3141957986,365477,3161.110597800,0.363501000,0.879000,-0.194000,0.406000,-6.300000,-34.000000,61.600000
20238,3141977213,384704,3161.130501400,0.383404600,0.886000,-0.236000,0.380000,11.700000,-4.000000,10.200000
20239,3141996410,403901,3161.149480000,0.402383200,0.858000,-0.121000,0.417000,6.100000,2.300000,1.500000
20240,3142015699,423190,3161.168547400,0.421450600,0.928000,-0.039000,0.454000,-0.700000,14.700000,-16.000000
20241,3142034865,442356,3161.187531000,0.440434200,0.944000,0.148000,0.503000,-15.300000,35.100000,-18.300000
20242,3142054093,461584,3161.206468900,0.459372100,0.837000,0.017000,0.573000,-27.700000,22.900000,8.300000
20243,3142073321,480812,3161.226424300,0.479327500,0.784000,-0.112000,0.617000,-19.600000,8.300000,15.100000
20244,3142092518,500009,3161.247427600,0.500330800,0.804000,-0.231000,0.571000,-12.300000,-2.600000,9.500000
20245,3142111837,519328,3161.264395000,0.517298200,0.822000,-0.157000,0.544000,-1.600000,-6.400000,-4.900000
20246,3142131125,538616,3161.283537000,0.536440200,0.875000,-0.087000,0.502000,1.800000,-2.800000,-3.900000
20247,3142150262,557753,3161.303429200,0.556332400,0.921000,-0.012000,0.454000,-0.800000,8.600000,-2.200000
20248,3142169489,576980,3161.328984300,0.581887500,0.889000,0.023000,0.521000,-7.400000,15.300000,4.200000
20249,3142188778,596269,3161.341517300,0.594420500,0.851000,-0.002000,0.563000,-10.400000,11.000000,16.000000
20250,3142207944,615435,3161.360512000,0.613415200,0.827000,-0.093000,0.555000,-10.900000,8.800000,20.900000
20251,3142227111,634602,3161.379575900,0.632479100,0.803000,-0.146000,0.572000,-12.100000,2.900000,15.700000
20252,3142246400,653891,3161.399630500,0.652533700,0.812000,-0.193000,0.558000,-7.600000,-2.400000,8.400000
20253,3142265627,673118,3161.418549200,0.671452400,0.857000,-0.169000,0.511000,0.100000,-1.400000,0.200000
20254,3142284885,692376,3161.439772600,0.692675800,0.876000,-0.114000,0.495000,4.900000,3.400000,-1.700000
20255,3142304052,711543,3161.456410000,0.709313200,0.870000,-0.071000,0.511000,8.600000,6.800000,2.200000
20256,3142323340,730831,3161.477579600,0.730482800,0.859000,-0.057000,0.526000,4.500000,8.400000,5.000000
