meta_label,Y
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
6611,4140187254,0,4159.161797800,0.000000000,0.846000,0.000000,0.528000,-0.700000,-4.000000,-3.000000
6612,4140206481,19227,4159.181887500,0.020089700,0.860000,0.003000,0.506000,-2.200000,-1.300000,-2.300000
6613,4140225709,38455,4159.200984400,0.039186600,0.852000,-0.005000,0.535000,-2.600000,-0.400000,-3.300000
6614,4140244906,57652,4159.219935600,0.058137800,0.819000,-0.043000,0.563000,-2.700000,-3.100000,-8.900000
6615,4140264103,76849,4159.242541500,0.080743700,0.784000,-0.071000,0.607000,0.700000,-9.600000,-15.700000
6616,4140283422,96168,4159.257787700,0.095989900,0.972000,0.030000,0.505000,-4.900000,-6.800000,-22.600000
6617,4140302558,115304,4159.277813400,0.116015600,0.895000,0.135000,0.525000,-19.500000,-10.600000,-3.500000
6618,4140321908,134654,4159.298257000,0.136459200,0.868000,0.017000,0.445000,-13.300000,-11.800000,3.200000
6619,4140341044,153790,4159.315936300,0.154138500,0.882000,-0.089000,0.493000,8.500000,-6.800000,-1.900000
6620,4140360241,172987,4159.336209800,0.174412000,0.954000,0.125000,0.575000,16.000000,-14.800000,0.000000
6621,4140379530,192276,4159.354791400,0.192993600,0.767000,0.088000,0.519000,7.500000,-30.900000,29.400000
6622,4140398818,211564,4159.373784200,0.211986400,0.868000,-0.002000,0.402000,-3.200000,-18.000000,12.400000
6623,4140417954,230700,4159.395049500,0.233251700,0.860000,-0.059000,0.488000,-13.100000,-13.300000,2.600000
6624,4140437182,249928,4159.411851600,0.250053800,0.856000,-0.140000,0.469000,-20.000000,-5.400000,-30.400000
6625,4140456471,269217,4159.430932600,0.269134800,0.857000,-0.006000,0.407000,-16.600000,7.600000,-36.700000
6626,4140475698,288444,4159.450784300,0.288986500,0.900000,0.074000,0.426000,1.000000,15.100000,-2.000000
6627,4140494895,307641,4159.470693300,0.308895500,0.898000,0.053000,0.487000,13.900000,21.500000,6.600000
6628,4140514123,326869,4159.488959600,0.327161800,0.929000,0.087000,0.545000,2.800000,25.300000,11.200000
6629,4140533350,346096,4159.507953700,0.346155900,0.737000,-0.053000,0.654000,-2.800000,21.200000,18.200000
6630,4140552609,365355,4159.528005500,0.366207700,0.685000,-0.128000,0.747000,14.200000,-11.800000,11.000000
6631,4140571928,384674,4159.546824000,0.385026200,1.055000,-0.138000,0.483000,17.200000,-33.500000,0.700000
6632,4140591064,403810,4159.565845500,0.404047700,0.878000,0.198000,0.489000,2.500000,-21.100000,11.000000
6633,4140610261,423007,4159.588717600,0.426919800,0.849000,0.022000,0.470000,9.100000,-20.300000,47.000000
6634,4140629549,442295,4159.604949100,0.443151300,0.846000,0.054000,0.450000,10.500000,-17.000000,39.800000
6635,4140648869,461615,4159.623987500,0.462189700,0.897000,-0.140000,0.375000,11.800000,-3.800000,11.700000
6636,4140668035,480781,4159.644194600,0.482396800,0.881000,-0.039000,0.493000,-3.300000,5.100000,-10.800000
6637,4140687202,499948,4159.661787200,0.499989400,0.912000,-0.099000,0.411000,-9.100000,20.300000,-33.300000
6638,4140706490,519236,4159.681668400,0.519870600,0.964000,0.164000,0.488000,-19.500000,24.000000,-7.300000
6639,4140725718,538464,4159.700835600,0.539037800,0.840000,0.050000,0.588000,-19.300000,17.700000,13.500000
6640,4140744885,557631,4159.719835700,0.558037900,0.817000,-0.058000,0.581000,-12.200000,8.500000,15.800000
6641,4140764112,576858,4159.740768000,0.578970200,0.815000,-0.131000,0.582000,-5.900000,1.700000,11.600000
6642,4140783309,596055,4159.757904500,0.596106700,0.814000,-0.113000,0.561000,-1.000000,-3.500000,2.000000
6643,4140802598,615344,4159.777805400,0.616007600,0.850000,-0.079000,0.532000,0.600000,-5.100000,-4.700000
6644,4140821825,634571,4159.799743400,0.637945600,0.852000,-0.032000,0.525000,1.300000,-5.400000,-6.700000
6645,4140841053,653799,4159.815872100,0.654074300,0.877000,-0.008000,0.508000,4.300000,-4.500000,-4.400000
6646,4140860250,672996,4159.834885000,0.673087200,0.885000,0.007000,0.499000,3.600000,-2.400000,-0.800000
6647,4140879569,692315,4159.853814500,0.692016700,0.891000,-0.010000,0.490000,2.700000,1.700000,1.900000
6648,4140898858,711604,4159.876119000,0.714321200,0.876000,-0.027000,0.509000,0.200000,4.000000,1.900000
6649,4140917994,730740,4159.892956000,0.731158200,0.873000,-0.057000,0.521000,0.000000,6.600000,-3.500000
6650,4140937222,749968,4159.912001200,0.750203400,0.869000,-0.057000,0.525000,0.000000,8.100000,-7.200000
6651,4140956510,769256,4159.934823900,0.773026100,0.882000,-0.053000,0.519000,0.000000,10.400000,-11.700000
6652,4140975677,788423,4159.950919900,0.789122100,0.894000,-0.028000,0.514000,-1.300000,12.500000,-18.000000
6653,4140994843,807589,4159.969927800,0.808130000,0.874000,-0.020000,0.541000,-1.600000,11.500000,-21.800000
6654,4141014101,826847,4159.988816700,0.827018900,0.879000,-0.028000,0.547000,-0.600000,10.200000,-25.200000
6655,4141033329,846075,4160.007868500,0.846070700,0.870000,-0.013000,0.572000,2.200000,8.900000,-25.200000
6656,4141052618,865364,4160.027646600,0.865848800,0.803000,0.013000,0.587000,3.600000,5.600000,-18.500000
