meta_label,y
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
22822,439286598,0,251.082357500,0.000000000,0.898000,0.195000,0.408000,1.400000,-5.400000,3.100000
22823,439305765,19167,251.101379600,0.019022100,0.889000,0.158000,0.438000,-1.100000,-4.100000,1.300000
22824,439324992,38394,251.120367300,0.038009800,0.851000,0.110000,0.501000,-0.200000,-7.700000,-1.800000
22825,439344250,57652,251.139337900,0.056980400,0.777000,0.059000,0.597000,4.400000,-18.400000,-10.100000
22826,439363539,76941,251.160043300,0.077685800,1.075000,0.131000,0.371000,9.100000,-22.000000,-19.800000
22827,439382736,96138,251.178441700,0.096084200,0.920000,0.265000,0.238000,-5.100000,-12.200000,0.100000
22828,439402055,115457,251.197534200,0.115176700,0.900000,0.194000,0.356000,-2.300000,-2.500000,-1.900000
22829,439421222,134624,251.216341000,0.133983500,0.930000,0.223000,0.471000,1.500000,-9.100000,0.700000
22830,439440388,153790,251.235317400,0.152959900,0.895000,0.167000,0.284000,1.700000,-8.700000,14.400000
22831,439459677,173079,251.255376500,0.173019000,0.918000,0.213000,0.389000,0.700000,-4.300000,15.300000
22832,439478844,192246,251.274396000,0.192038500,0.877000,0.041000,0.407000,-2.900000,4.600000,1.600000
22833,439498102,211504,251.293421200,0.211063700,0.923000,0.156000,0.405000,-16.300000,11.300000,-21.500000
22834,439517329,230731,251.313348200,0.230990700,0.801000,0.177000,0.557000,-21.000000,9.300000,-17.000000
22835,439536618,250020,251.331340500,0.248983000,0.800000,0.163000,0.574000,-4.300000,-19.100000,0.300000
22836,439555784,269186,251.351367000,0.269009500,0.998000,0.045000,0.346000,5.400000,-16.000000,-4.400000
22837,439575073,288475,251.372486000,0.290128500,0.896000,0.226000,0.374000,2.700000,-5.600000,11.900000
22838,439594240,307642,251.389422800,0.307065300,0.855000,0.191000,0.483000,6.300000,-6.400000,45.900000
22839,439613467,326869,251.412304900,0.329947400,0.905000,0.083000,0.427000,22.000000,-7.300000,31.200000
22840,439632756,346158,251.428387900,0.346030400,0.938000,0.149000,0.288000,27.700000,-3.300000,45.700000
22841,439652746,366148,251.448393800,0.366036300,0.907000,-0.015000,0.243000,17.100000,4.700000,15.700000
22842,439671181,384583,251.466743100,0.384385600,0.977000,-0.091000,0.440000,-9.800000,5.100000,-18.900000
22843,439690317,403719,251.485369900,0.403012400,1.093000,0.336000,0.146000,-28.800000,13.400000,-88.900000
22844,439709697,423099,251.509554100,0.427196600,0.886000,0.398000,0.377000,-56.000000,52.100000,-23.200000
22845,439728863,442265,251.524477700,0.442120200,0.739000,0.176000,0.586000,-41.600000,35.600000,9.700000
22846,439748091,461493,251.543529700,0.461172200,0.753000,0.091000,0.660000,-16.900000,9.100000,14.200000
22847,439767349,480751,251.567319600,0.484962100,0.863000,0.049000,0.521000,-0.700000,-2.800000,6.200000
22848,439786485,499887,251.581326000,0.498968500,0.888000,0.097000,0.446000,-0.100000,0.600000,-0.500000
22849,439805804,519206,251.601507100,0.519149600,0.914000,0.089000,0.450000,-3.500000,2.700000,-10.400000
22850,439824971,538373,251.620395700,0.538038200,0.919000,0.107000,0.471000,-2.500000,3.600000,-13.100000
22851,439844290,557692,251.639387100,0.557029600,0.963000,0.120000,0.414000,-0.700000,4.300000,-17.800000
22852,439863457,576859,251.661386000,0.579028500,1.032000,0.137000,0.371000,-6.800000,13.400000,-25.400000
22853,439882745,596147,251.678526700,0.596169200,1.004000,0.167000,0.383000,-17.300000,25.500000,-32.300000
22854,439901912,615314,251.697279200,0.614921700,0.909000,0.158000,0.502000,-22.500000,28.300000,-42.800000
22855,439921109,634511,251.722409800,0.640052300,0.847000,0.169000,0.612000,-14.100000,16.300000,-40.100000
