meta_label,y
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
53218,741472628,0,5055.255233600,0.000000000,0.863000,0.049000,0.511000,0.200000,1.000000,-2.500000
53219,741491764,19136,5055.274260800,0.019027200,0.846000,0.053000,0.536000,-0.200000,0.000000,-2.200000
53220,741511022,38394,5055.296533600,0.041300000,0.828000,0.023000,0.568000,1.900000,-1.400000,-4.100000
53221,741530249,57621,5055.313356200,0.058122600,0.818000,0.019000,0.570000,2.700000,-4.900000,-5.300000
53222,741549508,76880,5055.332449900,0.077216300,0.788000,-0.009000,0.586000,4.400000,-9.400000,-10.800000
53223,741568705,96077,5055.351182800,0.095949200,0.958000,-0.021000,0.499000,3.700000,-14.600000,-18.700000
53224,741587871,115243,5055.377891300,0.122657700,0.895000,0.122000,0.522000,-5.200000,-10.800000,-17.300000
53225,741607190,134562,5055.390350300,0.135116700,0.862000,0.067000,0.458000,6.200000,-8.600000,-10.800000
53226,741626479,153851,5055.409175800,0.153942200,0.883000,0.118000,0.529000,16.300000,-5.900000,-8.300000
53227,741645646,173018,5055.428875000,0.173641400,0.905000,0.226000,0.504000,6.800000,-14.400000,17.600000
53228,741664873,192245,5055.447338000,0.192104400,0.840000,0.090000,0.426000,2.700000,-13.500000,24.700000
53229,741684101,211473,5055.467230500,0.211996900,0.868000,0.085000,0.492000,-4.200000,5.900000,12.600000
53230,741703298,230670,5055.486295900,0.231062300,0.831000,0.049000,0.483000,-14.600000,-4.500000,3.900000
53231,741722617,249989,5055.505249800,0.250016200,0.880000,-0.057000,0.433000,-13.700000,14.900000,-26.300000
53232,741741753,269125,5055.524396500,0.269162900,0.855000,0.030000,0.610000,-15.600000,5.600000,-20.200000
53233,741760950,288322,5055.543332400,0.288098800,0.711000,-0.042000,0.647000,0.900000,-19.900000,-16.800000
53234,741780239,307611,5055.563303000,0.308069400,0.887000,0.133000,0.493000,0.000000,-11.200000,-11.900000
53235,741799527,326899,5055.582245900,0.327012300,0.860000,0.103000,0.494000,-1.600000,-10.000000,-0.600000
53236,741818663,346035,5055.601481200,0.346247600,0.854000,0.220000,0.536000,13.100000,-8.500000,3.800000
53237,741837891,365263,5055.620364600,0.365131000,0.856000,0.029000,0.521000,13.400000,-14.200000,53.700000
53238,741857210,384582,5055.649092600,0.393859000,0.894000,-0.015000,0.408000,15.000000,-8.400000,66.600000
53239,741876499,403871,5055.659354400,0.404120800,0.859000,0.044000,0.398000,22.400000,3.400000,6.400000
53240,741895665,423037,5055.678396700,0.423163100,0.890000,-0.075000,0.465000,1.500000,10.100000,4.700000
53241,741914832,442204,5055.698887800,0.443654200,0.895000,-0.033000,0.499000,-8.600000,7.400000,-6.500000
53242,741934121,461493,5055.716295100,0.461061500,0.947000,0.188000,0.437000,-10.300000,14.200000,-29.900000
53243,741953287,480659,5055.736386100,0.481152500,0.912000,0.211000,0.490000,-29.300000,22.500000,8.200000
53244,741972515,499887,5055.755870900,0.500637300,0.812000,0.030000,0.582000,-24.600000,12.000000,13.500000
53245,741991742,519114,5055.774353700,0.519120100,0.798000,-0.116000,0.593000,-11.200000,3.500000,2.300000
53246,742010939,538311,5055.793318900,0.538085300,0.840000,-0.110000,0.554000,-8.000000,7.600000,-19.800000
53247,742030289,557661,5055.813190500,0.557956900,0.796000,0.038000,0.601000,-6.100000,5.500000,-21.500000
53248,742049425,576797,5055.835127700,0.579894100,0.844000,0.148000,0.535000,-1.100000,-3.200000,-7.500000
53249,742068683,596055,5055.851183100,0.595949500,0.866000,0.142000,0.506000,-4.200000,1.500000,6.400000
53250,742087911,615283,5055.872954500,0.617720900,0.866000,0.031000,0.531000,-4.900000,1.300000,14.800000
53251,742107200,634572,5055.890336600,0.635103000,0.861000,-0.071000,0.525000,-0.900000,1.100000,0.000000
53252,742126427,653799,5055.909282800,0.654049200,0.815000,-0.026000,0.572000,-3.000000,2.400000,-5.900000
53253,742145624,672996,5055.932512400,0.677278800,0.774000,-0.009000,0.607000,0.100000,-4.200000,-7.400000
53254,742164821,692193,5055.947179800,0.691946200,0.847000,0.018000,0.550000,5.600000,-8.700000,-1.800000
53255,742184140,711512,5055.966341600,0.711108000,0.860000,0.072000,0.523000,5.500000,-8.000000,1.000000
