meta_label,Z
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
42936,2086336090,0,1897.841076700,0.000000000,0.917000,0.087000,0.435000,-1.300000,-2.200000,-3.900000
42937,2086355257,19167,1897.861051800,0.019975100,0.894000,0.043000,0.481000,-3.400000,0.700000,-3.300000
42938,2086374545,38455,1897.880838300,0.039761600,0.847000,0.034000,0.510000,-2.200000,-1.500000,-3.000000
42939,2086393773,57683,1897.899097800,0.058021100,0.852000,0.026000,0.502000,-1.000000,-1.500000,-4.400000
42940,2086413001,76911,1897.919698600,0.078621900,0.855000,0.052000,0.515000,-1.000000,-1.800000,-5.700000
42941,2086432198,96108,1897.938132300,0.097055600,0.828000,0.042000,0.545000,-0.200000,-6.600000,-4.500000
42942,2086451486,115396,1897.957147300,0.116070600,0.753000,-0.054000,0.603000,3.000000,-14.400000,-5.700000
42943,2086470653,134563,1897.982300900,0.141224200,0.976000,-0.075000,0.435000,2.800000,-31.600000,-29.000000
42944,2086489881,153791,1897.995088100,0.154011400,0.903000,0.225000,0.426000,-5.500000,-9.300000,-9.300000
42945,2086509108,173018,1898.017917700,0.176841000,0.903000,0.237000,0.314000,-21.500000,-5.600000,1.000000
42946,2086528336,192246,1898.034080500,0.193003800,0.927000,0.090000,0.460000,-22.500000,-4.200000,1.900000
42947,2086547624,211534,1898.053058700,0.211982000,0.918000,0.120000,0.403000,-22.600000,-21.200000,-10.000000
42948,2086566760,230670,1898.077931000,0.236854300,0.844000,0.022000,0.430000,-11.400000,-10.100000,8.400000
42949,2086586110,250020,1898.091022400,0.249945700,0.862000,-0.070000,0.584000,7.000000,-6.300000,13.800000
42950,2086605277,269187,1898.111185100,0.270108400,0.867000,-0.060000,0.598000,20.100000,-7.900000,16.900000
42951,2086624565,288475,1898.133430600,0.292353900,0.797000,0.049000,0.489000,22.800000,-5.600000,21.000000
42952,2086643732,307642,1898.149064900,0.307988200,0.921000,0.005000,0.439000,19.800000,-4.200000,21.600000
42953,2086662898,326808,1898.170070100,0.328993400,0.944000,0.089000,0.372000,14.400000,-5.100000,9.000000
42954,2086682218,346128,1898.188088500,0.347011800,0.880000,0.197000,0.341000,-2.300000,-2.000000,0.300000
42955,2086701506,365416,1898.206984400,0.365907700,0.908000,0.057000,0.495000,-13.800000,0.000000,5.700000
42956,2086720673,384583,1898.228153000,0.387076300,0.943000,0.086000,0.479000,-23.500000,-18.700000,6.300000
