meta_label,z
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
17487,568560967,0,588.172636100,0.000000000,0.869000,-0.117000,0.496000,4.200000,-4.500000,-1.900000
17488,568580103,19136,588.190859300,0.018223200,0.868000,-0.109000,0.500000,0.300000,-2.300000,-3.100000
17489,568599361,38394,588.209779500,0.037143400,0.852000,-0.114000,0.511000,-2.900000,-1.400000,-3.400000
17490,568618589,57622,588.229739300,0.057103200,0.849000,-0.138000,0.522000,-2.200000,-2.400000,-2.900000
17491,568637877,76910,588.248805600,0.076169500,0.853000,-0.151000,0.512000,1.900000,-3.300000,-1.400000
17492,568657044,96077,588.267892100,0.095256000,0.855000,-0.123000,0.516000,4.600000,-4.400000,-1.500000
17493,568676210,115243,588.289696700,0.117060600,0.869000,-0.075000,0.510000,0.900000,-3.400000,-0.900000
17494,568695530,134563,588.305886700,0.133250600,0.840000,-0.137000,0.527000,-5.800000,-0.300000,-1.300000
17495,568714757,153790,588.325971700,0.153335600,0.847000,-0.202000,0.545000,-7.000000,-1.500000,-4.500000
17496,568733954,172987,588.351400100,0.178764000,0.899000,-0.198000,0.547000,-5.600000,-0.700000,-9.800000
17497,568753121,192154,588.363720300,0.191084200,0.860000,-0.027000,0.441000,-5.200000,-8.600000,-12.100000
17498,568772440,211473,588.382955300,0.210319200,0.861000,-0.079000,0.484000,-11.400000,-3.700000,-1.300000
17499,568791637,230670,588.402886700,0.230250600,0.874000,-0.163000,0.483000,-11.200000,-5.000000,-9.500000
17500,568810926,249959,588.421995700,0.249359600,0.949000,-0.072000,0.523000,-7.500000,-2.700000,-12.300000
17501,568830092,269125,588.440840100,0.268204000,0.835000,0.054000,0.406000,-1.700000,-10.500000,-12.300000
17502,568849289,288322,588.460564500,0.287928400,0.840000,-0.165000,0.553000,-0.600000,-6.500000,12.000000
17503,568868547,307580,588.478990000,0.306353900,0.820000,-0.313000,0.577000,15.400000,-6.400000,0.600000
17504,568887806,326839,588.499342000,0.326705900,0.775000,-0.029000,0.495000,5.900000,-16.500000,27.800000
17505,568907064,346097,588.519279300,0.346643200,0.895000,-0.085000,0.515000,7.100000,-13.700000,12.800000
17506,568926230,365263,588.536857200,0.364221100,0.862000,-0.057000,0.366000,-1.200000,-10.000000,10.100000
17507,568945519,384552,588.556741200,0.384105100,0.879000,-0.162000,0.439000,-6.600000,-0.700000,-1.600000
17508,568964746,403779,588.578121500,0.405485400,0.953000,-0.179000,0.514000,-10.600000,0.900000,-7.000000
17509,568983974,423007,588.594951400,0.422315300,0.856000,-0.066000,0.481000,-1.100000,-8.800000,-13.800000
17510,569003171,442204,588.620654800,0.448018700,0.873000,0.032000,0.481000,0.600000,-7.600000,-0.300000
17511,569022460,461493,588.633049900,0.460413800,0.816000,-0.090000,0.516000,3.200000,-6.300000,10.600000
17512,569041626,480659,588.652827800,0.480191700,0.827000,-0.283000,0.527000,7.000000,-0.600000,7.400000
17513,569060854,499887,588.671943300,0.499307200,0.857000,-0.242000,0.422000,1.000000,14.400000,-1.800000
17514,569080082,519115,588.691561200,0.518925100,0.921000,-0.027000,0.455000,-16.800000,23.900000,8.200000
17515,569099279,538312,588.711352700,0.538716600,0.831000,-0.093000,0.550000,-26.200000,14.700000,10.200000
17516,569118628,557661,588.729897600,0.557261500,0.780000,-0.204000,0.609000,-5.500000,-2.400000,5.300000
17517,569137764,576797,588.748832900,0.576196800,0.736000,-0.369000,0.605000,14.100000,-17.700000,-12.300000
17518,569157022,596055,588.767816300,0.595180200,1.046000,-0.059000,0.416000,9.000000,-8.900000,-31.700000
17519,569176250,615283,588.786776400,0.614140300,0.938000,0.073000,0.469000,-8.600000,-5.500000,-6.900000
17520,569195539,634572,588.807912200,0.635276100,0.859000,-0.070000,0.458000,-9.900000,-6.400000,-2.300000
17521,569214705,653738,588.825821300,0.653185200,0.878000,-0.220000,0.505000,-10.400000,-2.900000,-4.800000
17522,569233872,672905,588.844648200,0.672012100,0.906000,-0.179000,0.404000,-11.900000,-5.800000,-20.000000
17523,569253191,692224,588.865959300,0.693323200,0.932000,0.076000,0.460000,-8.700000,-11.000000,-22.800000
17524,569272480,711513,588.882723100,0.710087000,0.847000,0.165000,0.485000,-4.100000,-12.000000,0.400000
17525,569291646,730679,588.902103400,0.729467300,0.844000,-0.218000,0.537000,0.100000,-6.800000,27.500000
17526,569310874,749907,588.925573800,0.752937700,0.870000,-0.278000,0.479000,12.100000,-3.700000,13.700000
17527,569330101,769134,588.940731600,0.768095500,1.022000,0.020000,0.367000,-19.100000,30.000000,28.400000
17528,569349298,788331,588.960899100,0.788263000,0.886000,-0.009000,0.463000,-45.900000,37.000000,34.200000
17529,569368557,807590,588.978909900,0.806273800,0.780000,-0.180000,0.609000,-27.100000,15.300000,33.300000
17530,569387784,826817,589.000085100,0.827449000,0.707000,-0.448000,0.588000,-10.400000,-0.700000,21.200000
17531,569407042,846075,589.020361900,0.847725800,0.725000,-0.412000,0.585000,11.600000,-11.100000,-5.300000
17532,569426270,865303,589.036751900,0.864115800,0.789000,-0.277000,0.547000,24.000000,-19.400000,-17.800000
17533,569445406,884439,589.055807300,0.883171200,0.903000,-0.102000,0.491000,28.000000,-19.400000,-20.600000
17534,569464725,903758,589.075619400,0.902983300,0.907000,0.003000,0.479000,17.000000,-13.100000,-8.200000
