meta_label,z
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
874,3515669302,0,661.935950700,0.000000000,0.825000,0.082000,0.563000,-0.800000,0.000000,-0.100000
875,3515688591,19289,661.951450700,0.015500000,0.817000,0.058000,0.575000,0.500000,-3.000000,-2.100000
876,3515707788,38486,661.970992700,0.035042000,0.811000,0.049000,0.584000,5.400000,-5.900000,-0.700000
877,3515726955,57653,661.990102100,0.054151400,0.798000,0.038000,0.586000,11.000000,-9.600000,-1.100000
878,3515746243,76941,662.009043700,0.073093000,0.900000,0.018000,0.555000,15.400000,-14.000000,-6.300000
879,3515765471,96169,662.037378000,0.101427300,0.896000,0.138000,0.538000,5.200000,-2.200000,-21.600000
880,3515784668,115366,662.047847500,0.111896800,0.854000,0.122000,0.429000,-9.600000,-10.000000,-13.000000
881,3515803896,134594,662.066985700,0.131035000,0.860000,0.134000,0.520000,-10.400000,-8.400000,-10.300000
882,3515823184,153882,662.086068400,0.150117700,0.857000,0.153000,0.526000,-13.200000,-8.000000,-11.000000
883,3515842351,173049,662.105033900,0.169083200,0.886000,0.234000,0.528000,-14.000000,-13.700000,5.600000
884,3515861578,192276,662.123926100,0.187975400,0.788000,0.110000,0.387000,4.500000,6.200000,9.500000
885,3515880806,211504,662.145135000,0.209184300,0.875000,0.005000,0.685000,15.100000,-7.300000,13.900000
886,3515900003,230701,662.163043200,0.227092500,0.837000,0.015000,0.484000,17.200000,-3.400000,27.500000
887,3515919322,250020,662.184796700,0.248846000,0.889000,0.018000,0.458000,14.300000,-5.700000,13.400000
888,3515938611,269309,662.201078600,0.265127900,0.860000,0.220000,0.490000,8.200000,-2.200000,-12.200000
889,3515957808,288506,662.221165900,0.285215200,0.877000,0.230000,0.639000,-17.700000,-11.900000,4.400000
890,3515976975,307673,662.240045500,0.304094800,0.872000,0.082000,0.407000,-26.900000,-16.900000,0.300000
891,3515996263,326961,662.259003300,0.323052600,0.820000,0.038000,0.468000,-15.300000,-6.200000,-4.400000
892,3516015430,346128,662.281659200,0.345708500,0.841000,0.093000,0.515000,0.000000,-2.100000,-5.500000
893,3516034596,365294,662.297024700,0.361074000,0.853000,0.078000,0.527000,4.800000,4.800000,10.300000
894,3516053885,384583,662.318358800,0.382408100,0.926000,0.053000,0.421000,-5.400000,20.700000,-7.100000
895,3516073113,403811,662.335967900,0.400017200,0.782000,0.095000,0.564000,-23.000000,30.000000,4.100000
896,3516092371,423069,662.354958600,0.419007900,0.674000,-0.093000,0.730000,-5.500000,1.500000,-6.600000
897,3516111537,442235,662.376608700,0.440658000,0.627000,-0.187000,0.885000,40.200000,-40.100000,-14.300000
898,3516130826,461524,662.394161300,0.458210600,1.064000,0.090000,0.461000,20.300000,-18.300000,-30.400000
899,3516149992,480690,662.414820500,0.478869800,0.845000,0.400000,0.279000,-13.600000,-5.800000,-12.100000
900,3516169342,500040,662.432352500,0.496401800,0.901000,0.209000,0.583000,-36.800000,-3.000000,11.300000
901,3516188509,519207,662.451047900,0.515097200,0.911000,0.105000,0.382000,-28.700000,-27.700000,-2.500000
902,3516207767,538465,662.475499200,0.539548500,0.841000,0.079000,0.460000,-0.600000,0.100000,-8.700000
903,3516226994,557692,662.494532700,0.558582000,1.023000,0.153000,0.360000,-4.400000,11.100000,13.300000
904,3516246130,576828,662.509012500,0.573061800,0.878000,0.229000,0.498000,-39.200000,52.400000,19.000000
905,3516265450,596148,662.532482700,0.596532000,0.797000,0.036000,0.562000,-45.700000,53.800000,24.200000
906,3516284616,615314,662.547086500,0.611135800,0.724000,-0.015000,0.692000,-33.500000,43.600000,13.300000
907,3516303905,634603,662.567006400,0.631055700,0.638000,-0.097000,0.780000,-11.700000,13.800000,16.000000
908,3516323132,653830,662.587541700,0.651591000,0.701000,-0.132000,0.739000,12.200000,-10.400000,4.800000
909,3516342360,673058,662.605085200,0.669134500,0.823000,-0.055000,0.605000,25.800000,-20.500000,-0.800000
910,3516361527,692225,662.624639800,0.688689100,0.885000,0.085000,0.469000,20.300000,-11.600000,-1.600000
911,3516380846,711544,662.644151900,0.708201200,0.888000,0.169000,0.490000,9.200000,-2.000000,2.300000
912,3516400012,730710,662.669336900,0.733386200,0.870000,0.110000,0.523000,3.500000,0.500000,7.100000
913,3516419240,749938,662.681978600,0.746027900,0.821000,0.060000,0.572000,2.600000,2.300000,8.400000
914,3516438467,769165,662.701019600,0.765068900,0.825000,0.033000,0.581000,3.100000,0.000000,6.900000
915,3516457695,788393,662.720010000,0.784059300,0.830000,0.035000,0.571000,4.500000,-0.700000,5.100000
